mode,st,cache_mode,rep,qps,recall10,csv_path
A3_ref,8,cold,1,7423.90,0.976320,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_cold_r1.csv
A4_cons_v3,8,cold,1,7485.03,0.976390,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st8_cold_r1.csv
A3_ref,8,cold,2,7485.03,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_cold_r2.csv
A4_cons_v3,8,cold,2,7451.56,0.976400,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st8_cold_r2.csv
A3_ref,8,cold,3,7485.03,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_cold_r3.csv
A4_cons_v3,8,cold,3,7490.64,0.976390,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st8_cold_r3.csv
A3_ref,8,cold,4,7440.48,0.976320,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_cold_r4.csv
A4_cons_v3,8,cold,4,7479.43,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st8_cold_r4.csv
A3_ref,8,cold,5,7434.94,0.976320,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_cold_r5.csv
A4_cons_v3,8,cold,5,7490.64,0.976390,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st8_cold_r5.csv
A3_ref,8,hot_warm,0,7429.42,0.976320,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_hot_warm_r0.csv
A4_cons_v3,8,hot_warm,0,7490.64,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st8_hot_warm_r0.csv
A3_ref,8,hot,1,7457.12,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_hot_r1.csv
A4_cons_v3,8,hot,1,7479.43,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st8_hot_r1.csv
A3_ref,8,hot,2,7473.84,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st8_hot_r2.csv
