dataset,policy,pages_saving_pct,recall_delta_vs64,miss_rate_pct,low07,low05,b16_pct,b24_pct,b32_pct,b40_pct,b48_pct,b56_pct,b64_pct
sift1m,A5_sparse,22.954891503134544,-0.006700000000000039,5.8999999999999995,5,0,0.0,0.0,15.05,16.05,27.0,35.6,6.3
sift1m,A5_dense,23.48738101921556,-0.00660000000000005,5.800000000000001,5,0,0.8,5.15,9.1,16.05,27.0,34.7,7.2
sift1m,A6_multiclass,63.663970194197056,-0.06414999999999993,41.65,56,1,66.9,13.0,7.35,4.5,3.9,2.6,1.75
sift1m,A6_regression,54.470445130613044,-0.03715000000000013,28.65,24,0,21.3,31.05,27.95,15.15,4.4,0.15,0.0
sift1m,A7_oracle_posting,53.97708423711946,0.0,0.0,2,0,44.05,16.55,12.45,9.35,6.95,6.45,4.2
sift1m,A7_oracle_page,53.97708423711946,0.0,0.0,2,0,44.05,16.55,12.45,9.35,6.95,6.45,4.2
sift10m,A5_sparse,19.62056974085365,-0.010250000000000092,9.6,45,2,0.0,0.0,10.6,11.35,24.8,43.65,9.6
sift10m,A5_dense,14.842956046747963,-0.006250000000000089,6.05,39,1,0.0,0.05,5.6,8.85,15.85,49.6,20.05
sift10m,A6_multiclass,50.22587970020325,-0.061799999999999966,40.9,104,8,41.25,14.45,11.05,10.05,8.85,8.05,6.3
sift10m,A6_regression,45.85357914126017,-0.04425000000000001,34.699999999999996,80,6,11.15,18.55,26.45,29.85,12.85,1.15,0.0
sift10m,A7_oracle_posting,45.211667936991866,0.0,0.0,35,1,31.5,14.65,11.7,12.15,10.75,10.85,8.4
sift10m,A7_oracle_page,45.211667936991866,0.0,0.0,35,1,31.5,14.65,11.7,12.15,10.75,10.85,8.4
