run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,metadata_read_bytes,code_logical_bytes,code_physical_bytes,payload_logical_bytes,payload_physical_bytes,distance_evaluated_count,duplicate_vector_count,coarse_candidate_count_before_dedupe,coarse_candidate_count_after_dedupe,rerank_candidate_count,final_result_count,coarse_candidate_hash,payload_page_hash,final_result_hash,recall,unique_payload_pages,payload_candidates,postings_with_payload,total_payload_page_spans,truth_count,coarse_recall,coarse_recall_after_dedupe,rerank_recall,final_recall,truth_recovered_by_head_result,truth_dropped_per_posting_topr,truth_dropped_global_topr,truth_dropped_rerank_topk,truth_missing_not_observed_in_scanned_posting,truth_missing_not_in_posting_reserved,read_header_dir_ms,scan_compact_codes_ms,merge_coarse_candidates_ms,build_payload_read_plan_ms,fetch_payload_and_rerank_ms,payload_read_wait_ms,payload_copy_ms,exact_distance_ms,result_insertion_ms
run_1777818465884,8,4,40,0,0,221235020534707,221235030863621,10.329000,6.488000,3.841000,0.000000,0.000000,1.728080,0.000000,0.190475,0.207044,64,128,524288,3145,0,0,0,0,0,2840,305,0,0,10,10,0,0,490021735528261118,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,1,3,221235020572150,221235029214798,8.642000,5.170000,3.472000,0.000000,0.000000,2.268306,0.000000,0.174292,0.171598,64,135,552960,3232,0,0,0,0,0,2943,289,0,0,10,10,0,0,17173023237003239355,0.800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,2,5,221235020679328,221235031517366,10.838000,7.002000,3.836000,0.000000,0.000000,1.380881,0.000000,0.152259,0.182418,64,113,462848,2540,0,0,0,0,0,2183,357,0,0,10,10,0,0,4144035358235762587,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,3,6,221235020778349,221235029626437,8.848000,6.299000,2.549000,0.000000,0.000000,1.018061,0.000000,0.094036,0.080317,64,78,319488,1595,0,0,0,0,0,1284,311,0,0,10,10,0,0,14862532870405576108,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,4,4,221235020873699,221235031535021,10.661000,6.990000,3.671000,0.000000,0.000000,1.248733,0.000000,0.152985,0.144128,64,129,528384,2852,0,0,0,0,0,2476,376,0,0,10,10,0,0,14390770101179265233,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,5,1,221235020874967,221235031959894,11.085000,6.397000,4.688000,0.000000,0.000000,2.576387,0.000000,0.205002,0.204366,62,136,557056,3275,0,0,0,0,0,2995,280,0,0,10,10,0,0,11524655164764389274,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,6,7,221235020875619,221235032103380,11.228000,6.940000,4.288000,0.000000,0.000000,1.497878,0.000000,0.202840,0.206021,61,137,561152,3476,0,0,0,0,0,3161,315,0,0,10,10,0,0,10415403728180192637,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,7,2,221235020877517,221235031761014,10.883000,6.969000,3.914000,0.000000,0.000000,1.563449,0.000000,0.134907,0.131611,64,105,430080,2312,0,0,0,0,0,1641,671,0,0,10,10,0,0,16224408989733346580,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,8,3,221235029214986,221235030863625,1.648000,0.565000,1.083000,0.000000,0.000000,0.946181,0.000000,0.152661,0.163642,64,127,520192,3000,0,0,0,0,0,2698,302,0,0,10,10,0,0,9052319213154478674,0.900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,9,6,221235029626618,221235031344392,1.718000,0.567000,1.151000,0.000000,0.000000,1.040990,0.000000,0.158413,0.167641,64,128,524288,2904,0,0,0,0,0,2527,377,0,0,10,10,0,0,10870006705612283287,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,10,3,221235030863777,221235032260827,1.397000,0.434000,0.963000,0.000000,0.000000,0.883387,0.000000,0.157400,0.168147,64,139,569344,3325,0,0,0,0,0,3040,285,0,0,10,10,0,0,13404571890798467723,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,11,0,221235030863889,221235032348830,1.485000,0.585000,0.900000,0.000000,0.000000,0.821398,0.000000,0.156562,0.157855,63,109,446464,2397,0,0,0,0,0,2143,254,0,0,10,10,0,0,16843064779285632474,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,12,6,221235031344567,221235032671366,1.327000,0.444000,0.883000,0.000000,0.000000,0.787616,0.000000,0.150765,0.140814,61,122,499712,2847,0,0,0,0,0,2525,322,0,0,10,10,0,0,7433772588831514115,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,13,5,221235031517690,221235033204541,1.687000,0.482000,1.205000,0.000000,0.000000,1.086174,0.000000,0.197031,0.206247,63,131,536576,3103,0,0,0,0,0,2733,370,0,0,10,10,0,0,7866494387231394718,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,14,4,221235031535364,221235033131459,1.596000,0.518000,1.078000,0.000000,0.000000,0.980832,0.000000,0.166514,0.158568,63,137,561152,3212,0,0,0,0,0,2847,365,0,0,10,10,0,0,31136783760637469,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,15,2,221235031761271,221235033279802,1.518000,0.443000,1.075000,0.000000,0.000000,0.975188,0.000000,0.149770,0.142909,64,113,462848,2634,0,0,0,0,0,2291,343,0,0,10,10,0,0,6420493281177560601,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,16,1,221235031960253,221235033694531,1.734000,0.455000,1.279000,0.000000,0.000000,1.156899,0.000000,0.214932,0.199485,63,134,548864,3186,0,0,0,0,0,2835,351,0,0,10,10,0,0,4619922073838074494,0.900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,17,7,221235032105818,221235033863992,1.758000,0.476000,1.282000,0.000000,0.000000,1.171949,0.000000,0.198615,0.201085,63,129,528384,2962,0,0,0,0,0,2688,274,0,0,10,10,0,0,15348181624240240314,0.900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,18,3,221235032260952,221235033879901,1.618000,0.386000,1.232000,0.000000,0.000000,1.108116,0.000000,0.148463,0.157666,63,135,552960,3309,0,0,0,0,0,2905,404,0,0,10,10,0,0,14632248668508046281,0.900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,19,0,221235032348975,221235034129618,1.781000,0.436000,1.345000,0.000000,0.000000,1.238357,0.000000,0.183532,0.182148,64,129,528384,2948,0,0,0,0,0,2673,275,0,0,10,10,0,0,15214550085658482249,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,20,6,221235032671562,221235033962795,1.291000,0.360000,0.931000,0.000000,0.000000,0.855938,0.000000,0.108817,0.096882,64,98,401408,2136,0,0,0,0,0,1667,469,0,0,10,10,0,0,13689824854138313076,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,21,4,221235033131643,221235034278344,1.146000,0.407000,0.739000,0.000000,0.000000,0.662903,0.000000,0.125674,0.112618,64,103,421888,2313,0,0,0,0,0,1990,323,0,0,10,10,0,0,12214178041515513070,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777818465884,8,4,40,22,5,221235033204725,221235034602441,1.398000,0.397000,1.001000,0.000000,0.000000,0.921302,0.000000,0.141752,0.126080,64,102,417792,2160,0,0,0,0,0,1829,331,0,0,10,10,0,0,4871848200259261900,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
