query_id,num_postings,d1,d2,d4,d8,d16,d32,d64,d96,d128,margin_2,margin_4,margin_8,margin_16,margin_32,margin_64,ratio_8,ratio_16,ratio_64,dist_var_top16,dist_var_top64,slope_1_8,slope_8_64,min_B
0,128,74356.0,75554.0,77564.0,80668.0,83466.0,88658.0,92416.0,94835.0,96533.0,0.01611167894991662,0.043143794717305936,0.08488891279789122,0.12251869385120233,0.1923449351767174,0.2428855774920652,1.0848889127978911,1.1225186938512024,1.2428855774920653,8350890.99609375,21269113.14819336,901.7142857142857,209.78571428571428,48
1,127,52570.0,54813.0,59720.0,61296.0,64822.0,67802.0,70222.0,72253.0,,0.04266692029674719,0.136009130682899,0.16598820620125546,0.23306068099676622,0.2897470039946738,0.3357808636104242,1.1659882062012554,1.2330606809967661,1.3357808636104243,11687361.375,14022759.38256836,1246.5714285714287,159.39285714285714,48
2,127,38137.0,39154.0,39297.0,40907.0,43287.0,46372.0,50183.0,52840.0,,0.026667016283399323,0.030416655741143772,0.07263287620945538,0.13503946298869865,0.21593203450717152,0.3158612371188085,1.0726328762094555,1.1350394629886986,1.3158612371188085,2795251.30859375,11737770.68359375,395.7142857142857,165.64285714285714,40
3,128,30863.0,34876.0,35734.0,39632.0,41374.0,44088.0,48419.0,50800.0,53291.0,0.1300262450183067,0.15782652366911837,0.2841266241130156,0.3405696141010271,0.428506626057091,0.5688364708550692,1.2841266241130156,1.340569614101027,1.5688364708550693,7633300.30859375,14322427.203125,1252.7142857142858,156.91071428571428,16
4,127,48151.0,52559.0,58390.0,61937.0,64754.0,70610.0,75683.0,77991.0,,0.0915453469294511,0.21264355880459387,0.28630765716184503,0.3448111150339557,0.46642852692571285,0.571784594297107,1.286307657161845,1.3448111150339557,1.571784594297107,21875231.859375,36341050.27319336,1969.4285714285713,245.46428571428572,32
5,126,78093.0,78163.0,79137.0,83130.0,85774.0,90636.0,95688.0,99397.0,,0.0008963671519854532,0.013368675809611617,0.06450001920786755,0.09835708706286095,0.16061618839076486,0.22530828627405786,1.0645000192078675,1.098357087062861,1.2253082862740579,6827181.984375,24487825.178710938,719.5714285714286,224.25,16
6,125,51327.0,55786.0,57517.0,60387.0,63082.0,67589.0,71509.0,74513.0,,0.08687435462816841,0.12059929471817951,0.17651528435326436,0.22902176242523428,0.3168312973678571,0.3932043563816315,1.1765152843532645,1.2290217624252342,1.3932043563816314,9987433.43359375,20799504.63256836,1294.2857142857142,198.60714285714286,40
7,128,23986.0,26030.0,31681.0,34261.0,38153.0,41257.0,49819.0,53429.0,55834.0,0.08521637621946135,0.3208121404152422,0.42837488534978735,0.5906362044525973,0.7200450262653214,1.07700325189694,1.4283748853497873,1.5906362044525975,2.0770032518969397,18623709.68359375,35070052.501708984,1467.857142857143,277.82142857142856,16
8,128,45651.0,50541.0,56142.0,58843.0,62642.0,66316.0,69973.0,72083.0,73815.0,0.10711704015246107,0.22980876651113885,0.2889750498346148,0.37219338021072923,0.4526735449387746,0.5327813191386827,1.2889750498346149,1.3721933802107291,1.5327813191386825,19184632.18359375,24188803.79663086,1884.5714285714287,198.75,96
9,128,44167.0,48092.0,51399.0,55063.0,58998.0,64312.0,68412.0,71535.0,73358.0,0.08886725383204655,0.163742160436525,0.2467000249054724,0.3357936921230783,0.4561097652093192,0.5489392532886544,1.2467000249054725,1.3357936921230784,1.5489392532886543,18275386.15234375,29967864.311523438,1556.5714285714287,238.375,32
10,128,57842.0,68465.0,70680.0,81554.0,86037.0,89187.0,94513.0,96597.0,98947.0,0.18365547526019155,0.22194944849763149,0.40994433110888284,0.48744856678538084,0.541907264617406,0.6339856851422841,1.4099443311088828,1.487448566785381,1.6339856851422843,58720338.625,48759051.24975586,3387.4285714285716,231.41071428571428,32
11,127,29640.0,38122.0,39990.0,44071.0,45753.0,48736.0,51174.0,53125.0,,0.2861673414304993,0.3491902834008097,0.48687584345479085,0.5436234817813765,0.6442645074224022,0.7265182186234818,1.4868758434547908,1.5436234817813765,1.7265182186234818,16535299.359375,13891056.0625,2061.5714285714284,126.83928571428571,16
12,122,43179.0,44002.0,47787.0,52515.0,54873.0,57349.0,62131.0,64165.0,,0.01906019129669515,0.10671854373653859,0.21621621621621623,0.27082609601889807,0.3281687857523333,0.4389170661664235,1.2162162162162162,1.2708260960188982,1.4389170661664235,14940791.12109375,20277333.952148438,1333.7142857142858,171.71428571428572,48
13,126,50596.0,51041.0,51630.0,55033.0,58054.0,64459.0,67928.0,70528.0,,0.008795161672859514,0.02043639813423986,0.08769467942129813,0.14740295675547474,0.2739939916198909,0.3425567238516879,1.087694679421298,1.1474029567554747,1.3425567238516878,7120103.859375,26006235.350585938,633.8571428571429,230.26785714285714,32
14,127,56652.0,60416.0,64587.0,68626.0,71044.0,74785.0,80422.0,83984.0,,0.06644072583492198,0.1400656640542258,0.21136058744616254,0.2540422226929323,0.320076961095813,0.4195791852008755,1.2113605874461626,1.2540422226929322,1.4195791852008754,16519800.40234375,26376551.40209961,1710.5714285714287,210.64285714285714,48
