sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
206426834726042,206426935122188,79.113924,0.632911,158,125,1
206426935122188,206427035570025,80.769231,0.000000,156,126,0
206427035570025,206427135914729,79.245283,0.000000,159,126,0
206427135914729,206427236329055,86.875000,0.000000,160,139,0
206427236329055,206427336702971,93.750000,0.000000,160,150,0
206427336702971,206427437091913,93.710692,0.000000,159,149,0
206427437091913,206427538045181,62.195122,0.000000,164,102,0
206427538045181,206427639029710,0.000000,0.000000,161,0,0
206427639029710,206427739982655,0.000000,0.000000,162,0,0
206427739982655,206427841044200,0.000000,0.000000,162,0,0
206427841044200,206427943060289,1.226994,0.000000,163,2,0
206427943060289,206428045046566,0.617284,0.000000,162,1,0
206428045046566,206428146052452,1.851852,0.000000,162,3,0
206428146052452,206428247899272,1.226994,0.000000,163,2,0
206428247899272,206428350057178,0.617284,0.000000,162,1,0
206428350057178,206428453068698,0.609756,0.000000,164,1,0
206428453068698,206428558071699,0.595238,0.000000,168,1,0
206428558071699,206428660582860,1.219512,0.000000,164,2,0
206428660582860,206428763054598,0.000000,0.000000,164,0,0
206428763054598,206428865540640,0.613497,0.000000,163,1,0
206428865540640,206428968060674,0.609756,0.000000,164,1,0
206428968060674,206429071061683,0.602410,0.000000,166,1,0
206429071061683,206429176120736,0.602410,0.000000,166,1,0
206429176120736,206429278363689,0.609756,0.609756,164,1,1
206429278363689,206429381050437,0.000000,0.000000,165,0,0
206429381050437,206429483970994,0.606061,0.000000,165,1,0
206429483970994,206429586465737,1.242236,0.000000,161,2,0
206429586465737,206429689055151,0.000000,0.000000,164,0,0
206429689055151,206429796086493,1.176471,0.000000,170,2,0
206429796086493,206429898484482,0.613497,0.000000,163,1,0
206429898484482,206430000860365,0.602410,0.602410,166,1,1
206430000860365,206430104078133,1.219512,0.609756,164,2,1
206430104078133,206430209058713,0.595238,0.000000,168,1,0
206430209058713,206430312063102,1.219512,0.000000,164,2,0
206430312063102,206430413876315,1.226994,0.000000,163,2,0
206430413876315,206430517252792,0.000000,0.000000,162,0,0
206430517252792,206430618490450,1.219512,0.609756,164,2,1
206430618490450,206430721064358,0.613497,0.000000,163,1,0
206430721064358,206430824080773,0.606061,0.000000,165,1,0
206430824080773,206430927077589,0.609756,0.000000,164,1,0
206430927077589,206431030071683,0.609756,0.000000,164,1,0
206431030071683,206431133085303,0.602410,0.000000,166,1,0
206431133085303,206431236086870,0.617284,0.000000,162,1,0
206431236086870,206431338085474,0.606061,0.000000,165,1,0
206431338085474,206431441084632,0.609756,0.000000,164,1,0
206431441084632,206431544069273,0.606061,0.000000,165,1,0
206431544069273,206431646346005,1.851852,0.617284,162,3,1
206431646346005,206431748294199,0.617284,0.000000,162,1,0
206431748294199,206431852063638,1.807229,0.000000,166,3,0
206431852063638,206431956080424,0.602410,0.000000,166,1,0
206431956080424,206432059079395,0.609756,0.000000,164,1,0
206432059079395,206432162074393,0.606061,0.000000,165,1,0
206432162074393,206432265076061,0.000000,0.000000,164,0,0
206432265076061,206432368070097,0.609756,0.000000,164,1,0
206432368070097,206432470405658,0.609756,0.000000,164,1,0
206432470405658,206432573076071,0.617284,0.000000,162,1,0
206432573076071,206432676050603,0.609756,0.000000,164,1,0
206432676050603,206432778073726,0.609756,0.000000,164,1,0
206432778073726,206432884948246,0.000000,0.000000,171,0,0
206432884948246,206432989072969,0.606061,0.000000,165,1,0
206432989072969,206433094074520,1.190476,0.000000,168,2,0
206433094074520,206433197067023,0.000000,0.000000,164,0,0
206433197067023,206433300075871,0.606061,0.000000,165,1,0
206433300075871,206433403083110,0.613497,0.000000,163,1,0
206433403083110,206433506059841,0.606061,0.000000,165,1,0
206433506059841,206433611080919,0.591716,0.000000,169,1,0
206433611080919,206433713465266,0.617284,0.000000,162,1,0
206433713465266,206433816079331,0.609756,0.000000,164,1,0
206433816079331,206433919075191,1.212121,0.000000,165,2,0
