sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
206730757171073,206730857597060,sda,0,0,0.000000,0,0.000000,0
206730857597060,206730957953004,sda,0,0,0.000000,0,0.000000,0
206730957953004,206731058397207,sda,0,0,0.000000,0,0.000000,0
206731058397207,206731158855113,sda,0,0,0.000000,0,0.000000,0
206731158855113,206731259250591,sda,0,0,0.000000,0,0.000000,0
206731259250591,206731359615578,sda,0,0,0.000000,0,0.000000,0
206731359615578,206731459970732,sda,0,0,0.000000,0,0.000000,0
206731459970732,206731560448347,sda,0,0,0.000000,0,0.000000,0
206731560448347,206731660884123,sda,0,0,0.000000,0,0.000000,0
206731660884123,206731761316973,sda,14592,7471104,70.942924,0,16.578241,1665
206731761316973,206731862072656,sda,13824,7077888,66.993740,0,10.996898,1108
206731862072656,206731962772614,sda,15856,8118272,76.883721,0,12.025824,1211
206731962772614,206732063401915,sda,15728,8052736,76.316614,0,9.798339,986
206732063401915,206732164093116,sda,14192,7266304,68.821182,0,8.252955,831
206732164093116,206732264768380,sda,14728,7540736,71.431710,0,8.989299,905
206732264768380,206732365430690,sda,13216,6766592,64.106665,0,7.997035,805
206732365430690,206732466268213,sda,11608,5943296,56.208925,0,6.832774,689
206732466268213,206732566963504,sda,15448,7909376,74.908853,0,9.354956,942
206732566963504,206732667738098,sda,11232,5750784,54.422199,0,6.787425,684
206732667738098,206732768435990,sda,12752,6529024,61.834090,0,8.143169,820
206732768435990,206732869281164,sda,12328,6311936,59.690821,0,9.559208,964
206732869281164,206732969940382,sda,10952,5607424,53.126344,0,7.629704,768
206732969940382,206733070691505,sda,13288,6803456,64.399096,0,7.999911,806
206733070691505,206733171407874,sda,15264,7815168,74.001129,0,9.710437,978
206733171407874,206733272032959,sda,14232,7286784,69.060501,0,8.318005,837
206733272032959,206733372717901,sda,12776,6541312,61.958433,0,8.074693,813
206733372717901,206733473468374,sda,13984,7159808,67.772635,0,9.994990,1007
206733473468374,206733574239840,sda,14800,7577600,71.712388,0,9.050181,912
206733574239840,206733674939370,sda,18192,9314304,88.211062,0,10.059630,1013
206733674939370,206733775635836,sda,12312,6303744,59.701388,0,7.716259,777
206733775635836,206733876409309,sda,14664,7507968,71.051995,0,9.595779,967
206733876409309,206733977211796,sda,15968,8175616,77.348042,0,11.477891,1157
206733977211796,206734077985052,sda,12656,6479872,61.322694,0,9.010327,908
206734077985052,206734178768071,sda,17504,8962048,84.804713,0,9.465880,954
206734178768071,206734279479633,sda,16104,8245248,78.077244,0,9.115140,918
206734279479633,206734380234172,sda,13776,7053312,66.761881,0,8.485970,855
206734380234172,206734480971008,sda,16536,8466432,80.151602,0,8.755486,882
206734480971008,206734581708019,sda,17752,9089024,86.045523,0,10.155155,1023
206734581708019,206734682441447,sda,12536,6418432,60.765268,0,7.753136,781
206734682441447,206734783456683,sda,15552,7962624,75.174303,0,10.305376,1041
206734783456683,206734884143854,sda,14832,7593984,71.927609,0,11.898239,1198
206734884143854,206734984831795,sda,16672,8536064,80.850049,0,11.361837,1144
206734984831795,206735085579998,sda,16232,8310784,78.669207,0,9.042345,911
206735085579998,206735186338530,sda,15600,7987200,75.598437,0,8.465784,853
206735186338530,206735287105169,sda,17288,8851456,83.771835,0,9.457495,953
206735287105169,206735387813755,sda,16344,8368128,79.243181,0,8.688435,875
206735387813755,206735488606800,sda,16048,8216576,77.742839,0,8.581941,865
206735488606800,206735589401542,sda,16248,8318976,78.710393,0,8.502428,857
206735589401542,206735690085943,sda,17696,9060352,85.818905,0,9.862501,993
206735690085943,206735790768540,sda,15896,8138752,77.090967,0,8.621152,868
206735790768540,206735891465212,sda,16368,8380416,79.368934,0,10.228739,1030
206735891465212,206735992221720,sda,15864,8122368,76.879339,0,9.885218,996
206735992221720,206736092973322,sda,14248,7294976,69.051321,0,8.267859,833
206736092973322,206736193714326,sda,18224,9330688,88.329847,0,9.757695,983
206736193714326,206736294424668,sda,15824,8101888,76.720646,0,8.876943,894
206736294424668,206736395134243,sda,13504,6914048,65.472921,0,7.725184,778
206736395134243,206736495770490,sda,16744,8572928,81.240920,0,8.873542,893
206736495770490,206736596432678,sda,15792,8085504,76.602125,0,8.771913,883
206736596432678,206736697166102,sda,13616,6971392,66.000313,0,7.286559,734
206736697166102,206736797879623,sda,15560,7966720,75.438294,0,9.780216,985
206736797879623,206736898558530,sda,12784,6545408,62.000946,0,12.524967,1261
206736898558530,206736999210085,sda,11880,6082560,57.632306,0,8.355559,841
206736999210085,206737099905510,sda,13928,7131136,67.538135,0,8.421435,848
