run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,distance_evaluated_count,duplicate_vector_count,final_result_count,recall
run_1777289016942,8,4,16,0,2,207174642527052,207174996079004,353.552000,259.374000,94.178000,0.000000,0.000000,28.735742,0.000000,0.084510,0.352660,32,202,827392,1481,1373,108,10,0.900000
run_1777289016942,8,4,16,1,0,207174642496325,207174982111651,339.615000,258.694000,80.921000,0.000000,0.000000,16.194819,0.000000,0.076332,0.311698,32,193,790528,1408,1342,66,10,0.600000
run_1777289016942,8,4,16,2,3,207174642502076,207174996045775,353.543000,259.235000,94.308000,0.000000,0.000000,27.101645,0.000000,0.085517,0.325517,32,205,839680,1509,1332,177,10,1.000000
run_1777289016942,8,4,16,3,1,207174642532052,207174996098530,353.566000,256.079000,97.487000,0.000000,0.000000,27.103885,0.000000,0.069401,0.191698,32,129,528384,889,751,138,10,1.000000
run_1777289016942,8,4,16,4,4,207174642572521,207174984215516,341.642000,258.198000,83.444000,0.000000,0.000000,18.298243,0.000000,0.119259,0.316474,32,216,884736,1585,1447,138,10,1.000000
run_1777289016942,8,4,16,5,6,207174642617518,207174969330606,326.713000,255.489000,71.224000,0.000000,0.000000,6.331460,0.000000,0.084697,0.517740,32,226,925696,1669,1568,101,10,1.000000
run_1777289016942,8,4,16,6,5,207174642697365,207174995135864,352.438000,260.152000,92.286000,0.000000,0.000000,26.062914,0.000000,0.088892,0.434731,32,260,1064960,1934,1816,118,10,1.000000
run_1777289016942,8,4,16,7,7,207174642808551,207174960898292,318.089000,249.177000,68.912000,0.000000,0.000000,8.383096,0.000000,0.088918,0.365428,32,167,684032,1182,951,231,10,1.000000
run_1777289016942,8,4,16,8,7,207174960900893,207175013948609,53.047000,32.012000,21.035000,0.000000,0.000000,5.833329,0.000000,0.091462,0.519521,32,226,925696,1644,1556,88,10,0.800000
run_1777289016942,8,4,16,9,6,207174969331442,207175020846731,51.515000,28.611000,22.904000,0.000000,0.000000,5.701528,0.000000,0.088436,0.478410,32,215,880640,1580,1475,105,10,1.000000
run_1777289016942,8,4,16,10,0,207174982112769,207175060646326,78.532000,55.848000,22.684000,0.000000,0.000000,5.232759,0.000000,0.080389,0.452001,32,207,847872,1501,1431,70,10,1.000000
run_1777289016942,8,4,16,11,4,207174984216761,207175065803454,81.586000,59.452000,22.134000,0.000000,0.000000,5.161794,0.000000,0.081621,0.421862,32,202,827392,1460,1329,131,10,1.000000
run_1777289016942,8,4,16,12,5,207174995137112,207175085705193,90.567000,67.793000,22.774000,0.000000,0.000000,5.245085,0.000000,0.072759,0.483307,29,207,847872,1529,1441,88,10,0.900000
run_1777289016942,8,4,16,13,3,207174996047554,207175105847482,109.800000,68.791000,41.009000,0.000000,0.000000,23.393018,0.000000,0.080510,0.402025,32,224,917504,1655,1509,146,10,1.000000
run_1777289016942,8,4,16,14,2,207174996079399,207175098529448,102.450000,67.438000,35.012000,0.000000,0.000000,17.694957,0.000000,0.085695,0.492809,31,239,978944,1769,1624,145,10,1.000000
run_1777289016942,8,4,16,15,1,207174996099077,207175099853883,103.754000,67.653000,36.101000,0.000000,0.000000,18.609334,0.000000,0.085358,0.348811,32,190,778240,1390,1276,114,10,0.800000
run_1777289016942,8,4,16,16,7,207175013950575,207175107478267,93.527000,68.995000,24.532000,0.000000,0.000000,12.669909,0.000000,0.096870,0.501126,32,244,999424,1798,1650,148,10,0.800000
run_1777289016942,8,4,16,17,6,207175020849240,207175110580767,89.731000,66.304000,23.427000,0.000000,0.000000,12.767980,0.000000,0.105777,0.538093,31,245,1003520,1809,1695,114,10,0.800000
run_1777289016942,8,4,16,18,0,207175060647978,207175137253574,76.605000,53.451000,23.154000,0.000000,0.000000,5.633425,0.000000,0.085391,0.468354,32,216,884736,1594,1486,108,10,0.900000
run_1777289016942,8,4,16,19,4,207175065805579,207175144061883,78.256000,56.055000,22.201000,0.000000,0.000000,5.588437,0.000000,0.099189,0.504786,31,228,933888,1671,1564,107,10,0.900000
run_1777289016942,8,4,16,20,5,207175085706393,207175163310885,77.604000,55.435000,22.169000,0.000000,0.000000,5.223235,0.000000,0.093954,0.421169,32,190,778240,1363,1114,249,10,1.000000
run_1777289016942,8,4,16,21,2,207175098530793,207175183094529,84.563000,62.760000,21.803000,0.000000,0.000000,5.270760,0.000000,0.083040,0.334194,32,174,712704,1268,1113,155,10,1.000000
run_1777289016942,8,4,16,22,1,207175099855169,207175186507712,86.652000,63.591000,23.061000,0.000000,0.000000,6.333066,0.000000,0.069885,0.301625,32,147,602112,1051,934,117,10,1.000000
