sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
266005842798647,266005943236118,85.093168,0.000000,161,137,0
266005943236118,266006043686974,84.177215,0.000000,158,133,0
266006043686974,266006144053002,83.850932,0.621118,161,135,1
266006144053002,266006244707374,89.308176,0.000000,159,142,0
266006244707374,266006345079981,91.823899,0.000000,159,146,0
266006345079981,266006445461801,91.875000,0.000000,160,147,0
266006445461801,266006545775516,88.750000,0.000000,160,142,0
266006545775516,266006646154363,84.472050,0.621118,161,136,1
266006646154363,266006746541226,82.500000,0.000000,160,132,0
266006746541226,266006847174430,77.358491,0.000000,159,123,0
266006847174430,266006947798649,70.625000,0.625000,160,113,1
266006947798649,266007049271563,77.848101,0.632911,158,123,1
266007049271563,266007149835888,82.500000,0.000000,160,132,0
266007149835888,266007250448104,77.707006,0.000000,157,122,0
266007250448104,266007351206921,72.500000,0.625000,160,116,1
266007351206921,266007451728655,72.670807,0.621118,161,117,1
266007451728655,266007552410161,77.215190,0.000000,158,122,0
266007552410161,266007653501902,78.881988,0.000000,161,127,0
266007653501902,266007754185932,71.974522,0.636943,157,113,1
266007754185932,266007855363355,70.625000,1.875000,160,113,3
266007855363355,266007956107966,72.784810,0.632911,158,115,1
266007956107966,266008057130490,75.949367,0.000000,158,120,0
266008057130490,266008157621156,81.987578,0.000000,161,132,0
266008157621156,266008258324083,77.500000,0.625000,160,124,1
266008258324083,266008358930407,81.132075,0.000000,159,129,0
266008358930407,266008459468620,81.645570,0.000000,158,129,0
266008459468620,266008560199635,78.881988,0.621118,161,127,1
266008560199635,266008660950134,80.379747,0.632911,158,127,1
266008660950134,266008761560311,77.018634,0.621118,161,124,1
266008761560311,266008862439214,80.254777,0.000000,157,126,0
266008862439214,266008963042796,76.100629,0.000000,159,121,0
266008963042796,266009063652882,72.955975,0.628931,159,116,1
266009063652882,266009164297818,71.974522,0.000000,157,113,0
266009164297818,266009264879191,72.955975,0.628931,159,116,1
266009264879191,266009365911825,72.151899,0.000000,158,114,0
266009365911825,266009466664656,74.213836,0.628931,159,118,1
266009466664656,266009567413204,72.500000,0.000000,160,116,0
266009567413204,266009668060172,72.327044,0.628931,159,115,1
266009668060172,266009768721620,71.875000,0.625000,160,115,1
266009768721620,266009869838738,67.924528,1.257862,159,108,2
266009869838738,266009970712455,71.875000,0.625000,160,115,1
266009970712455,266010072106680,76.433121,0.000000,157,120,0
266010072106680,266010172716837,78.616352,0.628931,159,125,1
266010172716837,266010273379458,75.949367,0.632911,158,120,1
266010273379458,266010373895253,76.729560,1.257862,159,122,2
266010373895253,266010474693232,76.729560,0.628931,159,122,1
266010474693232,266010575502822,80.379747,0.632911,158,127,1
266010575502822,266010676111719,81.366460,0.621118,161,131,1
266010676111719,266010776662127,84.615385,0.000000,156,132,0
266010776662127,266010877206590,80.625000,0.000000,160,129,0
266010877206590,266010977917264,83.750000,0.000000,160,134,0
266010977917264,266011078511934,79.874214,0.628931,159,127,1
266011078511934,266011179239321,84.276730,0.000000,159,134,0
266011179239321,266011279849789,83.018868,0.000000,159,132,0
266011279849789,266011380564565,82.802548,0.000000,157,130,0
266011380564565,266011481139527,80.625000,0.625000,160,129,1
266011481139527,266011581802524,83.647799,0.000000,159,133,0
266011581802524,266011682396541,81.132075,0.000000,159,129,0
266011682396541,266011783427921,79.746835,0.000000,158,126,0
266011783427921,266011884039784,79.503106,0.621118,161,128,1
266011884039784,266011984953192,82.389937,0.000000,159,131,0
