sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
266005842798647,266005943236118,sda,0,0,0.000000,0,0.000000,0
266005943236118,266006043686974,sda,0,0,0.000000,0,0.000000,0
266006043686974,266006144053002,sda,0,0,0.000000,0,0.000000,0
266006144053002,266006244707374,sda,0,0,0.000000,0,0.000000,0
266006244707374,266006345079981,sda,0,0,0.000000,0,0.000000,0
266006345079981,266006445461801,sda,0,0,0.000000,0,0.000000,0
266006445461801,266006545775516,sda,0,0,0.000000,0,0.000000,0
266006545775516,266006646154363,sda,0,0,0.000000,0,0.000000,0
266006646154363,266006746541226,sda,1208,618496,5.875707,0,0.886570,89
266006746541226,266006847174430,sda,3792,1941504,18.399121,0,1.222261,123
266006847174430,266006947798649,sda,3368,1724416,16.343295,0,0.795037,80
266006947798649,266007049271563,sda,4864,2490368,23.405261,0,1.064323,108
266007049271563,266007149835888,sda,4264,2183168,20.703478,0,1.123659,113
266007149835888,266007250448104,sda,4120,2109440,19.994776,0,1.023733,103
266007250448104,266007351206921,sda,3712,1900544,17.988500,0,0.774126,78
266007351206921,266007451728655,sda,3464,1773568,16.826274,0,0.905277,91
266007451728655,266007552410161,sda,3504,1794048,16.993563,0,0.903840,91
266007552410161,266007653501902,sda,4352,2228224,21.020510,0,1.098013,111
266007653501902,266007754185932,sda,1832,937984,8.884540,0,0.814429,82
266007754185932,266007855363355,sda,3040,1556480,14.671010,0,0.938945,95
266007855363355,266007956107966,sda,3184,1630208,15.431967,0,0.774235,78
266007956107966,266008057130490,sda,3520,1802240,17.013533,0,0.861194,87
266008057130490,266008157621156,sda,4552,2330624,22.118037,0,1.134434,114
266008157621156,266008258324083,sda,3768,1929216,18.270013,0,1.032741,104
266008258324083,266008358930407,sda,3840,1966080,18.636999,0,1.033732,104
266008358930407,266008459468620,sda,4288,2195456,20.825415,0,1.143844,115
266008459468620,266008560199635,sda,3424,1753088,16.597420,0,0.853759,86
266008560199635,266008660950134,sda,2984,1527808,14.461777,0,0.893296,90
