sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
132458820414472,132458921178689,71.287129,17.821782,202,144,36
132458921178689,132459022030012,72.636816,18.905473,201,146,38
132459022030012,132459122722334,67.336683,20.100503,199,134,40
132459122722334,132459223319319,71.428571,19.704433,203,145,40
132459223319319,132459324063855,69.651741,19.900498,201,140,40
132459324063855,132459424691964,72.500000,20.000000,200,145,40
132459424691964,132459525393651,75.124378,19.900498,201,151,40
132459525393651,132459626170857,73.134328,20.895522,201,147,42
132459626170857,132459726994443,74.500000,19.500000,200,149,39
132459726994443,132459827830575,73.891626,19.704433,203,150,40
132459827830575,132459928542176,74.129353,19.402985,201,149,39
132459928542176,132460029127986,73.869347,19.597990,199,147,39
132460029127986,132460129953594,71.641791,16.915423,201,144,34
132460129953594,132460230662848,71.287129,17.821782,202,144,36
132460230662848,132460331488130,62.376238,15.841584,202,126,32
132460331488130,132460432205346,54.000000,13.500000,200,108,27
132460432205346,132460532987461,71.568627,18.137255,204,146,37
132460532987461,132460633586680,74.111675,18.274112,197,146,36
132460633586680,132460734425349,73.399015,18.226601,203,149,37
132460734425349,132460835122816,73.500000,19.000000,200,147,38
132460835122816,132460935930015,74.129353,19.900498,201,149,40
132460935930015,132461036631099,74.000000,19.500000,200,148,39
132461036631099,132461137316546,71.641791,17.412935,201,144,35
132461137316546,132461238032429,72.864322,20.100503,199,145,40
132461238032429,132461338742593,71.921182,19.704433,203,146,40
132461338742593,132461439525965,74.626866,19.900498,201,150,40
132461439525965,132461540253322,74.129353,19.402985,201,149,39
132461540253322,132461640954621,74.500000,19.500000,200,149,39
132461640954621,132461741675250,74.257426,19.306931,202,150,39
132461741675250,132461842382486,74.500000,19.000000,200,149,38
132461842382486,132461943159502,73.631841,18.905473,201,148,38
132461943159502,132462043815185,72.000000,19.000000,200,144,38
132462043815185,132462144418568,71.000000,18.000000,200,142,36
132462144418568,132462245207868,71.144279,18.905473,201,143,38
132462245207868,132462345817571,68.844221,18.090452,199,137,36
132462345817571,132462446416939,71.500000,18.500000,200,143,37
132462446416939,132462547020993,69.000000,18.500000,200,138,37
132462547020993,132462647559254,73.762376,18.811881,202,149,38
132462647559254,132462748168628,75.879397,19.095477,199,151,38
132462748168628,132462848925881,75.124378,18.407960,201,151,37
132462848925881,132462949583603,74.500000,19.000000,200,149,38
132462949583603,132463050179490,71.000000,19.000000,200,142,38
132463050179490,132463150980347,70.443350,18.719212,203,143,38
132463150980347,132463251796309,74.500000,19.000000,200,149,38
132463251796309,132463352547867,73.134328,18.407960,201,147,37
132463352547867,132463453250807,75.000000,19.500000,200,150,39
132463453250807,132463554010243,74.257426,18.811881,202,150,38
132463554010243,132463654572814,74.000000,18.500000,200,148,37
132463654572814,132463755266940,73.869347,17.587940,199,147,35
132463755266940,132463855833710,74.129353,17.910448,201,149,36
132463855833710,132463956434931,73.000000,18.500000,200,146,37
132463956434931,132464057163166,70.149254,19.402985,201,141,39
132464057163166,132464157838079,74.500000,18.000000,200,149,36
132464157838079,132464258629125,71.144279,20.398010,201,143,41
132464258629125,132464359286845,70.000000,21.500000,200,140,43
132464359286845,132464460088177,72.500000,19.500000,200,145,39
132464460088177,132464560880718,69.306931,18.316832,202,140,37
132464560880718,132464661594015,71.859296,19.095477,199,143,38
132464661594015,132464762735437,66.666667,19.900498,201,134,40
132464762735437,132464863440950,67.821782,17.821782,202,137,36
132464863440950,132464964265576,74.371859,19.597990,199,148,39
132464964265576,132465065074260,70.351759,20.100503,199,140,40
132465065074260,132465165732385,73.631841,19.402985,201,148,39
132465165732385,132465266546109,73.267327,19.306931,202,148,39
