sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
132458820414472,132458921178689,85052828099,80660133935,72631,63681
132458921178689,132459022030012,85052902861,80660205868,74762,71933
132459022030012,132459122722334,85052969494,80660264020,66633,58152
132459122722334,132459223319319,85053043359,80660336781,73865,72761
132459223319319,132459324063855,85053110955,80660403823,67596,67042
132459324063855,132459424691964,85053184728,80660477117,73773,73294
132459424691964,132459525393651,85053266952,80660558640,82224,81523
132459525393651,132459626170857,85053343064,80660633991,76112,75351
132459626170857,132459726994443,85053423267,80660713006,80203,79015
132459726994443,132459827830575,85053503271,80660791745,80004,78739
132459827830575,132459928542176,85053583092,80660868473,79821,76728
132459928542176,132460029127986,85053661159,80660944364,78067,75891
132460029127986,132460129953594,85053733441,80661006391,72282,62027
132460129953594,132460230662848,85053805645,80661071801,72204,65410
132460230662848,132460331488130,85053860103,80661115554,54458,43753
132460331488130,132460432205346,85053904372,80661147290,44269,31736
132460432205346,132460532987461,85053978921,80661219618,74549,72328
132460532987461,132460633586680,85054055091,80661292493,76170,72875
132460633586680,132460734425349,85054134010,80661368378,78919,75885
132460734425349,132460835122816,85054210890,80661442986,76880,74608
132460835122816,132460935930015,85054290786,80661522009,79896,79023
132460935930015,132461036631099,85054369146,80661598455,78360,76446
132461036631099,132461137316546,85054441799,80661662554,72653,64099
132461137316546,132461238032429,85054516419,80661736394,74620,73840
132461238032429,132461338742593,85054591619,80661810540,75200,74146
132461338742593,132461439525965,85054671927,80661889894,80308,79354
132461439525965,132461540253322,85054751553,80661968080,79626,78186
132461540253322,132461640954621,85054831323,80662046134,79770,78054
132461640954621,132461741675250,85054911901,80662125248,80578,79114
132461741675250,132461842382486,85054991345,80662202835,79444,77587
132461842382486,132461943159502,85055070229,80662278274,78884,75439
132461943159502,132462043815185,85055143250,80662348401,73021,70127
132462043815185,132462144418568,85055214150,80662412790,70900,64389
132462144418568,132462245207868,85055284188,80662478107,70038,65317
132462245207868,132462345817571,85055349982,80662537755,65794,59648
132462345817571,132462446416939,85055422095,80662604647,72113,66892
132462446416939,132462547020993,85055487714,80662665170,65619,60523
132462547020993,132462647559254,85055567832,80662740479,80118,75309
132462647559254,132462748168628,85055650383,80662818068,82551,77589
132462748168628,132462848925881,85055733237,80662895808,82854,77740
132462848925881,132462949583603,85055813980,80662971729,80743,75921
132462949583603,132463050179490,85055883606,80663036748,69626,65019
132463050179490,132463150980347,85055955535,80663101609,71929,64861
132463150980347,132463251796309,85056036379,80663177066,80844,75457
132463251796309,132463352547867,85056112818,80663248820,76439,71754
132463352547867,132463453250807,85056193875,80663326805,81057,77985
132463453250807,132463554010243,85056274549,80663404566,80674,77761
132463554010243,132463654572814,85056353982,80663480856,79433,76290
132463654572814,132463755266940,85056431212,80663552985,77230,72129
132463755266940,132463855833710,85056510421,80663627578,79209,74593
132463855833710,132463956434931,85056585403,80663696736,74982,69158
132463956434931,132464057163166,85056655474,80663761756,70071,65020
132464057163166,132464157838079,85056734919,80663835569,79445,73813
132464157838079,132464258629125,85056810967,80663904528,76048,68959
132464258629125,132464359286845,85056882535,80663973406,71568,68878
132464359286845,132464460088177,85056956112,80664043937,73577,70531
132464460088177,132464560880718,85057024800,80664106873,68688,62936
132464560880718,132464661594015,85057096437,80664175416,71637,68543
132464661594015,132464762735437,85057158423,80664232905,61986,57489
132464762735437,132464863440950,85057222816,80664290772,64393,57867
132464863440950,132464964265576,85057302212,80664368550,79396,77778
132464964265576,132465065074260,85057370944,80664432758,68732,64208
132465065074260,132465165732385,85057449545,80664508551,78601,75793
132465165732385,132465266546109,85057527528,80664584163,77983,75612
132465266546109,132465367388637,85057602937,80664657914,75409,73751
132465367388637,132465468214086,85057682960,80664736439,80023,78525
132465468214086,132465569030268,85057763119,80664814808,80159,78369
132465569030268,132465669825290,85057843290,80664893253,80171,78445
132465669825290,132465770538486,85057923357,80664971519,80067,78266
132465770538486,132465871224649,85058003271,80665049622,79914,78103
132465871224649,132465971987441,85058083404,80665126438,80133,76816
132465971987441,132466072739790,85058149591,80665190755,66187,64317
132466072739790,132466173426470,85058227363,80665266795,77772,76040
132466173426470,132466274130484,85058305759,80665339635,78396,72840
132466274130484,132466374974875,85058377773,80665406380,72014,66745
132466374974875,132466475666414,85058452516,80665479513,74743,73133
132466475666414,132466576436789,85058532157,80665558043,79641,78530
132466576436789,132466677137377,85058611916,80665636655,79759,78612
132466677137377,132466777878662,85058692352,80665711050,80436,74395
132466777878662,132466878655816,85058768688,80665785584,76336,74534
132466878655816,132466979346103,85058849550,80665865030,80862,79446
