run_name	search_thread_num	posting_topr_per_posting	posting_topr_global	config	query_csv	run_dir
st1_pp32_pg128	1	32	128	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg128/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg128/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg128
st1_pp32_pg256	1	32	256	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg256/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg256/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg256
st1_pp32_pg384	1	32	384	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg384/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg384/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg384
st1_pp32_pg512	1	32	512	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg512/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg512/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg512
st1_pp32_pg768	1	32	768	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg768/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg768/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp32_pg768
st1_pp64_pg128	1	64	128	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg128/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg128/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg128
st1_pp64_pg256	1	64	256	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg256/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg256/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg256
st1_pp64_pg384	1	64	384	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg384/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg384/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg384
st1_pp64_pg512	1	64	512	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg512/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg512/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg512
st1_pp64_pg768	1	64	768	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg768/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg768/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp64_pg768
st1_pp96_pg128	1	96	128	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg128/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg128/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg128
st1_pp96_pg256	1	96	256	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg256/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg256/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg256
st1_pp96_pg384	1	96	384	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg384/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg384/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg384
st1_pp96_pg512	1	96	512	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg512/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg512/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg512
st1_pp96_pg768	1	96	768	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg768/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg768/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp96_pg768
st1_pp128_pg128	1	128	128	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg128/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg128/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg128
st1_pp128_pg256	1	128	256	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg256/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg256/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg256
st1_pp128_pg384	1	128	384	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg384/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg384/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg384
st1_pp128_pg512	1	128	512	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg512/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg512/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg512
st1_pp128_pg768	1	128	768	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg768/config.ini	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg768/query_io_stats.csv	/home/ray/code/SPTAG/results/io_analysis/p2_topr_sweep_20260502_topk_v2/st1_pp128_pg768
