run	query_count	avg_recall	avg_total_latency_ms	p95_total_latency_ms	approx_single_thread_qps	avg_requested_read_bytes	avg_pages_read	payload_stats_supported	payload_wait_supported	payload_read_wait_over_ex	avg_candidates_per_unique_payload_page	top_direction	top_score	reason_1
st16_nt16_ir64_pl4	10000	0.97782	2.6948084	3.249	371.0838959831059	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st16_nt20_ir64_pl4	10000	0.97782	2.7033918	3.252	369.9056866267035	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st1_ir64	10000	0.97782	0.7865602	0.898	1271.3585050451318	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st1_nt40_ir64_pl4	10000	0.97782	0.7865602	0.898	1271.3585050451318	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st20_nt20_ir32_pl4	10000	0.93945	1.703908	2.088	586.8861464351362	244270.2848	59.6363	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st20_nt20_ir64_pl4	10000	0.97782	3.3873314	4.357	295.21764537122056	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt16_ir64_pl4	10000	0.97782	0.8153493	0.949	1226.4682142978475	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt24_ir64_pl4	10000	0.97782	0.8147523	0.95	1227.3668942082152	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt40_ir128_pl4	10000	0.9934	1.2441221	1.4800499999999992	803.7796290251575	968433.2544	236.4339	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt40_ir32_pl4	10000	0.93945	0.5926132	0.679	1687.441319228124	244270.2848	59.6363	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt40_ir64_pl4	10000	0.97782	0.8271993	0.966	1208.8985084972871	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt40_ir64_pl8	10000	0.97782	0.826984	0.964	1209.2132374991534	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt40_ir96_pl4	10000	0.98868	1.0298315	1.214	971.032639805638	727320.1664	177.5684	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt40_ir96_pl8	10000	0.98868	1.0320595	1.218	968.9363839972406	727320.1664	177.5684	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st2_nt64_ir64_pl4	10000	0.97782	0.8155592	0.955	1226.152558882298	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st4_nt40_ir64_pl4	10000	0.97782	0.8424537	0.998	1187.0088528307253	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st8_ir64	10000	0.97782	1.3408449	1.597	745.7984141193363	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st8_nt16_ir64_pl4	10000	0.97782	1.3442268	1.604	743.9220821962484	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st8_nt20_ir64_pl4	10000	0.97782	1.3472364	1.6109999999999998	742.2602299047146	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
st8_nt40_ir64_pl4	10000	0.97782	1.3408449	1.597	745.7984141193363	486076.8256	118.6711	False	False	-1.0	-1.0	M4	1	payload-locality columns are unavailable/zero in this run; provide payload trace or richer instrumentation
