sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
290518864591080,290518964990181,77.639752,0.000000,161,125,0
290518964990181,290519065357134,78.980892,0.000000,157,124,0
290519065357134,290519165720253,79.113924,0.000000,158,125,0
290519165720253,290519266012400,78.616352,0.000000,159,125,0
290519266012400,290519366334026,79.113924,0.000000,158,125,0
290519366334026,290519466675062,78.205128,0.000000,156,122,0
290519466675062,290519567015476,80.254777,0.000000,157,126,0
290519567015476,290519667388249,78.481013,0.000000,158,124,0
290519667388249,290519767742708,78.980892,0.000000,157,124,0
290519767742708,290519868042894,75.316456,0.000000,158,119,0
290519868042894,290519968363047,77.070064,0.000000,157,121,0
290519968363047,290520068748166,72.327044,0.000000,159,115,0
290520068748166,290520169095495,78.125000,0.000000,160,125,0
290520169095495,290520269408861,77.848101,0.000000,158,123,0
290520269408861,290520369811514,77.848101,0.000000,158,123,0
290520369811514,290520470133233,77.848101,0.000000,158,123,0
290520470133233,290520570490310,79.113924,0.000000,158,125,0
290520570490310,290520670805667,78.980892,0.000000,157,124,0
290520670805667,290520771179528,78.616352,0.000000,159,125,0
290520771179528,290520871498153,73.417722,0.000000,158,116,0
290520871498153,290520971849177,77.848101,0.000000,158,123,0
290520971849177,290521072217630,77.987421,0.000000,159,124,0
290521072217630,290521172538876,79.617834,0.000000,157,125,0
290521172538876,290521272857899,77.070064,0.636943,157,121,1
290521272857899,290521373247193,79.245283,0.000000,159,126,0
290521373247193,290521473682241,77.707006,0.000000,157,122,0
290521473682241,290521574006642,79.245283,0.000000,159,126,0
290521574006642,290521674388022,78.481013,0.000000,158,124,0
290521674388022,290521774796908,78.980892,0.000000,157,124,0
290521774796908,290521875169572,75.316456,0.000000,158,119,0
290521875169572,290521975546581,79.113924,0.000000,158,125,0
290521975546581,290522075966935,77.215190,0.000000,158,122,0
290522075966935,290522176342513,75.159236,3.821656,157,118,6
290522176342513,290522276734072,77.987421,0.000000,159,124,0
290522276734072,290522377032901,77.358491,0.628931,159,123,1
290522377032901,290522477387690,77.848101,0.000000,158,123,0
290522477387690,290522577764009,78.980892,0.000000,157,124,0
290522577764009,290522678112896,78.481013,0.000000,158,124,0
290522678112896,290522778451679,80.128205,0.000000,156,125,0
290522778451679,290522878772250,76.582278,0.000000,158,121,0
290522878772250,290522979111237,78.980892,0.000000,157,124,0
290522979111237,290523079426241,90.625000,0.000000,160,145,0
290523079426241,290523179794670,93.037975,0.000000,158,147,0
290523179794670,290523280128578,91.358025,0.000000,162,148,0
290523280128578,290523380473036,91.875000,0.000000,160,147,0
290523380473036,290523480936817,91.358025,0.000000,162,148,0
290523480936817,290523581333285,92.500000,0.000000,160,148,0
290523581333285,290523681666254,92.452830,0.000000,159,147,0
290523681666254,290523781986639,91.875000,0.000000,160,147,0
290523781986639,290523882368902,89.375000,0.000000,160,143,0
290523882368902,290523982739572,92.500000,0.000000,160,148,0
290523982739572,290524083073761,91.875000,0.000000,160,147,0
290524083073761,290524183525227,88.198758,0.000000,161,142,0
290524183525227,290524283851501,90.683230,0.000000,161,146,0
290524283851501,290524384384132,89.375000,0.000000,160,143,0
290524384384132,290524484755782,92.500000,0.000000,160,148,0
290524484755782,290524585131321,91.925466,0.000000,161,148,0
290524585131321,290524685467811,90.625000,0.000000,160,145,0
290524685467811,290524785916282,91.925466,0.000000,161,148,0
290524785916282,290524886294145,90.062112,0.000000,161,145,0
290524886294145,290524986670645,90.683230,0.000000,161,146,0
290524986670645,290525087046526,91.925466,0.000000,161,148,0
290525087046526,290525187385934,92.500000,0.000000,160,148,0
290525187385934,290525287747091,92.452830,0.000000,159,147,0
290525287747091,290525388045783,91.925466,0.000000,161,148,0
290525388045783,290525488404074,91.875000,0.000000,160,147,0
290525488404074,290525588718630,91.925466,0.000000,161,148,0
290525588718630,290525689057861,91.250000,0.625000,160,146,1
290525689057861,290525789426131,92.452830,0.000000,159,147,0
290525789426131,290525889802100,90.062112,0.000000,161,145,0
290525889802100,290525990120533,91.875000,0.000000,160,147,0
290525990120533,290526090441106,81.875000,4.375000,160,131,7
290526090441106,290526190810144,72.670807,0.000000,161,117,0
290526190810144,290526291242853,66.875000,0.000000,160,107,0
290526291242853,290526391981738,73.750000,0.625000,160,118,1
290526391981738,290526492619724,71.875000,0.000000,160,115,0
290526492619724,290526593719316,72.327044,0.000000,159,115,0
290526593719316,290526695109328,70.625000,0.000000,160,113,0
290526695109328,290526796504655,71.250000,0.000000,160,114,0
290526796504655,290526897593783,68.750000,0.000000,160,110,0
290526897593783,290526998640767,72.955975,0.000000,159,116,0
290526998640767,290527099735651,70.000000,0.000000,160,112,0
290527099735651,290527201023333,70.987654,0.000000,162,115,0
290527201023333,290527302300996,70.886076,0.000000,158,112,0
290527302300996,290527403046600,73.913043,0.000000,161,119,0
290527403046600,290527503793972,69.811321,0.000000,159,111,0
290527503793972,290527604491998,72.611465,0.000000,157,114,0
290527604491998,290527705201781,70.807453,0.000000,161,114,0
290527705201781,290527805894203,71.069182,0.000000,159,113,0
290527805894203,290527906657541,64.375000,0.000000,160,103,0
290527906657541,290528007387858,73.417722,0.000000,158,116,0
290528007387858,290528108083263,72.955975,0.000000,159,116,0
290528108083263,290528208767766,72.784810,0.000000,158,115,0
290528208767766,290528309501620,71.875000,0.000000,160,115,0
290528309501620,290528410193401,72.049689,0.000000,161,116,0
290528410193401,290528511068826,70.440252,0.000000,159,112,0
290528511068826,290528611805339,72.784810,0.000000,158,115,0
290528611805339,290528712562723,72.049689,0.000000,161,116,0
290528712562723,290528813236702,71.518987,0.000000,158,113,0
290528813236702,290528913991327,68.354430,0.000000,158,108,0
290528913991327,290529014660408,71.875000,0.000000,160,115,0
290529014660408,290529115448014,72.327044,0.000000,159,115,0
290529115448014,290529216148844,69.811321,0.000000,159,111,0
290529216148844,290529317111980,66.459627,0.000000,161,107,0
290529317111980,290529417844709,66.250000,0.000000,160,106,0
290529417844709,290529518992536,71.337580,0.000000,157,112,0
290529518992536,290529620075976,72.955975,0.000000,159,116,0
290529620075976,290529720838183,72.955975,0.000000,159,116,0
290529720838183,290529821784297,65.432099,0.000000,162,106,0
290529821784297,290529923231953,72.327044,0.000000,159,115,0
290529923231953,290530024514653,67.701863,0.000000,161,109,0
290530024514653,290530125752955,71.250000,0.000000,160,114,0
290530125752955,290530226820343,71.604938,0.000000,162,116,0
290530226820343,290530328074624,74.213836,0.000000,159,118,0
290530328074624,290530429546659,71.069182,0.000000,159,113,0
290530429546659,290530530262311,72.955975,0.000000,159,116,0
290530530262311,290530631483100,72.500000,0.000000,160,116,0
290530631483100,290530732435195,73.417722,0.000000,158,116,0
290530732435195,290530833603330,70.370370,0.000000,162,114,0
290530833603330,290530935181081,72.670807,0.000000,161,117,0
