sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
290518864591080,290518964990181,sda,0,0,0.000000,0,0.000000,0
290518964990181,290519065357134,sda,0,0,0.000000,0,0.000000,0
290519065357134,290519165720253,sda,0,0,0.000000,0,0.000000,0
290519165720253,290519266012400,sda,0,0,0.000000,0,0.000000,0
290519266012400,290519366334026,sda,0,0,0.000000,0,0.000000,0
290519366334026,290519466675062,sda,0,0,0.000000,0,0.000000,0
290519466675062,290519567015476,sda,0,0,0.000000,0,0.000000,0
290519567015476,290519667388249,sda,0,0,0.000000,0,0.000000,0
290519667388249,290519767742708,sda,0,0,0.000000,0,0.000000,0
290519767742708,290519868042894,sda,0,0,0.000000,0,0.000000,0
290519868042894,290519968363047,sda,0,0,0.000000,0,0.000000,0
290519968363047,290520068748166,sda,0,0,0.000000,0,0.000000,0
290520068748166,290520169095495,sda,0,0,0.000000,0,0.000000,0
290520169095495,290520269408861,sda,0,0,0.000000,0,0.000000,0
290520269408861,290520369811514,sda,0,0,0.000000,0,0.000000,0
290520369811514,290520470133233,sda,0,0,0.000000,0,0.000000,0
290520470133233,290520570490310,sda,0,0,0.000000,0,0.000000,0
290520570490310,290520670805667,sda,0,0,0.000000,0,0.000000,0
290520670805667,290520771179528,sda,0,0,0.000000,0,0.000000,0
290520771179528,290520871498153,sda,0,0,0.000000,0,0.000000,0
290520871498153,290520971849177,sda,0,0,0.000000,0,0.000000,0
290520971849177,290521072217630,sda,0,0,0.000000,0,0.000000,0
290521072217630,290521172538876,sda,0,0,0.000000,0,0.000000,0
290521172538876,290521272857899,sda,0,0,0.000000,0,0.000000,0
290521272857899,290521373247193,sda,0,0,0.000000,0,0.000000,0
290521373247193,290521473682241,sda,0,0,0.000000,0,0.000000,0
290521473682241,290521574006642,sda,0,0,0.000000,0,0.000000,0
290521574006642,290521674388022,sda,0,0,0.000000,0,0.000000,0
290521674388022,290521774796908,sda,0,0,0.000000,0,0.000000,0
290521774796908,290521875169572,sda,0,0,0.000000,0,0.000000,0
290521875169572,290521975546581,sda,0,0,0.000000,0,0.000000,0
290521975546581,290522075966935,sda,0,0,0.000000,0,0.000000,0
290522075966935,290522176342513,sda,0,0,0.000000,0,0.000000,0
290522176342513,290522276734072,sda,0,0,0.000000,0,0.000000,0
290522276734072,290522377032901,sda,0,0,0.000000,0,0.000000,0
290522377032901,290522477387690,sda,0,0,0.000000,0,0.000000,0
290522477387690,290522577764009,sda,0,0,0.000000,0,0.000000,0
290522577764009,290522678112896,sda,0,0,0.000000,0,0.000000,0
290522678112896,290522778451679,sda,0,0,0.000000,0,0.000000,0
