sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
290518864591080,290518964990181,2646010,0,157876224,0,0,123969536
290518964990181,290519065357134,2646010,0,279240704,0,0,121364480
290519065357134,290519165720253,2646010,0,401809408,0,0,122568704
290519165720253,290519266012400,2646010,0,524730368,0,0,122920960
290519266012400,290519366334026,2646010,0,649248768,0,0,124518400
290519366334026,290519466675062,2646010,0,770031616,0,0,120782848
290519466675062,290519567015476,2646010,0,895606784,0,0,125575168
290519567015476,290519667388249,2646010,0,1021292544,0,0,125685760
290519667388249,290519767742708,2646010,0,1145044992,0,0,123752448
290519767742708,290519868042894,2646010,0,1268580352,0,0,123535360
290519868042894,290519968363047,2646010,0,1389842432,0,0,121262080
290519968363047,290520068748166,2646010,0,1507999744,0,0,118157312
290520068748166,290520169095495,2646010,0,1636679680,0,0,128679936
290520169095495,290520269408861,2646010,0,1758748672,0,0,122068992
290520269408861,290520369811514,2646010,0,1880457216,0,0,121708544
290520369811514,290520470133233,2646010,0,2003685376,0,0,123228160
290520470133233,290520570490310,2646010,0,2132508672,0,0,128823296
290520570490310,290520670805667,2646010,0,2259214336,0,0,126705664
290520670805667,290520771179528,2646010,0,2385199104,0,0,125984768
290520771179528,290520871498153,2646010,0,2505498624,0,0,120299520
290520871498153,290520971849177,2646010,0,2626260992,0,0,120762368
290520971849177,290521072217630,2646010,0,2746798080,0,0,120537088
290521072217630,290521172538876,2646010,0,2871836672,0,0,125038592
290521172538876,290521272857899,2646010,0,2991816704,0,0,119980032
290521272857899,290521373247193,2646010,0,3117924352,0,0,126107648
290521373247193,290521473682241,2646010,0,3240140800,0,0,122216448
290521473682241,290521574006642,2646010,0,3365470208,0,0,125329408
290521574006642,290521674388022,2646010,0,3487907840,0,0,122437632
290521674388022,290521774796908,2646010,0,3614031872,0,0,126124032
290521774796908,290521875169572,2646010,0,3734937600,0,0,120905728
290521875169572,290521975546581,2646010,0,3860455424,0,0,125517824
290521975546581,290522075966935,2646010,0,3982200832,0,0,121745408
290522075966935,290522176342513,2646010,0,4106485760,0,0,124284928
290522176342513,290522276734072,2646010,0,4230750208,0,0,124264448
290522276734072,290522377032901,2646010,0,4354662400,0,0,123912192
290522377032901,290522477387690,2646010,0,4476502016,0,0,121839616
290522477387690,290522577764009,2646010,0,4599619584,0,0,123117568
290522577764009,290522678112896,2646010,0,4724129792,0,0,124510208
290522678112896,290522778451679,2646010,0,4848566272,0,0,124436480
290522778451679,290522878772250,2646010,0,4976771072,0,0,128204800
290522878772250,290522979111237,2646010,0,5104803840,0,0,128032768
290522979111237,290523079426241,2646010,0,5120008192,0,0,15204352
290523079426241,290523179794670,2646010,0,5120008192,0,0,0
290523179794670,290523280128578,2646010,0,5120008192,0,0,0
290523280128578,290523380473036,2646010,0,5120008192,0,0,0
290523380473036,290523480936817,2646010,0,5120008192,0,0,0
290523480936817,290523581333285,2646010,0,5120008192,0,0,0
290523581333285,290523681666254,2646010,0,5120008192,0,0,0
290523681666254,290523781986639,2646010,0,5120008192,0,0,0
290523781986639,290523882368902,2646010,0,5120008192,0,0,0
290523882368902,290523982739572,2646010,0,5120008192,0,0,0
290523982739572,290524083073761,2646010,0,5120008192,0,0,0
290524083073761,290524183525227,2646010,0,5120008192,0,0,0
290524183525227,290524283851501,2646010,0,5120008192,0,0,0
290524283851501,290524384384132,2646010,0,5120008192,0,0,0
290524384384132,290524484755782,2646010,0,5120008192,0,0,0
290524484755782,290524585131321,2646010,0,5120008192,0,0,0
290524585131321,290524685467811,2646010,0,5120008192,0,0,0
290524685467811,290524785916282,2646010,0,5120008192,0,0,0
290524785916282,290524886294145,2646010,0,5120008192,0,0,0
290524886294145,290524986670645,2646010,0,5120008192,0,0,0
290524986670645,290525087046526,2646010,0,5120008192,0,0,0
290525087046526,290525187385934,2646010,0,5120008192,0,0,0
290525187385934,290525287747091,2646010,0,5120008192,0,0,0
290525287747091,290525388045783,2646010,0,5120008192,0,0,0
290525388045783,290525488404074,2646010,0,5120012288,0,0,4096
290525488404074,290525588718630,2646010,0,5120012288,196689920,0,0
290525588718630,290525689057861,2646010,0,5120012288,1146216448,0,0
290525689057861,290525789426131,2646010,0,5120012288,2243670016,0,0
290525789426131,290525889802100,2646010,0,5120012288,3351638016,0,0
290525889802100,290525990120533,2646010,0,5120012288,4461371392,0,0
290525990120533,290526090441106,2646010,0,5125136384,5120004096,0,5124096
290526090441106,290526190810144,2646010,0,5125136384,5120004096,0,0
290526190810144,290526291242853,2646010,0,5125136384,5120004096,0,0
290526291242853,290526391981738,2646010,7606272,5125136384,5120004096,7606272,0
290526391981738,290526492619724,2646010,15507456,5125136384,5120004096,7901184,0
290526492619724,290526593719316,2646010,23064576,5125136384,5120004096,7557120,0
290526593719316,290526695109328,2646010,30273536,5125136384,5120004096,7208960,0
290526695109328,290526796504655,2646010,38354944,5125136384,5120004096,8081408,0
290526796504655,290526897593783,2646010,44912640,5125136384,5120004096,6557696,0
290526897593783,290526998640767,2646010,53075968,5125136384,5120004096,8163328,0
290526998640767,290527099735651,2646010,59985920,5125136384,5120004096,6909952,0
290527099735651,290527201023333,2646010,66568192,5125136384,5120004096,6582272,0
290527201023333,290527302300996,2646010,73072640,5125136384,5120004096,6504448,0
290527302300996,290527403046600,2646010,80293888,5125136384,5120004096,7221248,0
290527403046600,290527503793972,2646010,87404544,5125136384,5120004096,7110656,0
290527503793972,290527604491998,2646010,95621120,5125136384,5120004096,8216576,0
290527604491998,290527705201781,2646010,102449152,5125136384,5120004096,6828032,0
290527705201781,290527805894203,2646010,109056000,5125136384,5120004096,6606848,0
290527805894203,290527906657541,2646010,115425280,5125136384,5120004096,6369280,0
290527906657541,290528007387858,2646010,121909248,5125136384,5120004096,6483968,0
290528007387858,290528108083263,2646010,129073152,5125136384,5120004096,7163904,0
290528108083263,290528208767766,2646010,136867840,5125136384,5120004096,7794688,0
290528208767766,290528309501620,2646010,145788928,5125136384,5120004096,8921088,0
290528309501620,290528410193401,2646010,152948736,5125136384,5120004096,7159808,0
290528410193401,290528511068826,2646010,160022528,5125136384,5120004096,7073792,0
