sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
290794700725868,290794801182522,71.794872,0.000000,156,112,0
290794801182522,290794901685005,71.337580,0.000000,157,112,0
290794901685005,290795002166400,75.796178,0.000000,157,119,0
290795002166400,290795102614674,73.248408,0.000000,157,115,0
290795102614674,290795203012635,75.159236,0.000000,157,118,0
290795203012635,290795303458565,75.159236,0.000000,157,118,0
290795303458565,290795403897576,73.750000,0.000000,160,118,0
290795403897576,290795504371798,74.050633,0.000000,158,117,0
290795504371798,290795604894301,75.625000,0.000000,160,121,0
290795604894301,290795705319848,77.272727,0.000000,154,119,0
290795705319848,290795805741838,75.641026,0.000000,156,118,0
290795805741838,290795906111854,75.159236,0.000000,157,118,0
290795906111854,290796006568989,69.426752,0.000000,157,109,0
290796006568989,290796106947422,74.213836,0.000000,159,118,0
290796106947422,290796207416821,75.316456,0.000000,158,119,0
290796207416821,290796307888948,75.471698,0.000000,159,120,0
290796307888948,290796408298725,76.582278,0.000000,158,121,0
290796408298725,290796508642873,73.248408,1.273885,157,115,2
290796508642873,290796609168493,77.070064,0.000000,157,121,0
290796609168493,290796709577533,73.885350,0.000000,157,116,0
290796709577533,290796810018201,74.522293,0.000000,157,117,0
290796810018201,290796910492193,76.282051,0.000000,156,119,0
290796910492193,290797010959727,75.471698,0.000000,159,120,0
290797010959727,290797111479775,75.316456,0.000000,158,119,0
290797111479775,290797211859962,75.796178,0.000000,157,119,0
290797211859962,290797312301036,74.193548,0.000000,155,115,0
290797312301036,290797412744181,75.949367,0.000000,158,120,0
290797412744181,290797513216544,75.641026,0.000000,156,118,0
290797513216544,290797613778686,76.433121,0.000000,157,120,0
290797613778686,290797714287982,68.589744,0.000000,156,107,0
290797714287982,290797814730566,74.050633,0.000000,158,117,0
290797814730566,290797915212024,75.159236,0.000000,157,118,0
290797915212024,290798015715185,74.683544,0.000000,158,118,0
290798015715185,290798116045985,77.707006,0.000000,157,122,0
290798116045985,290798216360658,77.358491,0.000000,159,123,0
290798216360658,290798316678832,76.250000,0.000000,160,122,0
290798316678832,290798416997689,76.433121,0.000000,157,120,0
290798416997689,290798517360894,72.784810,5.063291,158,115,8
290798517360894,290798617730439,77.564103,0.000000,156,121,0
290798617730439,290798718063653,78.980892,0.000000,157,124,0
290798718063653,290798818409027,76.729560,0.000000,159,122,0
290798818409027,290798918772693,78.750000,0.000000,160,126,0
290798918772693,290799019128132,79.617834,0.000000,157,125,0
290799019128132,290799119451320,85.000000,0.000000,160,136,0
290799119451320,290799219837700,91.823899,0.000000,159,146,0
290799219837700,290799320206226,88.750000,0.000000,160,142,0
290799320206226,290799420546005,90.683230,0.000000,161,146,0
290799420546005,290799520922116,89.506173,0.000000,162,145,0
290799520922116,290799621299112,91.358025,0.000000,162,148,0
290799621299112,290799721650273,85.625000,0.000000,160,137,0
290799721650273,290799822136359,81.250000,0.000000,160,130,0
290799822136359,290799922507931,86.875000,0.000000,160,139,0
290799922507931,290800022892024,85.534591,0.000000,159,136,0
290800022892024,290800123230072,87.974684,0.000000,158,139,0
290800123230072,290800223552561,87.421384,0.000000,159,139,0
290800223552561,290800323898958,84.375000,0.000000,160,135,0
290800323898958,290800424304769,86.250000,0.000000,160,138,0
290800424304769,290800524643095,89.937107,0.000000,159,143,0
290800524643095,290800625062680,91.194969,0.000000,159,145,0
290800625062680,290800725400641,91.250000,0.000000,160,146,0
290800725400641,290800825743178,88.819876,0.000000,161,143,0
290800825743178,290800926087424,91.304348,0.000000,161,147,0
290800926087424,290801026407667,92.500000,0.000000,160,148,0
290801026407667,290801126766678,93.081761,0.000000,159,148,0
290801126766678,290801227152067,91.925466,0.000000,161,148,0
