sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
290794700725868,290794801182522,sda,0,0,0.000000,0,0.000000,0
290794801182522,290794901685005,sda,0,0,0.000000,0,0.000000,0
290794901685005,290795002166400,sda,0,0,0.000000,0,0.000000,0
290795002166400,290795102614674,sda,0,0,0.000000,0,0.000000,0
290795102614674,290795203012635,sda,0,0,0.000000,0,0.000000,0
290795203012635,290795303458565,sda,0,0,0.000000,0,0.000000,0
290795303458565,290795403897576,sda,0,0,0.000000,0,0.000000,0
290795403897576,290795504371798,sda,0,0,0.000000,0,0.000000,0
290795504371798,290795604894301,sda,0,0,0.000000,0,0.000000,0
290795604894301,290795705319848,sda,0,0,0.000000,0,0.000000,0
290795705319848,290795805741838,sda,0,0,0.000000,0,0.000000,0
290795805741838,290795906111854,sda,0,0,0.000000,0,0.000000,0
290795906111854,290796006568989,sda,0,0,0.000000,0,0.000000,0
290796006568989,290796106947422,sda,0,0,0.000000,0,0.000000,0
290796106947422,290796207416821,sda,0,0,0.000000,0,0.000000,0
290796207416821,290796307888948,sda,0,0,0.000000,0,0.000000,0
290796307888948,290796408298725,sda,0,0,0.000000,0,0.000000,0
290796408298725,290796508642873,sda,0,0,0.000000,0,0.000000,0
290796508642873,290796609168493,sda,0,0,0.000000,0,0.000000,0
290796609168493,290796709577533,sda,0,0,0.000000,0,0.000000,0
290796709577533,290796810018201,sda,0,0,0.000000,0,0.000000,0
290796810018201,290796910492193,sda,0,0,0.000000,0,0.000000,0
290796910492193,290797010959727,sda,0,0,0.000000,0,0.000000,0
290797010959727,290797111479775,sda,0,0,0.000000,0,0.000000,0
290797111479775,290797211859962,sda,0,0,0.000000,0,0.000000,0
290797211859962,290797312301036,sda,0,0,0.000000,0,0.000000,0
290797312301036,290797412744181,sda,0,0,0.000000,0,0.000000,0
290797412744181,290797513216544,sda,0,0,0.000000,0,0.000000,0
290797513216544,290797613778686,sda,0,0,0.000000,0,0.000000,0
290797613778686,290797714287982,sda,0,0,0.000000,0,0.000000,0
290797714287982,290797814730566,sda,0,0,0.000000,0,0.000000,0
290797814730566,290797915212024,sda,0,0,0.000000,0,0.000000,0
290797915212024,290798015715185,sda,0,0,0.000000,0,0.000000,0
290798015715185,290798116045985,sda,0,0,0.000000,0,0.000000,0
290798116045985,290798216360658,sda,0,0,0.000000,0,0.000000,0
290798216360658,290798316678832,sda,0,0,0.000000,0,0.000000,0
290798316678832,290798416997689,sda,0,0,0.000000,0,0.000000,0
290798416997689,290798517360894,sda,0,0,0.000000,0,0.000000,0
290798517360894,290798617730439,sda,0,0,0.000000,0,0.000000,0
290798617730439,290798718063653,sda,0,0,0.000000,0,0.000000,0
290798718063653,290798818409027,sda,0,0,0.000000,0,0.000000,0
290798818409027,290798918772693,sda,0,0,0.000000,0,0.000000,0
290798918772693,290799019128132,sda,0,0,0.000000,0,0.000000,0
290799019128132,290799119451320,sda,0,0,0.000000,0,0.000000,0
290799119451320,290799219837700,sda,0,0,0.000000,0,0.000000,0
290799219837700,290799320206226,sda,0,0,0.000000,0,0.000000,0
290799320206226,290799420546005,sda,0,0,0.000000,0,0.000000,0
290799420546005,290799520922116,sda,0,0,0.000000,0,0.000000,0
290799520922116,290799621299112,sda,0,0,0.000000,0,0.000000,0
290799621299112,290799721650273,sda,0,0,0.000000,0,0.000000,0
290799721650273,290799822136359,sda,0,0,0.000000,0,0.000000,0
290799822136359,290799922507931,sda,0,0,0.000000,0,0.000000,0
290799922507931,290800022892024,sda,0,0,0.000000,0,0.000000,0
290800022892024,290800123230072,sda,0,0,0.000000,0,0.000000,0
290800123230072,290800223552561,sda,0,0,0.000000,0,0.000000,0
290800223552561,290800323898958,sda,0,0,0.000000,0,0.000000,0
290800323898958,290800424304769,sda,0,0,0.000000,0,0.000000,0
290800424304769,290800524643095,sda,0,0,0.000000,0,0.000000,0
290800524643095,290800625062680,sda,0,0,0.000000,0,0.000000,0
290800625062680,290800725400641,sda,0,0,0.000000,0,0.000000,0
290800725400641,290800825743178,sda,0,0,0.000000,0,0.000000,0
290800825743178,290800926087424,sda,0,0,0.000000,0,0.000000,0
290800926087424,290801026407667,sda,0,0,0.000000,0,0.000000,0
290801026407667,290801126766678,sda,0,0,0.000000,0,0.000000,0
290801126766678,290801227152067,sda,0,0,0.000000,0,0.000000,0
290801227152067,290801327494599,sda,0,0,0.000000,0,0.000000,0
290801327494599,290801427911860,sda,0,0,0.000000,0,0.000000,0
290801427911860,290801528244890,sda,0,0,0.000000,0,0.000000,0
290801528244890,290801628572235,sda,0,0,0.000000,0,0.000000,0
290801628572235,290801728888306,sda,0,0,0.000000,0,0.000000,0
290801728888306,290801829209899,sda,0,0,0.000000,0,0.000000,0
290801829209899,290801929518621,sda,0,0,0.000000,0,0.000000,0
