sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
291186783986081,291186884442713,77.987421,0.000000,159,124,0
291186884442713,291186984898909,79.617834,0.000000,157,125,0
291186984898909,291187085394796,80.128205,0.000000,156,125,0
291187085394796,291187185770251,79.113924,0.000000,158,125,0
291187185770251,291187286148511,79.617834,0.000000,157,125,0
291187286148511,291187386521299,77.987421,0.000000,159,124,0
291187386521299,291187486877597,79.245283,0.000000,159,126,0
291187486877597,291187587327805,79.245283,0.000000,159,126,0
291187587327805,291187687690091,79.617834,0.000000,157,125,0
291187687690091,291187788064159,78.616352,0.000000,159,125,0
291187788064159,291187888449044,78.343949,0.000000,157,123,0
291187888449044,291187988808243,78.125000,0.000000,160,125,0
291187988808243,291188089412539,79.245283,0.000000,159,126,0
291188089412539,291188189742802,80.769231,0.000000,156,126,0
291188189742802,291188290105494,79.874214,0.000000,159,127,0
291188290105494,291188390444278,79.746835,0.000000,158,126,0
291188390444278,291188490817108,79.746835,0.000000,158,126,0
291188490817108,291188591155706,78.750000,0.000000,160,126,0
291188591155706,291188691522022,80.254777,0.000000,157,126,0
291188691522022,291188791883163,78.125000,0.000000,160,125,0
291188791883163,291188892269317,77.987421,0.000000,159,124,0
291188892269317,291188992600573,78.616352,0.000000,159,125,0
291188992600573,291189092957912,79.874214,0.000000,159,127,0
291189092957912,291189193307304,79.617834,0.000000,157,125,0
291189193307304,291189293676740,79.245283,0.000000,159,126,0
291189293676740,291189394047413,79.617834,0.000000,157,125,0
291189394047413,291189494374719,80.379747,0.000000,158,127,0
291189494374719,291189594702463,79.617834,0.000000,157,125,0
291189594702463,291189695013060,79.245283,0.000000,159,126,0
291189695013060,291189795356130,78.205128,0.641026,156,122,1
291189795356130,291189895860312,77.707006,0.000000,157,122,0
291189895860312,291189996299279,79.746835,0.000000,158,126,0
291189996299279,291190096753362,76.923077,0.641026,156,120,1
291190096753362,291190197083016,79.113924,0.000000,158,125,0
291190197083016,291190297398427,80.379747,0.000000,158,127,0
291190297398427,291190397712359,79.113924,0.000000,158,125,0
291190397712359,291190498012361,79.245283,0.000000,159,126,0
291190498012361,291190598386993,79.245283,0.000000,159,126,0
291190598386993,291190698702177,79.113924,0.000000,158,125,0
291190698702177,291190799014196,79.617834,0.000000,157,125,0
291190799014196,291190899388445,92.500000,0.000000,160,148,0
291190899388445,291190999760614,91.925466,0.000000,161,148,0
291190999760614,291191100163839,93.125000,0.000000,160,149,0
291191100163839,291191200534864,92.500000,0.000000,160,148,0
291191200534864,291191300873652,91.304348,0.000000,161,147,0
291191300873652,291191401224039,93.081761,0.000000,159,148,0
291191401224039,291191501620162,93.125000,0.000000,160,149,0
291191501620162,291191602031397,93.081761,0.000000,159,148,0
291191602031397,291191702379150,92.546584,0.000000,161,149,0
291191702379150,291191802851047,90.683230,0.000000,161,146,0
291191802851047,291191903206762,92.500000,0.000000,160,148,0
291191903206762,291192003548574,92.500000,0.000000,160,148,0
291192003548574,291192103910221,93.125000,0.000000,160,149,0
291192103910221,291192204286826,93.710692,0.000000,159,149,0
291192204286826,291192304661655,91.925466,0.000000,161,148,0
291192304661655,291192405036161,93.710692,0.000000,159,149,0
291192405036161,291192505365376,91.925466,0.000000,161,148,0
291192505365376,291192605711713,93.710692,0.000000,159,149,0
291192605711713,291192706079613,92.546584,0.000000,161,149,0
291192706079613,291192806448252,90.625000,0.000000,160,145,0
291192806448252,291192906805901,92.500000,0.000000,160,148,0
291192906805901,291193007149182,91.925466,0.000000,161,148,0
291193007149182,291193107463864,93.710692,0.000000,159,149,0
291193107463864,291193207896721,92.546584,0.000000,161,149,0
291193207896721,291193308254208,93.710692,0.000000,159,149,0
291193308254208,291193408572087,93.081761,0.000000,159,148,0
291193408572087,291193508964326,91.975309,0.000000,162,149,0
291193508964326,291193609314574,93.710692,0.000000,159,149,0
291193609314574,291193709654045,93.125000,0.000000,160,149,0
291193709654045,291193809968758,90.625000,0.000000,160,145,0
291193809968758,291193910328946,74.213836,0.000000,159,118,0
291193910328946,291194010812474,71.875000,0.000000,160,115,0
