sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
291186783986081,291186884442713,sda,0,0,0.000000,0,0.000000,0
291186884442713,291186984898909,sda,0,0,0.000000,0,0.000000,0
291186984898909,291187085394796,sda,0,0,0.000000,0,0.000000,0
291187085394796,291187185770251,sda,0,0,0.000000,0,0.000000,0
291187185770251,291187286148511,sda,0,0,0.000000,0,0.000000,0
291187286148511,291187386521299,sda,0,0,0.000000,0,0.000000,0
291187386521299,291187486877597,sda,0,0,0.000000,0,0.000000,0
291187486877597,291187587327805,sda,0,0,0.000000,0,0.000000,0
291187587327805,291187687690091,sda,0,0,0.000000,0,0.000000,0
291187687690091,291187788064159,sda,0,0,0.000000,0,0.000000,0
291187788064159,291187888449044,sda,0,0,0.000000,0,0.000000,0
291187888449044,291187988808243,sda,0,0,0.000000,0,0.000000,0
291187988808243,291188089412539,sda,0,0,0.000000,0,0.000000,0
291188089412539,291188189742802,sda,0,0,0.000000,0,0.000000,0
291188189742802,291188290105494,sda,0,0,0.000000,0,0.000000,0
291188290105494,291188390444278,sda,0,0,0.000000,0,0.000000,0
291188390444278,291188490817108,sda,0,0,0.000000,0,0.000000,0
291188490817108,291188591155706,sda,0,0,0.000000,0,0.000000,0
291188591155706,291188691522022,sda,0,0,0.000000,0,0.000000,0
291188691522022,291188791883163,sda,0,0,0.000000,0,0.000000,0
291188791883163,291188892269317,sda,0,0,0.000000,0,0.000000,0
291188892269317,291188992600573,sda,0,0,0.000000,0,0.000000,0
291188992600573,291189092957912,sda,0,0,0.000000,0,0.000000,0
291189092957912,291189193307304,sda,0,0,0.000000,0,0.000000,0
291189193307304,291189293676740,sda,0,0,0.000000,0,0.000000,0
291189293676740,291189394047413,sda,0,0,0.000000,0,0.000000,0
291189394047413,291189494374719,sda,0,0,0.000000,0,0.000000,0
291189494374719,291189594702463,sda,0,0,0.000000,0,0.000000,0
291189594702463,291189695013060,sda,0,0,0.000000,0,0.000000,0
291189695013060,291189795356130,sda,0,0,0.000000,0,0.000000,0
291189795356130,291189895860312,sda,0,0,0.000000,0,0.000000,0
291189895860312,291189996299279,sda,0,0,0.000000,0,0.000000,0
291189996299279,291190096753362,sda,0,0,0.000000,0,0.000000,0
291190096753362,291190197083016,sda,0,0,0.000000,0,0.000000,0
291190197083016,291190297398427,sda,0,0,0.000000,0,0.000000,0
291190297398427,291190397712359,sda,0,0,0.000000,0,0.000000,0
291190397712359,291190498012361,sda,0,0,0.000000,0,0.000000,0
291190498012361,291190598386993,sda,0,0,0.000000,0,0.000000,0
291190598386993,291190698702177,sda,0,0,0.000000,0,0.000000,0
291190698702177,291190799014196,sda,0,0,0.000000,0,0.000000,0
291190799014196,291190899388445,sda,0,0,0.000000,0,0.000000,0
291190899388445,291190999760614,sda,0,0,0.000000,0,0.000000,0
291190999760614,291191100163839,sda,0,0,0.000000,0,0.000000,0
291191100163839,291191200534864,sda,0,0,0.000000,0,0.000000,0
291191200534864,291191300873652,sda,0,0,0.000000,0,0.000000,0
291191300873652,291191401224039,sda,0,0,0.000000,0,0.000000,0
291191401224039,291191501620162,sda,0,0,0.000000,0,0.000000,0
291191501620162,291191602031397,sda,0,0,0.000000,0,0.000000,0
291191602031397,291191702379150,sda,0,0,0.000000,0,0.000000,0
291191702379150,291191802851047,sda,0,0,0.000000,0,0.000000,0
291191802851047,291191903206762,sda,0,0,0.000000,0,0.000000,0
291191903206762,291192003548574,sda,0,0,0.000000,0,0.000000,0
291192003548574,291192103910221,sda,0,0,0.000000,0,0.000000,0
291192103910221,291192204286826,sda,0,0,0.000000,0,0.000000,0
291192204286826,291192304661655,sda,0,0,0.000000,0,0.000000,0
291192304661655,291192405036161,sda,0,0,0.000000,0,0.000000,0
291192405036161,291192505365376,sda,0,0,0.000000,0,0.000000,0
291192505365376,291192605711713,sda,0,0,0.000000,0,0.000000,0
291192605711713,291192706079613,sda,0,0,0.000000,0,0.000000,0
291192706079613,291192806448252,sda,0,0,0.000000,0,0.000000,0
291192806448252,291192906805901,sda,0,0,0.000000,0,0.000000,0
291192906805901,291193007149182,sda,0,0,0.000000,0,0.000000,0
291193007149182,291193107463864,sda,0,0,0.000000,0,0.000000,0
291193107463864,291193207896721,sda,0,0,0.000000,0,0.000000,0
291193207896721,291193308254208,sda,0,0,0.000000,0,0.000000,0
291193308254208,291193408572087,sda,0,0,0.000000,0,0.000000,0
291193408572087,291193508964326,sda,0,0,0.000000,0,0.000000,0
291193508964326,291193609314574,sda,0,0,0.000000,0,0.000000,0
291193609314574,291193709654045,sda,0,0,0.000000,0,0.000000,0
291193709654045,291193809968758,sda,0,0,0.000000,0,0.000000,0
291193809968758,291193910328946,sda,0,0,0.000000,0,0.000000,0
291193910328946,291194010812474,sda,0,0,0.000000,0,0.000000,0
291194010812474,291194111369159,sda,11344,5808128,55.083981,0,12.500412,1257
291194111369159,291194212766619,sda,14384,7364608,69.266405,0,6.834491,693
291194212766619,291194314201812,sda,12440,6369280,59.882754,0,5.156001,523
291194314201812,291194415411575,sda,14272,7307264,68.854523,0,6.096250,617
291194415411575,291194516848997,sda,10808,5533696,52.025610,0,5.136172,521
291194516848997,291194618190217,sda,12744,6524928,61.403013,0,5.673901,575
