sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
290927137542421,290927237920131,79.245283,0.000000,159,126,0
290927237920131,290927338254357,79.746835,0.000000,158,126,0
290927338254357,290927438609606,80.254777,0.000000,157,126,0
290927438609606,290927538942314,78.125000,0.000000,160,125,0
290927538942314,290927639403497,79.874214,0.000000,159,127,0
290927639403497,290927739752266,79.245283,0.000000,159,126,0
290927739752266,290927840105894,72.955975,0.000000,159,116,0
290927840105894,290927940420539,77.848101,0.000000,158,123,0
290927940420539,290928040766553,78.750000,0.000000,160,126,0
290928040766553,290928141353707,79.113924,0.000000,158,125,0
290928141353707,290928241704162,80.254777,0.000000,157,126,0
290928241704162,290928342059783,79.354839,0.000000,155,123,0
290928342059783,290928442394597,79.113924,0.000000,158,125,0
290928442394597,290928542795185,79.354839,0.000000,155,123,0
290928542795185,290928643135795,79.113924,0.000000,158,125,0
290928643135795,290928743457527,78.616352,0.000000,159,125,0
290928743457527,290928843815534,77.707006,0.000000,157,122,0
290928843815534,290928944142729,78.881988,0.000000,161,127,0
290928944142729,290929044474624,80.254777,0.000000,157,126,0
290929044474624,290929144820711,79.746835,0.000000,158,126,0
290929144820711,290929245160098,79.746835,0.000000,158,126,0
290929245160098,290929345485025,79.874214,0.000000,159,127,0
290929345485025,290929445800493,78.846154,0.000000,156,123,0
290929445800493,290929546140028,80.128205,0.000000,156,125,0
290929546140028,290929646448771,80.128205,0.000000,156,125,0
290929646448771,290929746823598,79.113924,0.000000,158,125,0
290929746823598,290929847153378,76.582278,0.000000,158,121,0
290929847153378,290929947487480,79.245283,0.000000,159,126,0
290929947487480,290930047893242,78.125000,1.250000,160,125,2
290930047893242,290930148301435,79.617834,0.000000,157,125,0
290930148301435,290930248630056,79.113924,0.000000,158,125,0
290930248630056,290930348977548,80.128205,0.000000,156,125,0
290930348977548,290930449302726,80.254777,0.000000,157,126,0
290930449302726,290930549679983,78.750000,0.000000,160,126,0
290930549679983,290930650030753,79.746835,0.000000,158,126,0
290930650030753,290930750386330,79.375000,0.000000,160,127,0
290930750386330,290930850732672,77.848101,0.000000,158,123,0
290930850732672,290930951100663,79.874214,0.000000,159,127,0
290930951100663,290931051458496,79.245283,0.000000,159,126,0
290931051458496,290931151811381,79.746835,0.000000,158,126,0
290931151811381,290931252142164,77.358491,0.000000,159,123,0
290931252142164,290931352457892,87.421384,0.000000,159,139,0
290931352457892,290931452819128,93.081761,0.000000,159,148,0
290931452819128,290931553200581,91.975309,0.000000,162,149,0
290931553200581,290931653571437,93.710692,0.000000,159,149,0
290931653571437,290931753941143,91.925466,0.000000,161,148,0
290931753941143,290931854288351,91.250000,0.000000,160,146,0
290931854288351,290931954620524,93.081761,0.000000,159,148,0
290931954620524,290932054987995,92.500000,0.000000,160,148,0
290932054987995,290932155364735,93.167702,0.000000,161,150,0
290932155364735,290932255737518,92.500000,0.000000,160,148,0
290932255737518,290932356166851,92.546584,0.000000,161,149,0
290932356166851,290932456501210,93.125000,0.000000,160,149,0
290932456501210,290932556839108,92.500000,0.000000,160,148,0
290932556839108,290932657220199,92.546584,0.000000,161,149,0
290932657220199,290932757594274,93.125000,0.000000,160,149,0
290932757594274,290932857956300,88.125000,0.000000,160,141,0
290932857956300,290932958437432,91.772152,0.000000,158,145,0
290932958437432,290933058780529,72.222222,0.000000,162,117,0
290933058780529,290933159057068,93.125000,0.000000,160,149,0
290933159057068,290933259379257,91.358025,0.000000,162,148,0
290933259379257,290933359736881,91.875000,0.000000,160,147,0
290933359736881,290933460112176,93.081761,0.000000,159,148,0
290933460112176,290933560443930,92.546584,0.000000,161,149,0
290933560443930,290933660764792,93.125000,0.000000,160,149,0
290933660764792,290933761295986,92.546584,0.000000,161,149,0
290933761295986,290933861609253,90.566038,0.000000,159,144,0
290933861609253,290933961992695,93.750000,0.000000,160,150,0
290933961992695,290934062333653,91.925466,0.000000,161,148,0
290934062333653,290934162639103,93.750000,0.000000,160,150,0
290934162639103,290934263010578,93.125000,0.000000,160,149,0
290934263010578,290934363374611,88.679245,0.000000,159,141,0
290934363374611,290934463825503,73.125000,0.000000,160,117,0
290934463825503,290934564368465,72.670807,0.000000,161,117,0
290934564368465,290934665133519,73.913043,0.621118,161,119,1
290934665133519,290934765878101,72.955975,0.000000,159,116,0
290934765878101,290934866536052,69.182390,0.000000,159,110,0
290934866536052,290934967181028,76.100629,0.000000,159,121,0
290934967181028,290935067922894,68.944099,0.621118,161,111,1
290935067922894,290935168717485,74.375000,0.000000,160,119,0
290935168717485,290935269406932,73.584906,0.000000,159,117,0
290935269406932,290935370163565,75.471698,0.000000,159,120,0
290935370163565,290935470905773,73.417722,0.000000,158,116,0
290935470905773,290935571674726,73.291925,0.000000,161,118,0
290935571674726,290935672448724,73.291925,0.000000,161,118,0
290935672448724,290935773143384,75.316456,0.000000,158,119,0
290935773143384,290935874049986,66.875000,0.000000,160,107,0
290935874049986,290935974842155,70.440252,0.000000,159,112,0
290935974842155,290936075421245,70.000000,0.000000,160,112,0
290936075421245,290936176154774,74.534161,0.000000,161,120,0
290936176154774,290936276882441,69.620253,0.000000,158,110,0
290936276882441,290936377611999,74.842767,0.000000,159,119,0
290936377611999,290936478282966,72.327044,0.000000,159,115,0
290936478282966,290936579074673,74.842767,0.000000,159,119,0
290936579074673,290936679806010,72.500000,0.000000,160,116,0
290936679806010,290936780581306,73.584906,0.000000,159,117,0
290936780581306,290936881352872,66.875000,0.000000,160,107,0
290936881352872,290936981989487,74.213836,0.000000,159,118,0
290936981989487,290937082904308,70.625000,0.000000,160,113,0
290937082904308,290937183684481,74.074074,0.000000,162,120,0
290937183684481,290937284485136,72.327044,0.000000,159,115,0
290937284485136,290937385152164,73.584906,0.000000,159,117,0
290937385152164,290937485849170,71.875000,0.000000,160,115,0
290937485849170,290937586550545,75.949367,0.000000,158,120,0
290937586550545,290937687176833,71.698113,0.000000,159,114,0
290937687176833,290937787944089,74.050633,0.000000,158,117,0
290937787944089,290937888720376,62.345679,0.000000,162,101,0
290937888720376,290937989570021,70.440252,0.000000,159,112,0
290937989570021,290938090585212,67.500000,0.000000,160,108,0
290938090585212,290938191470871,75.949367,0.000000,158,120,0
290938191470871,290938292325424,72.670807,0.000000,161,117,0
290938292325424,290938393148817,75.625000,0.000000,160,121,0
290938393148817,290938493878167,68.354430,0.000000,158,108,0
290938493878167,290938594632266,73.913043,0.000000,161,119,0
290938594632266,290938695537039,71.518987,0.000000,158,113,0
290938695537039,290938796327867,73.913043,0.000000,161,119,0
290938796327867,290938897029033,68.553459,0.000000,159,109,0
290938897029033,290938997730304,74.375000,0.000000,160,119,0
290938997730304,290939098497170,72.327044,0.000000,159,115,0
290939098497170,290939199465903,74.375000,0.000000,160,119,0
290939199465903,290939300238642,72.327044,0.000000,159,115,0
290939300238642,290939400936046,75.471698,0.000000,159,120,0
290939400936046,290939501713259,71.069182,0.000000,159,113,0
290939501713259,290939602563712,76.100629,0.000000,159,121,0
290939602563712,290939703351981,70.625000,0.000000,160,113,0
290939703351981,290939804039099,74.213836,0.000000,159,118,0
290939804039099,290939904725549,66.037736,0.000000,159,105,0
