sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
290927137542421,290927237920131,sda,0,0,0.000000,0,0.000000,0
290927237920131,290927338254357,sda,0,0,0.000000,0,0.000000,0
290927338254357,290927438609606,sda,0,0,0.000000,0,0.000000,0
290927438609606,290927538942314,sda,0,0,0.000000,0,0.000000,0
290927538942314,290927639403497,sda,0,0,0.000000,0,0.000000,0
290927639403497,290927739752266,sda,0,0,0.000000,0,0.000000,0
290927739752266,290927840105894,sda,0,0,0.000000,0,0.000000,0
290927840105894,290927940420539,sda,0,0,0.000000,0,0.000000,0
290927940420539,290928040766553,sda,0,0,0.000000,0,0.000000,0
290928040766553,290928141353707,sda,0,0,0.000000,0,0.000000,0
290928141353707,290928241704162,sda,0,0,0.000000,0,0.000000,0
290928241704162,290928342059783,sda,0,0,0.000000,0,0.000000,0
290928342059783,290928442394597,sda,0,0,0.000000,0,0.000000,0
290928442394597,290928542795185,sda,0,0,0.000000,0,0.000000,0
290928542795185,290928643135795,sda,0,0,0.000000,0,0.000000,0
290928643135795,290928743457527,sda,0,0,0.000000,0,0.000000,0
290928743457527,290928843815534,sda,0,0,0.000000,0,0.000000,0
290928843815534,290928944142729,sda,0,0,0.000000,0,0.000000,0
290928944142729,290929044474624,sda,0,0,0.000000,0,0.000000,0
290929044474624,290929144820711,sda,0,0,0.000000,0,0.000000,0
290929144820711,290929245160098,sda,0,0,0.000000,0,0.000000,0
290929245160098,290929345485025,sda,0,0,0.000000,0,0.000000,0
290929345485025,290929445800493,sda,0,0,0.000000,0,0.000000,0
290929445800493,290929546140028,sda,0,0,0.000000,0,0.000000,0
290929546140028,290929646448771,sda,0,0,0.000000,0,0.000000,0
290929646448771,290929746823598,sda,0,0,0.000000,0,0.000000,0
290929746823598,290929847153378,sda,0,0,0.000000,0,0.000000,0
290929847153378,290929947487480,sda,0,0,0.000000,0,0.000000,0
290929947487480,290930047893242,sda,0,0,0.000000,0,0.000000,0
290930047893242,290930148301435,sda,0,0,0.000000,0,0.000000,0
290930148301435,290930248630056,sda,0,0,0.000000,0,0.000000,0
290930248630056,290930348977548,sda,0,0,0.000000,0,0.000000,0
290930348977548,290930449302726,sda,0,0,0.000000,0,0.000000,0
290930449302726,290930549679983,sda,0,0,0.000000,0,0.000000,0
290930549679983,290930650030753,sda,0,0,0.000000,0,0.000000,0
290930650030753,290930750386330,sda,0,0,0.000000,0,0.000000,0
290930750386330,290930850732672,sda,0,0,0.000000,0,0.000000,0
290930850732672,290930951100663,sda,0,0,0.000000,0,0.000000,0
290930951100663,290931051458496,sda,0,0,0.000000,0,0.000000,0
290931051458496,290931151811381,sda,0,0,0.000000,0,0.000000,0
290931151811381,290931252142164,sda,0,0,0.000000,0,0.000000,0
290931252142164,290931352457892,sda,0,0,0.000000,0,0.000000,0
290931352457892,290931452819128,sda,0,0,0.000000,0,0.000000,0
290931452819128,290931553200581,sda,0,0,0.000000,0,0.000000,0
290931553200581,290931653571437,sda,0,0,0.000000,0,0.000000,0
290931653571437,290931753941143,sda,0,0,0.000000,0,0.000000,0
290931753941143,290931854288351,sda,0,0,0.000000,0,0.000000,0
290931854288351,290931954620524,sda,0,0,0.000000,0,0.000000,0
290931954620524,290932054987995,sda,0,0,0.000000,0,0.000000,0
290932054987995,290932155364735,sda,0,0,0.000000,0,0.000000,0
290932155364735,290932255737518,sda,0,0,0.000000,0,0.000000,0
290932255737518,290932356166851,sda,0,0,0.000000,0,0.000000,0
