sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
290927137542421,290927237920131,2650637,0,163471360,0,0,128856064
290927237920131,290927338254357,2650637,0,288260096,0,0,124788736
290927338254357,290927438609606,2650637,0,412303360,0,0,124043264
290927438609606,290927538942314,2650637,0,536952832,0,0,124649472
290927538942314,290927639403497,2650637,0,668237824,0,0,131284992
290927639403497,290927739752266,2650637,0,799342592,0,0,131104768
290927739752266,290927840105894,2650637,0,925777920,0,0,126435328
290927840105894,290927940420539,2650637,0,1055637504,0,0,129859584
290927940420539,290928040766553,2650637,0,1188331520,0,0,132694016
290928040766553,290928141353707,2650637,0,1318486016,0,0,130154496
290928141353707,290928241704162,2650637,0,1441394688,0,0,122908672
290928241704162,290928342059783,2650637,0,1530798080,0,0,89403392
290928342059783,290928442394597,2650637,0,1621573632,0,0,90775552
290928442394597,290928542795185,2650637,0,1711644672,0,0,90071040
290928542795185,290928643135795,2650637,0,1821286400,0,0,109641728
290928643135795,290928743457527,2650637,0,1950236672,0,0,128950272
290928743457527,290928843815534,2650637,0,2078220288,0,0,127983616
290928843815534,290928944142729,2650637,0,2210299904,0,0,132079616
290928944142729,290929044474624,2650637,0,2340339712,0,0,130039808
290929044474624,290929144820711,2650637,0,2472951808,0,0,132612096
290929144820711,290929245160098,2650637,0,2603417600,0,0,130465792
290929245160098,290929345485025,2650637,0,2734989312,0,0,131571712
290929345485025,290929445800493,2650637,0,2860744704,0,0,125755392
290929445800493,290929546140028,2650637,0,2957451264,0,0,96706560
290929546140028,290929646448771,2650637,0,3057336320,0,0,99885056
290929646448771,290929746823598,2650637,0,3176513536,0,0,119177216
290929746823598,290929847153378,2650637,0,3294298112,0,0,117784576
290929847153378,290929947487480,2650637,0,3420336128,0,0,126038016
290929947487480,290930047893242,2650637,0,3549110272,0,0,128774144
290930047893242,290930148301435,2650637,0,3674202112,0,0,125091840
290930148301435,290930248630056,2650637,0,3782656000,0,0,108453888
290930248630056,290930348977548,2650637,0,3875291136,0,0,92635136
290930348977548,290930449302726,2650637,0,4006379520,0,0,131088384
290930449302726,290930549679983,2650637,0,4139622400,0,0,133242880
290930549679983,290930650030753,2650637,0,4274044928,0,0,134422528
290930650030753,290930750386330,2650637,0,4407668736,0,0,133623808
290930750386330,290930850732672,2650637,0,4540055552,0,0,132386816
290930850732672,290930951100663,2650637,0,4674994176,0,0,134938624
290930951100663,290931051458496,2650637,0,4805976064,0,0,130981888
290931051458496,290931151811381,2650637,0,4935294976,0,0,129318912
290931151811381,290931252142164,2650637,0,5060968448,0,0,125673472
290931252142164,290931352457892,2650637,0,5120008192,0,0,59039744
290931352457892,290931452819128,2650637,0,5120008192,0,0,0
290931452819128,290931553200581,2650637,0,5120008192,0,0,0
290931553200581,290931653571437,2650637,0,5120008192,0,0,0
290931653571437,290931753941143,2650637,0,5120008192,0,0,0
290931753941143,290931854288351,2650637,0,5120008192,0,0,0
290931854288351,290931954620524,2650637,0,5120008192,0,0,0
290931954620524,290932054987995,2650637,0,5120008192,0,0,0
290932054987995,290932155364735,2650637,0,5120008192,0,0,0
290932155364735,290932255737518,2650637,0,5120008192,0,0,0
290932255737518,290932356166851,2650637,0,5120008192,0,0,0
290932356166851,290932456501210,2650637,0,5120008192,0,0,0
