sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
290653238523205,290653339027169,78.616352,0.000000,159,125,0
290653339027169,290653439454199,78.980892,0.000000,157,124,0
290653439454199,290653539827440,77.987421,0.000000,159,124,0
290653539827440,290653640167115,78.616352,0.000000,159,125,0
290653640167115,290653740531643,78.343949,0.000000,157,123,0
290653740531643,290653840853856,76.582278,0.000000,158,121,0
290653840853856,290653941184205,76.875000,0.000000,160,123,0
290653941184205,290654041549064,78.481013,0.000000,158,124,0
290654041549064,290654141914166,78.125000,0.000000,160,125,0
290654141914166,290654242295605,79.617834,0.000000,157,125,0
290654242295605,290654342654151,78.980892,0.000000,157,124,0
290654342654151,290654443018469,79.746835,0.000000,158,126,0
290654443018469,290654543406500,77.500000,0.000000,160,124,0
290654543406500,290654643785068,79.617834,0.000000,157,125,0
290654643785068,290654744127941,78.481013,0.000000,158,124,0
290654744127941,290654844451648,76.729560,0.000000,159,122,0
290654844451648,290654944810712,78.343949,0.000000,157,123,0
290654944810712,290655045147286,79.113924,0.000000,158,125,0
290655045147286,290655145572775,78.125000,0.000000,160,125,0
290655145572775,290655245967992,79.113924,0.000000,158,125,0
290655245967992,290655346303500,77.848101,0.000000,158,123,0
290655346303500,290655446629264,78.125000,0.000000,160,125,0
290655446629264,290655546976888,77.987421,0.000000,159,124,0
290655546976888,290655647402292,79.617834,0.000000,157,125,0
290655647402292,290655747890176,78.846154,0.000000,156,123,0
290655747890176,290655848226333,76.433121,0.000000,157,120,0
290655848226333,290655948550223,78.481013,0.000000,158,124,0
290655948550223,290656048875713,79.113924,0.000000,158,125,0
290656048875713,290656149310286,78.980892,0.000000,157,124,0
290656149310286,290656249665426,77.707006,0.000000,157,122,0
290656249665426,290656350186196,77.987421,0.000000,159,124,0
290656350186196,290656450534328,78.481013,0.632911,158,124,1
290656450534328,290656550965935,78.481013,0.000000,158,124,0
290656550965935,290656651301987,79.245283,0.000000,159,126,0
290656651301987,290656751818326,78.481013,0.000000,158,124,0
290656751818326,290656852247578,75.949367,0.000000,158,120,0
290656852247578,290656952739962,78.481013,0.000000,158,124,0
290656952739962,290657053173054,79.746835,0.000000,158,126,0
290657053173054,290657153642050,78.616352,0.000000,159,125,0
290657153642050,290657254073389,88.750000,0.000000,160,142,0
290657254073389,290657354401619,92.452830,0.000000,159,147,0
290657354401619,290657454737915,92.452830,0.000000,159,147,0
290657454737915,290657555061198,91.925466,0.000000,161,148,0
290657555061198,290657655397926,92.500000,0.000000,160,148,0
290657655397926,290657755752562,91.875000,0.000000,160,147,0
290657755752562,290657856134187,89.375000,0.000000,160,143,0
