sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
290653238523205,290653339027169,sda,0,0,0.000000,0,0.000000,0
290653339027169,290653439454199,sda,0,0,0.000000,0,0.000000,0
290653439454199,290653539827440,sda,0,0,0.000000,0,0.000000,0
290653539827440,290653640167115,sda,0,0,0.000000,0,0.000000,0
290653640167115,290653740531643,sda,0,0,0.000000,0,0.000000,0
290653740531643,290653840853856,sda,0,0,0.000000,0,0.000000,0
290653840853856,290653941184205,sda,0,0,0.000000,0,0.000000,0
290653941184205,290654041549064,sda,0,0,0.000000,0,0.000000,0
290654041549064,290654141914166,sda,0,0,0.000000,0,0.000000,0
290654141914166,290654242295605,sda,0,0,0.000000,0,0.000000,0
290654242295605,290654342654151,sda,0,0,0.000000,0,0.000000,0
290654342654151,290654443018469,sda,0,0,0.000000,0,0.000000,0
290654443018469,290654543406500,sda,0,0,0.000000,0,0.000000,0
290654543406500,290654643785068,sda,0,0,0.000000,0,0.000000,0
290654643785068,290654744127941,sda,0,0,0.000000,0,0.000000,0
290654744127941,290654844451648,sda,0,0,0.000000,0,0.000000,0
290654844451648,290654944810712,sda,0,0,0.000000,0,0.000000,0
290654944810712,290655045147286,sda,0,0,0.000000,0,0.000000,0
290655045147286,290655145572775,sda,0,0,0.000000,0,0.000000,0
290655145572775,290655245967992,sda,0,0,0.000000,0,0.000000,0
290655245967992,290655346303500,sda,0,0,0.000000,0,0.000000,0
290655346303500,290655446629264,sda,0,0,0.000000,0,0.000000,0
290655446629264,290655546976888,sda,0,0,0.000000,0,0.000000,0
290655546976888,290655647402292,sda,0,0,0.000000,0,0.000000,0
290655647402292,290655747890176,sda,0,0,0.000000,0,0.000000,0
290655747890176,290655848226333,sda,0,0,0.000000,0,0.000000,0
290655848226333,290655948550223,sda,0,0,0.000000,0,0.000000,0
290655948550223,290656048875713,sda,0,0,0.000000,0,0.000000,0
290656048875713,290656149310286,sda,0,0,0.000000,0,0.000000,0
290656149310286,290656249665426,sda,0,0,0.000000,0,0.000000,0
290656249665426,290656350186196,sda,0,0,0.000000,0,0.000000,0
