sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
290653238523205,290653339027169,2647503,0,170639360,0,0,128659456
290653339027169,290653439454199,2647503,0,300466176,0,0,129826816
290653439454199,290653539827440,2647503,0,430432256,0,0,129966080
290653539827440,290653640167115,2647503,0,563331072,0,0,132898816
290653640167115,290653740531643,2647503,0,692297728,0,0,128966656
290653740531643,290653840853856,2647503,0,820838400,0,0,128540672
290653840853856,290653941184205,2647503,0,950362112,0,0,129523712
290653941184205,290654041549064,2647503,0,1082523648,0,0,132161536
290654041549064,290654141914166,2647503,0,1211736064,0,0,129212416
290654141914166,290654242295605,2647503,0,1343184896,0,0,131448832
290654242295605,290654342654151,2647503,0,1473224704,0,0,130039808
290654342654151,290654443018469,2647503,0,1606377472,0,0,133152768
290654443018469,290654543406500,2647503,0,1733632000,0,0,127254528
290654543406500,290654643785068,2647503,0,1866973184,0,0,133341184
290654643785068,290654744127941,2647503,0,1997926400,0,0,130953216
290654744127941,290654844451648,2647503,0,2127118336,0,0,129191936
290654844451648,290654944810712,2647503,0,2253676544,0,0,126558208
290654944810712,290655045147286,2647503,0,2386391040,0,0,132714496
290655045147286,290655145572775,2647503,0,2518409216,0,0,132018176
290655145572775,290655245967992,2647503,0,2651607040,0,0,133197824
290655245967992,290655346303500,2647503,0,2776268800,0,0,124661760
290655346303500,290655446629264,2647503,0,2909028352,0,0,132759552
290655446629264,290655546976888,2647503,0,3035459584,0,0,126431232
290655546976888,290655647402292,2647503,0,3164766208,0,0,129306624
290655647402292,290655747890176,2647503,0,3294175232,0,0,129409024
290655747890176,290655848226333,2647503,0,3425902592,0,0,131727360
290655848226333,290655948550223,2647503,0,3555057664,0,0,129155072
290655948550223,290656048875713,2647503,0,3686367232,0,0,131309568
290656048875713,290656149310286,2647503,0,3817086976,0,0,130719744
290656149310286,290656249665426,2647503,0,3947159552,0,0,130072576
290656249665426,290656350186196,2647503,0,4075192320,0,0,128032768
290656350186196,290656450534328,2647503,0,4205936640,0,0,130744320
290656450534328,290656550965935,2647503,0,4331446272,0,0,125509632
290656550965935,290656651301987,2647503,0,4460765184,0,0,129318912
