sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
291057024629364,291057125124859,79.245283,0.000000,159,126,0
291057125124859,291057225557956,80.379747,0.000000,158,127,0
291057225557956,291057325883473,77.987421,0.000000,159,124,0
291057325883473,291057426288303,78.616352,0.000000,159,125,0
291057426288303,291057526677274,79.617834,0.000000,157,125,0
291057526677274,291057627045960,79.874214,0.000000,159,127,0
291057627045960,291057727377397,78.343949,0.000000,157,123,0
291057727377397,291057827717850,77.987421,0.000000,159,124,0
291057827717850,291057928071997,78.616352,0.000000,159,125,0
291057928071997,291058028457833,68.987342,0.000000,158,109,0
291058028457833,291058128833581,63.522013,0.000000,159,101,0
291058128833581,291058229340929,80.503145,0.000000,159,128,0
291058229340929,291058329792512,79.113924,0.000000,158,125,0
291058329792512,291058430150204,79.874214,0.000000,159,127,0
291058430150204,291058530522059,78.616352,0.000000,159,125,0
291058530522059,291058630885689,79.375000,0.000000,160,127,0
291058630885689,291058731217307,78.481013,0.000000,158,124,0
291058731217307,291058831497110,77.987421,0.000000,159,124,0
291058831497110,291058931819990,79.617834,0.000000,157,125,0
291058931819990,291059032256925,79.874214,0.000000,159,127,0
291059032256925,291059132657629,79.245283,0.000000,159,126,0
291059132657629,291059233011220,80.503145,0.000000,159,128,0
291059233011220,291059333328932,78.616352,0.000000,159,125,0
291059333328932,291059433643450,79.746835,0.000000,158,126,0
291059433643450,291059534010717,79.617834,0.000000,157,125,0
291059534010717,291059634374914,79.617834,0.000000,157,125,0
291059634374914,291059734700773,78.481013,0.000000,158,124,0
291059734700773,291059835011451,77.215190,0.000000,158,122,0
291059835011451,291059935390404,79.113924,0.000000,158,125,0
291059935390404,291060035789635,79.113924,0.000000,158,125,0
291060035789635,291060136149686,79.245283,0.000000,159,126,0
291060136149686,291060236511617,80.379747,0.000000,158,127,0
291060236511617,291060336833360,79.113924,0.000000,158,125,0
291060336833360,291060437293082,78.616352,0.000000,159,125,0
291060437293082,291060537665581,79.746835,0.000000,158,126,0
291060537665581,291060638055577,79.746835,0.000000,158,126,0
291060638055577,291060738398897,77.987421,0.000000,159,124,0
291060738398897,291060838753303,77.987421,0.000000,159,124,0
291060838753303,291060939114607,76.250000,0.000000,160,122,0
291060939114607,291061039470784,86.708861,0.000000,158,137,0
291061039470784,291061139830994,92.546584,0.000000,161,149,0
291061139830994,291061240168346,91.304348,0.000000,161,147,0
291061240168346,291061340531489,92.452830,0.000000,159,147,0
291061340531489,291061440901029,91.250000,1.875000,160,146,3
291061440901029,291061541271029,91.358025,0.000000,162,148,0
291061541271029,291061641607368,93.125000,0.000000,160,149,0
291061641607368,291061741984910,92.500000,0.000000,160,148,0
291061741984910,291061842363557,91.250000,0.000000,160,146,0
291061842363557,291061942737196,91.925466,0.000000,161,148,0
291061942737196,291062043118668,93.125000,0.000000,160,149,0
291062043118668,291062143503978,88.819876,0.000000,161,143,0
291062143503978,291062243891108,90.625000,0.000000,160,145,0
291062243891108,291062344298881,92.452830,0.000000,159,147,0
291062344298881,291062444678520,93.167702,0.000000,161,150,0
291062444678520,291062545057017,91.925466,0.000000,161,148,0
291062545057017,291062645400376,91.875000,0.000000,160,147,0
291062645400376,291062745749301,93.081761,0.000000,159,148,0
291062745749301,291062846108076,90.683230,0.000000,161,146,0
291062846108076,291062946475621,91.304348,0.000000,161,147,0
291062946475621,291063046850068,92.546584,0.000000,161,149,0
291063046850068,291063147244801,93.710692,0.000000,159,149,0
291063147244801,291063247579249,92.546584,0.000000,161,149,0
291063247579249,291063347936378,93.081761,0.000000,159,148,0
291063347936378,291063448293924,93.167702,0.000000,161,150,0
291063448293924,291063548611691,92.452830,0.000000,159,147,0
291063548611691,291063648953435,93.750000,0.000000,160,150,0
291063648953435,291063749308449,92.500000,0.000000,160,148,0
291063749308449,291063849651270,91.823899,0.000000,159,146,0
291063849651270,291063949996338,91.925466,0.000000,161,148,0
291063949996338,291064050317191,90.625000,0.000000,160,145,0
291064050317191,291064150744297,73.750000,0.000000,160,118,0
291064150744297,291064251179326,73.750000,0.000000,160,118,0
291064251179326,291064351576442,76.250000,1.875000,160,122,3
291064351576442,291064452242372,76.875000,0.625000,160,123,1
291064452242372,291064552852928,76.100629,0.000000,159,121,0
291064552852928,291064653622187,75.000000,0.000000,160,120,0
291064653622187,291064754325095,73.417722,0.000000,158,116,0
291064754325095,291064854950468,72.784810,0.000000,158,115,0
291064854950468,291064955784677,71.428571,0.000000,161,115,0
291064955784677,291065056488815,73.417722,0.000000,158,116,0
291065056488815,291065157412941,73.750000,0.000000,160,118,0
291065157412941,291065258163522,75.155280,0.000000,161,121,0
291065258163522,291065359066285,72.955975,0.000000,159,116,0
291065359066285,291065459801885,75.000000,0.000000,160,120,0
291065459801885,291065560810363,72.955975,0.000000,159,116,0
291065560810363,291065661754607,74.375000,0.000000,160,119,0
291065661754607,291065762476648,72.784810,0.000000,158,115,0
291065762476648,291065863150303,70.186335,0.000000,161,113,0
291065863150303,291065963901583,75.159236,0.000000,157,118,0
291065963901583,291066064648051,75.471698,0.000000,159,120,0
291066064648051,291066165340881,75.000000,0.000000,160,120,0
291066165340881,291066266037045,70.625000,0.000000,160,113,0
291066266037045,291066366790803,73.584906,0.000000,159,117,0
291066366790803,291066467575608,74.842767,0.000000,159,119,0
291066467575608,291066568264402,73.584906,1.257862,159,117,2
291066568264402,291066668969392,74.213836,0.000000,159,118,0
291066668969392,291066769749717,74.213836,0.000000,159,118,0
291066769749717,291066870415206,72.784810,0.000000,158,115,0
291066870415206,291066971092244,73.584906,0.000000,159,117,0
291066971092244,291067071802699,74.534161,0.000000,161,120,0
291067071802699,291067172572543,68.125000,0.000000,160,109,0
291067172572543,291067273409815,70.886076,0.000000,158,112,0
291067273409815,291067374126937,67.515924,0.000000,157,106,0
291067374126937,291067474865002,73.456790,0.000000,162,119,0
291067474865002,291067575718906,73.584906,0.000000,159,117,0
291067575718906,291067676535031,74.213836,0.000000,159,118,0
291067676535031,291067777410158,68.987342,0.000000,158,109,0
291067777410158,291067878072608,70.807453,0.000000,161,114,0
291067878072608,291067978922201,72.500000,0.000000,160,116,0
291067978922201,291068079742665,73.913043,0.000000,161,119,0
291068079742665,291068180580830,73.750000,0.000000,160,118,0
291068180580830,291068281286340,75.316456,0.000000,158,119,0
291068281286340,291068382047602,73.750000,0.000000,160,118,0
291068382047602,291068482957547,73.584906,0.000000,159,117,0
291068482957547,291068583797269,74.683544,0.000000,158,118,0
291068583797269,291068684624951,72.222222,0.000000,162,117,0
291068684624951,291068785563712,73.291925,0.000000,161,118,0
291068785563712,291068886500208,71.069182,0.000000,159,113,0
291068886500208,291068987481655,73.584906,0.000000,159,117,0
291068987481655,291069088359064,74.375000,0.000000,160,119,0
291069088359064,291069189080363,73.750000,0.000000,160,118,0
291069189080363,291069289713071,74.534161,0.000000,161,120,0
291069289713071,291069390375689,73.584906,0.000000,159,117,0
291069390375689,291069491114453,73.584906,0.000000,159,117,0
291069491114453,291069591933424,74.375000,0.000000,160,119,0
291069591933424,291069692593552,73.125000,0.000000,160,117,0
291069692593552,291069793390232,74.213836,0.000000,159,118,0
291069793390232,291069894450402,72.784810,0.000000,158,115,0
291069894450402,291069995199261,72.955975,0.000000,159,116,0
291069995199261,291070095916187,72.327044,0.000000,159,115,0
291070095916187,291070196625207,71.698113,0.000000,159,114,0
291070196625207,291070297584613,73.291925,0.000000,161,118,0
291070297584613,291070398468852,74.213836,0.000000,159,118,0
291070398468852,291070499204761,74.842767,0.000000,159,119,0
291070499204761,291070599848185,73.291925,0.000000,161,118,0
291070599848185,291070700648183,74.050633,0.000000,158,117,0
291070700648183,291070801410408,73.125000,0.000000,160,117,0
291070801410408,291070902081238,71.698113,0.000000,159,114,0
291070902081238,291071002718064,74.683544,0.000000,158,118,0
291071002718064,291071103485767,75.471698,0.000000,159,120,0
291071103485767,291071204340784,73.913043,0.000000,161,119,0
291071204340784,291071305246060,69.182390,0.000000,159,110,0
291071305246060,291071406139119,71.069182,0.000000,159,113,0
291071406139119,291071506885362,74.375000,0.000000,160,119,0
291071506885362,291071607590808,74.213836,0.000000,159,118,0
291071607590808,291071708281321,72.049689,0.000000,161,116,0
291071708281321,291071809072594,70.186335,1.863354,161,113,3
291071809072594,291071909795459,73.125000,0.000000,160,117,0
291071909795459,291072010504589,74.050633,0.000000,158,117,0
291072010504589,291072111245964,75.949367,0.000000,158,120,0
291072111245964,291072211990000,73.913043,0.000000,161,119,0
291072211990000,291072312751929,65.822785,0.000000,158,104,0
291072312751929,291072413507739,71.428571,0.000000,161,115,0
291072413507739,291072514514584,70.253165,0.000000,158,111,0
291072514514584,291072615311997,74.683544,0.000000,158,118,0
291072615311997,291072716047816,73.750000,0.000000,160,118,0
291072716047816,291072816758887,68.750000,0.000000,160,110,0
291072816758887,291072917795899,71.698113,0.000000,159,114,0
291072917795899,291073018559447,73.125000,0.000000,160,117,0
291073018559447,291073119297213,74.842767,0.000000,159,119,0
291073119297213,291073220077290,74.842767,0.000000,159,119,0
291073220077290,291073320794477,74.842767,0.000000,159,119,0
291073320794477,291073421547978,73.584906,0.000000,159,117,0
291073421547978,291073522316477,74.842767,0.000000,159,119,0
291073522316477,291073623082938,73.291925,0.000000,161,118,0
291073623082938,291073723856238,72.955975,0.000000,159,116,0
291073723856238,291073824588673,71.698113,0.000000,159,114,0
291073824588673,291073925354264,71.250000,0.000000,160,114,0
291073925354264,291074026123845,74.213836,0.000000,159,118,0
291074026123845,291074126871286,75.471698,0.000000,159,120,0
291074126871286,291074227889274,75.000000,0.000000,160,120,0
291074227889274,291074328646993,71.875000,0.000000,160,115,0
291074328646993,291074429430162,74.842767,0.000000,159,119,0
291074429430162,291074530048015,73.750000,0.000000,160,118,0
291074530048015,291074630830501,74.375000,0.000000,160,119,0
291074630830501,291074731608102,72.327044,0.000000,159,115,0
291074731608102,291074832328581,72.151899,0.000000,158,114,0
291074832328581,291074932972948,72.500000,0.000000,160,116,0
291074932972948,291075033739275,75.316456,0.000000,158,119,0
291075033739275,291075134432668,73.913043,0.000000,161,119,0
291075134432668,291075235185323,74.842767,0.000000,159,119,0
291075235185323,291075335918214,74.213836,0.000000,159,118,0
