sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
291057024629364,291057125124859,2651784,0,172793856,0,0,129318912
291057125124859,291057225557956,2651784,0,302612480,0,0,129818624
291057225557956,291057325883473,2651784,0,426770432,0,0,124157952
291057325883473,291057426288303,2651784,0,553926656,0,0,127156224
291057426288303,291057526677274,2651784,0,680808448,0,0,126881792
291057526677274,291057627045960,2651784,0,811798528,0,0,130990080
291057627045960,291057727377397,2651784,0,938082304,0,0,126283776
291057727377397,291057827717850,2651784,0,1071591424,0,0,133509120
291057827717850,291057928071997,2651784,0,1199628288,0,0,128036864
291057928071997,291058028457833,2651784,0,1321926656,0,0,122298368
291058028457833,291058128833581,2651784,0,1432788992,0,0,110862336
291058128833581,291058229340929,2651784,0,1564811264,0,0,132022272
291058229340929,291058329792512,2651784,0,1692983296,0,0,128172032
291058329792512,291058430150204,2651784,0,1825517568,0,0,132534272
291058430150204,291058530522059,2651784,0,1950736384,0,0,125218816
291058530522059,291058630885689,2651784,0,2079580160,0,0,128843776
291058630885689,291058731217307,2651784,0,2204016640,0,0,124436480
291058731217307,291058831497110,2651784,0,2335154176,0,0,131137536
291058831497110,291058931819990,2651784,0,2464333824,0,0,129179648
291058931819990,291059032256925,2651784,0,2595524608,0,0,131190784
291059032256925,291059132657629,2651784,0,2726805504,0,0,131280896
291059132657629,291059233011220,2651784,0,2862596096,0,0,135790592
291059233011220,291059333328932,2651784,0,2991579136,0,0,128983040
291059333328932,291059433643450,2651784,0,3122978816,0,0,131399680
291059433643450,291059534010717,2651784,0,3250044928,0,0,127066112
291059534010717,291059634374914,2651784,0,3382767616,0,0,132722688
291059634374914,291059734700773,2651784,0,3508215808,0,0,125448192
291059734700773,291059835011451,2651784,0,3638222848,0,0,130007040
291059835011451,291059935390404,2651784,0,3765772288,0,0,127549440
291059935390404,291060035789635,2651784,0,3890954240,0,0,125181952
291060035789635,291060136149686,2651784,0,4020502528,0,0,129548288
291060136149686,291060236511617,2651784,0,4152455168,0,0,131952640
291060236511617,291060336833360,2651784,0,4281384960,0,0,128929792
291060336833360,291060437293082,2651784,0,4409778176,0,0,128393216
291060437293082,291060537665581,2651784,0,4538892288,0,0,129114112
291060537665581,291060638055577,2651784,0,4667752448,0,0,128860160
291060638055577,291060738398897,2651784,0,4792647680,0,0,124895232
291060738398897,291060838753303,2651784,0,4922093568,0,0,129445888
291060838753303,291060939114607,2651784,0,5049864192,0,0,127770624
291060939114607,291061039470784,2651784,0,5120008192,0,0,70144000
291061039470784,291061139830994,2651784,0,5120008192,0,0,0
291061139830994,291061240168346,2651784,0,5120008192,0,0,0
291061240168346,291061340531489,2651784,0,5120008192,0,0,0
291061340531489,291061440901029,2651784,0,5120008192,0,0,0
291061440901029,291061541271029,2651784,0,5120008192,0,0,0
291061541271029,291061641607368,2651784,0,5120008192,0,0,0
291061641607368,291061741984910,2651784,0,5120008192,0,0,0
291061741984910,291061842363557,2651784,0,5120008192,0,0,0
291061842363557,291061942737196,2651784,0,5120008192,0,0,0
291061942737196,291062043118668,2651784,0,5120008192,0,0,0
291062043118668,291062143503978,2651784,0,5120008192,0,0,0
291062143503978,291062243891108,2651784,0,5120008192,0,0,0
291062243891108,291062344298881,2651784,0,5120008192,0,0,0
291062344298881,291062444678520,2651784,0,5120008192,0,0,0
291062444678520,291062545057017,2651784,0,5120008192,0,0,0
291062545057017,291062645400376,2651784,0,5120008192,0,0,0
291062645400376,291062745749301,2651784,0,5120008192,0,0,0
291062745749301,291062846108076,2651784,0,5120008192,0,0,0
291062846108076,291062946475621,2651784,0,5120008192,0,0,0
291062946475621,291063046850068,2651784,0,5120008192,0,0,0
291063046850068,291063147244801,2651784,0,5120008192,0,0,0
291063147244801,291063247579249,2651784,0,5120008192,0,0,0
291063247579249,291063347936378,2651784,0,5120008192,0,0,0
291063347936378,291063448293924,2651784,0,5120012288,0,0,4096
291063448293924,291063548611691,2651784,0,5120012288,1273856,0,0
291063548611691,291063648953435,2651784,0,5120012288,983158784,0,0
