run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,distance_evaluated_count,duplicate_vector_count,final_result_count,recall
run_1777375839493,4,4,16,0,0,293992033298811,293992270411693,237.113000,184.825000,52.288000,0.000000,0.000000,7.492301,0.000000,0.032907,0.053550,16,119,487424,891,877,14,10,0.500000
run_1777375839493,4,4,16,1,3,293992033293360,293992276016459,242.723000,186.146000,56.577000,0.000000,0.000000,11.368172,0.000000,0.031552,0.121602,16,91,372736,655,608,47,10,1.000000
run_1777375839493,4,4,16,2,2,293992033336586,293992275952709,242.616000,185.028000,57.588000,0.000000,0.000000,12.548747,0.000000,0.030992,0.139284,16,99,405504,714,671,43,10,1.000000
run_1777375839493,4,4,16,3,1,293992033379799,293992271479481,238.099000,184.946000,53.153000,0.000000,0.000000,8.180398,0.000000,0.022928,0.036326,16,69,282624,489,368,121,10,1.000000
run_1777375839493,4,4,16,4,0,293992270412195,293992309112562,38.700000,27.542000,11.158000,0.000000,0.000000,2.880238,0.000000,0.036921,0.172439,16,129,528384,970,956,14,10,0.500000
run_1777375839493,4,4,16,5,1,293992271480492,293992311075261,39.594000,29.770000,9.824000,0.000000,0.000000,2.390097,0.000000,0.024998,0.102429,16,72,294912,493,458,35,10,1.000000
run_1777375839493,4,4,16,6,2,293992275954766,293992319714310,43.759000,33.100000,10.659000,0.000000,0.000000,2.754620,0.000000,0.026400,0.098704,16,75,307200,526,469,57,10,1.000000
run_1777375839493,4,4,16,7,3,293992276017286,293992321689783,45.672000,33.436000,12.236000,0.000000,0.000000,3.731651,0.000000,0.035233,0.157655,16,114,466944,858,826,32,10,1.000000
run_1777375839493,4,4,16,8,0,293992309112781,293992352807127,43.694000,32.789000,10.905000,0.000000,0.000000,2.808778,0.000000,0.030639,0.137528,16,93,380928,671,619,52,10,1.000000
run_1777375839493,4,4,16,9,1,293992311076172,293992354496417,43.420000,33.296000,10.124000,0.000000,0.000000,2.521238,0.000000,0.033940,0.133131,16,96,393216,697,655,42,10,0.700000
run_1777375839493,4,4,16,10,2,293992319715604,293992363616595,43.900000,32.790000,11.110000,0.000000,0.000000,3.697144,0.000000,0.041008,0.203848,16,141,577536,1046,1029,17,10,0.500000
run_1777375839493,4,4,16,11,3,293992321690934,293992365989114,44.298000,32.411000,11.887000,0.000000,0.000000,3.691161,0.000000,0.036393,0.192130,16,114,466944,837,780,57,10,1.000000
run_1777375839493,4,4,16,12,0,293992352807570,293992396501454,43.694000,32.136000,11.558000,0.000000,0.000000,2.872712,0.000000,0.031799,0.141607,16,97,397312,705,666,39,10,0.900000
run_1777375839493,4,4,16,13,1,293992354497789,293992399287893,44.790000,32.968000,11.822000,0.000000,0.000000,3.385244,0.000000,0.043219,0.185501,16,132,540672,998,953,45,10,0.600000
run_1777375839493,4,4,16,14,2,293992363617730,293992407481547,43.863000,33.563000,10.300000,0.000000,0.000000,2.297120,0.000000,0.027094,0.139428,16,80,327680,576,538,38,10,1.000000
run_1777375839493,4,4,16,15,3,293992365990065,293992411959876,45.969000,33.764000,12.205000,0.000000,0.000000,2.791749,0.000000,0.038424,0.201012,16,120,491520,884,857,27,10,0.800000
run_1777375839493,4,4,16,16,0,293992396502188,293992442504126,46.001000,34.302000,11.699000,0.000000,0.000000,2.886483,0.000000,0.035697,0.161343,16,112,458752,829,800,29,10,0.800000
