sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
294113505675065,294113606283562,sda,0,0,0.000000,0,0.000000,0
294113606283562,294113706745846,sda,0,0,0.000000,0,0.000000,0
294113706745846,294113807223802,sda,0,0,0.000000,0,0.000000,0
294113807223802,294113907664444,sda,0,0,0.000000,0,0.000000,0
294113907664444,294114008144140,sda,0,0,0.000000,0,0.000000,0
294114008144140,294114108590472,sda,0,0,0.000000,0,0.000000,0
294114108590472,294114209079064,sda,0,0,0.000000,0,0.000000,0
294114209079064,294114309512705,sda,0,0,0.000000,0,0.000000,0
294114309512705,294114409956376,sda,0,0,0.000000,0,0.000000,0
294114409956376,294114510497127,sda,0,0,0.000000,0,0.000000,0
294114510497127,294114610955400,sda,0,0,0.000000,0,0.000000,0
294114610955400,294114711484893,sda,0,0,0.000000,0,0.000000,0
294114711484893,294114811967223,sda,0,0,0.000000,0,0.000000,0
294114811967223,294114912439691,sda,0,0,0.000000,0,0.000000,0
294114912439691,294115012881836,sda,0,0,0.000000,0,0.000000,0
294115012881836,294115113400220,sda,0,0,0.000000,0,0.000000,0
294115113400220,294115213891214,sda,0,0,0.000000,0,0.000000,0
294115213891214,294115314358038,sda,0,0,0.000000,0,0.000000,0
294115314358038,294115414752591,sda,0,0,0.000000,0,0.000000,0
294115414752591,294115515082687,sda,0,0,0.000000,0,0.000000,0
294115515082687,294115615445719,sda,0,0,0.000000,0,0.000000,0
294115615445719,294115715799556,sda,0,0,0.000000,0,0.000000,0
294115715799556,294115816182403,sda,0,0,0.000000,0,0.000000,0
294115816182403,294115916511205,sda,0,0,0.000000,0,0.000000,0
294115916511205,294116016858071,sda,0,0,0.000000,0,0.000000,0
294116016858071,294116117246362,sda,0,0,0.000000,0,0.000000,0
294116117246362,294116217642546,sda,0,0,0.000000,0,0.000000,0
294116217642546,294116318012036,sda,0,0,0.000000,0,0.000000,0
294116318012036,294116418386581,sda,0,0,0.000000,0,0.000000,0
294116418386581,294116518752011,sda,0,0,0.000000,0,0.000000,0
294116518752011,294116619138047,sda,0,0,0.000000,0,0.000000,0
294116619138047,294116719545833,sda,0,0,0.000000,0,0.000000,0
294116719545833,294116819909311,sda,0,0,0.000000,0,0.000000,0
294116819909311,294116920307320,sda,0,0,0.000000,0,0.000000,0
294116920307320,294117020684480,sda,0,0,0.000000,0,0.000000,0
294117020684480,294117121057159,sda,0,0,0.000000,0,0.000000,0
294117121057159,294117221419073,sda,0,0,0.000000,0,0.000000,0
294117221419073,294117321769529,sda,0,0,0.000000,0,0.000000,0
294117321769529,294117422117291,sda,0,0,0.000000,0,0.000000,0
294117422117291,294117522444891,sda,0,0,0.000000,0,0.000000,0
294117522444891,294117622834924,sda,0,0,0.000000,0,0.000000,0
