sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
294244462089362,294244562522868,78.980892,0.000000,157,124,0
294244562522868,294244662929704,79.245283,0.000000,159,126,0
294244662929704,294244763298071,78.846154,0.000000,156,123,0
294244763298071,294244863646393,77.848101,0.000000,158,123,0
294244863646393,294244964012706,79.617834,0.000000,157,125,0
294244964012706,294245064382534,78.125000,0.000000,160,125,0
294245064382534,294245164868366,80.254777,0.000000,157,126,0
294245164868366,294245265231550,80.379747,0.000000,158,127,0
294245265231550,294245365659385,79.245283,0.000000,159,126,0
294245365659385,294245466015161,79.245283,0.000000,159,126,0
294245466015161,294245566356275,79.113924,0.000000,158,125,0
294245566356275,294245666691495,80.891720,0.000000,157,127,0
294245666691495,294245767086595,78.481013,0.000000,158,124,0
294245767086595,294245867406803,77.707006,0.000000,157,122,0
294245867406803,294245967780892,76.729560,0.000000,159,122,0
294245967780892,294246068176224,80.379747,0.000000,158,127,0
294246068176224,294246168552674,78.750000,0.000000,160,126,0
294246168552674,294246268915579,80.000000,0.000000,160,128,0
294246268915579,294246369307966,79.245283,0.000000,159,126,0
294246369307966,294246469687716,79.245283,0.628931,159,126,1
294246469687716,294246570072976,79.113924,0.000000,158,125,0
294246570072976,294246670459885,79.503106,0.000000,161,128,0
294246670459885,294246770832192,78.980892,0.000000,157,124,0
294246770832192,294246871229464,78.980892,0.000000,157,124,0
294246871229464,294246971636976,77.848101,0.000000,158,123,0
294246971636976,294247072014401,79.746835,0.000000,158,126,0
294247072014401,294247172460240,76.582278,0.000000,158,121,0
294247172460240,294247272850541,75.776398,0.000000,161,122,0
294247272850541,294247373260857,79.617834,0.000000,157,125,0
294247373260857,294247473627028,78.750000,0.000000,160,126,0
294247473627028,294247573996697,78.980892,0.000000,157,124,0
294247573996697,294247674313833,78.616352,0.000000,159,125,0
294247674313833,294247774664089,78.980892,0.000000,157,124,0
294247774664089,294247875037093,77.215190,0.000000,158,122,0
294247875037093,294247975457835,78.616352,0.000000,159,125,0
294247975457835,294248075783888,72.955975,0.000000,159,116,0
294248075783888,294248176339357,65.384615,0.000000,156,102,0
294248176339357,294248276764629,63.522013,0.000000,159,101,0
294248276764629,294248377222791,77.500000,0.000000,160,124,0
294248377222791,294248477600930,80.379747,0.000000,158,127,0
294248477600930,294248577977851,81.250000,0.000000,160,130,0
294248577977851,294248678343201,93.167702,0.000000,161,150,0
294248678343201,294248778747771,91.250000,0.000000,160,146,0
294248778747771,294248879095879,91.304348,0.000000,161,147,0
294248879095879,294248979465910,91.925466,0.000000,161,148,0
294248979465910,294249079839931,93.710692,0.000000,159,149,0
294249079839931,294249180205366,92.500000,0.000000,160,148,0
294249180205366,294249280536555,93.125000,0.000000,160,149,0
294249280536555,294249380905209,91.925466,0.000000,161,148,0
294249380905209,294249481269564,93.710692,0.000000,159,149,0
294249481269564,294249581646482,92.500000,0.000000,160,148,0
294249581646482,294249682040763,92.546584,0.000000,161,149,0
294249682040763,294249782372719,91.304348,0.000000,161,147,0
294249782372719,294249882713521,91.250000,0.000000,160,146,0
294249882713521,294249983090835,91.925466,0.000000,161,148,0
294249983090835,294250083476047,93.167702,0.000000,161,150,0
294250083476047,294250183851829,92.500000,0.000000,160,148,0
294250183851829,294250284199025,93.125000,0.000000,160,149,0
294250284199025,294250384551914,91.975309,0.000000,162,149,0
294250384551914,294250484930573,91.975309,0.000000,162,149,0
294250484930573,294250585313711,89.937107,0.000000,159,143,0
294250585313711,294250685687665,93.167702,0.000000,161,150,0
294250685687665,294250786044093,91.304348,0.000000,161,147,0
294250786044093,294250886397298,91.304348,0.000000,161,147,0
294250886397298,294250986751211,91.194969,0.000000,159,145,0
294250986751211,294251087100178,93.125000,0.000000,160,149,0
294251087100178,294251187410847,90.853659,0.000000,164,149,0
294251187410847,294251287765874,93.710692,0.000000,159,149,0
294251287765874,294251388173728,92.500000,0.000000,160,148,0
294251388173728,294251488481818,93.167702,0.000000,161,150,0
294251488481818,294251588823185,91.823899,0.628931,159,146,1
294251588823185,294251689334861,73.750000,0.000000,160,118,0
294251689334861,294251789862148,70.000000,0.000000,160,112,0
294251789862148,294251890383309,75.471698,1.886792,159,120,3
294251890383309,294251990947884,72.327044,0.628931,159,115,1
294251990947884,294252092321617,73.913043,0.000000,161,119,0
294252092321617,294252193422612,64.375000,0.000000,160,103,0
294252193422612,294252294507702,71.250000,0.000000,160,114,0
294252294507702,294252395755740,65.625000,0.000000,160,105,0
294252395755740,294252496498264,71.875000,0.000000,160,115,0
294252496498264,294252597313155,69.620253,0.000000,158,110,0
294252597313155,294252698643801,73.750000,0.000000,160,118,0
294252698643801,294252799925598,63.750000,0.000000,160,102,0
294252799925598,294252900746684,72.839506,0.000000,162,118,0
294252900746684,294253001514358,71.250000,0.000000,160,114,0
294253001514358,294253102773507,74.074074,0.000000,162,120,0
294253102773507,294253203653698,72.327044,0.000000,159,115,0
294253203653698,294253304401865,75.471698,0.000000,159,120,0
294253304401865,294253405496747,71.875000,0.000000,160,115,0
294253405496747,294253506778995,73.584906,0.000000,159,117,0
294253506778995,294253608065123,73.125000,0.000000,160,117,0
294253608065123,294253708773738,73.584906,0.000000,159,117,0
294253708773738,294253809866110,70.000000,0.000000,160,112,0
294253809866110,294253911271537,73.125000,0.000000,160,117,0
294253911271537,294254012605739,71.604938,0.000000,162,116,0
294254012605739,294254113998801,76.100629,0.000000,159,121,0
294254113998801,294254215260482,72.049689,0.000000,161,116,0
294254215260482,294254316337561,74.375000,0.000000,160,119,0
294254316337561,294254417665587,73.125000,0.000000,160,117,0
294254417665587,294254519155720,74.375000,0.000000,160,119,0
