sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
14922830304436,14922930843761,70.646766,9.950249,201,142,20
14922930843761,14923031449698,71.000000,9.500000,200,142,19
14923031449698,14923132099228,74.626866,9.950249,201,150,20
14923132099228,14923232625629,72.139303,8.457711,201,145,17
14923232625629,14923333136656,76.500000,9.500000,200,153,19
14923333136656,14923433754305,76.000000,9.500000,200,152,19
14923433754305,14923534300881,71.500000,11.000000,200,143,22
14923534300881,14923634773205,76.237624,9.900990,202,154,20
14923634773205,14923735317087,71.782178,9.405941,202,145,19
14923735317087,14923835846352,76.119403,9.452736,201,153,19
14923835846352,14923936389546,40.796020,9.950249,201,82,20
14923936389546,14924036797501,51.256281,8.040201,199,102,16
14924036797501,14924137346807,77.386935,9.547739,199,154,19
14924137346807,14924237944557,75.247525,9.405941,202,152,19
14924237944557,14924338476029,75.124378,9.452736,201,151,19
14924338476029,14924439090098,74.257426,9.405941,202,150,19
14924439090098,14924539498114,70.351759,10.552764,199,140,21
14924539498114,14924640052866,75.500000,10.500000,200,151,21
14924640052866,14924740567851,45.544554,11.386139,202,92,23
14924740567851,14924840970197,44.221106,5.025126,199,88,10
14924840970197,14924941505999,73.631841,10.447761,201,148,21
14924941505999,14925041962816,32.338308,10.945274,201,65,22
14925041962816,14925142300569,61.194030,5.472637,201,123,11
14925142300569,14925242637976,71.500000,5.500000,200,143,11
14925242637976,14925343019706,39.195980,6.030151,199,78,12
14925343019706,14925443432149,72.139303,4.477612,201,145,9
14925443432149,14925543961074,48.756219,5.970149,201,98,12
14925543961074,14925644342064,35.353535,6.060606,198,70,12
14925644342064,14925744721434,71.859296,9.547739,199,143,19
14925744721434,14925845254553,36.138614,5.940594,202,73,12
14925845254553,14925945661186,63.184080,8.457711,201,127,17
14925945661186,14926046191384,51.256281,10.050251,199,102,20
14926046191384,14926146599589,41.919192,5.555556,198,83,11
14926146599589,14926246992935,75.124378,9.452736,201,151,19
14926246992935,14926347548616,38.071066,8.121827,197,75,16
14926347548616,14926447958064,57.635468,7.881773,203,117,16
14926447958064,14926548486050,49.494949,9.090909,198,98,18
14926548486050,14926648883202,44.949495,4.545455,198,89,9
14926648883202,14926749293784,73.762376,10.396040,202,149,21
14926749293784,14926849816886,39.898990,7.070707,198,79,14
14926849816886,14926950231007,57.286432,7.537688,199,114,15
14926950231007,14927050784437,63.000000,10.000000,200,126,20
14927050784437,14927151205903,38.000000,5.500000,200,76,11
14927151205903,14927251632725,70.646766,9.950249,201,142,20
14927251632725,14927352021012,50.000000,8.000000,200,100,16
14927352021012,14927452436447,49.494949,4.545455,198,98,9
14927452436447,14927552982879,71.144279,6.467662,201,143,13
14927552982879,14927653557120,34.848485,9.090909,198,69,18
14927653557120,14927753958803,57.500000,8.500000,200,115,17
14927753958803,14927854393392,58.291457,9.547739,199,116,19
14927854393392,14927954784030,40.594059,5.445545,202,82,11
14927954784030,14928055265827,75.124378,9.452736,201,151,19
14928055265827,14928155918114,79.500000,9.500000,200,159,19
14928155918114,14928256438427,79.104478,9.452736,201,159,19
14928256438427,14928356988339,79.000000,9.500000,200,158,19
14928356988339,14928457661113,79.310345,9.852217,203,161,20
14928457661113,14928558236202,73.366834,9.547739,199,146,19
14928558236202,14928658892425,79.601990,9.452736,201,160,19
14928658892425,14928759496142,74.500000,9.500000,200,149,19
14928759496142,14928860025191,77.114428,9.950249,201,155,20
14928860025191,14928960601336,73.869347,10.050251,199,147,20
14928960601336,14929061247310,73.891626,9.359606,203,150,19
14929061247310,14929161750088,76.884422,9.547739,199,153,19
14929161750088,14929262254037,75.369458,9.359606,203,153,19
14929262254037,14929362634226,78.391960,9.547739,199,156,19
14929362634226,14929463165032,80.198020,9.900990,202,162,20
14929463165032,14929563746057,69.500000,9.000000,200,139,18
14929563746057,14929664287457,77.386935,8.542714,199,154,17
14929664287457,14929764831858,72.772277,8.415842,202,147,17
14929764831858,14929865470540,81.500000,8.500000,200,163,17
14929865470540,14929965971674,75.742574,7.920792,202,153,16
14929965971674,14930066573638,81.592040,8.955224,201,164,18
14930066573638,14930166984781,78.500000,8.000000,200,157,16
14930166984781,14930267270027,78.817734,8.374384,203,160,17
14930267270027,14930367739559,80.000000,9.000000,200,160,18
14930367739559,14930468121508,84.000000,10.000000,200,168,20
14930468121508,14930568658250,75.000000,10.000000,200,150,20
14930568658250,14930669132231,84.000000,10.000000,200,168,20
14930669132231,14930769672347,81.500000,9.500000,200,163,19
14930769672347,14930870116728,83.500000,10.500000,200,167,21
14930870116728,14930970740072,82.587065,9.950249,201,166,20
14930970740072,14931071301633,83.168317,10.891089,202,168,22
14931071301633,14931171895580,83.000000,10.000000,200,166,20
14931171895580,14931272463190,84.422111,9.547739,199,168,19
14931272463190,14931372995874,83.084577,9.452736,201,167,19
14931372995874,14931473541511,83.582090,9.452736,201,168,19
14931473541511,14931574160382,75.124378,9.950249,201,151,20
14931574160382,14931674684026,80.693069,9.900990,202,163,20
14931674684026,14931775208831,76.119403,9.452736,201,153,19
14931775208831,14931875707427,64.500000,9.500000,200,129,19
14931875707427,14931976258850,66.169154,8.955224,201,133,18
14931976258850,14932076914531,67.164179,9.452736,201,135,19
14932076914531,14932177488904,66.831683,9.405941,202,135,19
14932177488904,14932278846297,68.316832,8.910891,202,138,18
14932278846297,14932380166904,65.346535,9.405941,202,132,19
14932380166904,14932481505982,66.831683,9.405941,202,135,19
14932481505982,14932582615496,51.485149,8.910891,202,104,18
14932582615496,14932683873413,60.891089,9.900990,202,123,20
14932683873413,14932785098200,55.172414,9.359606,203,112,19
14932785098200,14932886737475,62.376238,9.900990,202,126,20
14932886737475,14932987888345,64.179104,9.452736,201,129,19
14932987888345,14933089521373,32.843137,8.333333,204,67,17
14933089521373,14933190765741,55.940594,6.930693,202,113,14
14933190765741,14933292100016,67.661692,9.452736,201,136,19
14933292100016,14933393242215,66.831683,9.405941,202,135,19
14933393242215,14933494478188,63.546798,9.359606,203,129,19
14933494478188,14933595692540,56.716418,9.452736,201,114,19
14933595692540,14933696944412,60.891089,9.405941,202,123,19
14933696944412,14933798053107,57.000000,9.000000,200,114,18
14933798053107,14933899242083,65.517241,8.374384,203,133,17
14933899242083,14934000511920,67.326733,8.415842,202,136,17
14934000511920,14934101716039,66.336634,8.910891,202,134,18
14934101716039,14934203124638,67.500000,9.000000,200,135,18
14934203124638,14934304306302,66.009852,9.359606,203,134,19
14934304306302,14934405519757,66.502463,9.852217,203,135,20
14934405519757,14934506643700,62.068966,9.359606,203,126,19
14934506643700,14934607912022,62.686567,5.970149,201,126,12
14934607912022,14934709056829,59.024390,9.756098,205,121,20
14934709056829,14934810471903,57.500000,9.000000,200,115,18
14934810471903,14934911775837,63.861386,9.405941,202,129,19
14934911775837,14935013077622,65.346535,9.405941,202,132,19
14935013077622,14935114260043,67.164179,8.955224,201,135,18
14935114260043,14935215404743,64.039409,8.866995,203,130,18
14935215404743,14935316679884,65.841584,8.910891,202,133,18
14935316679884,14935417849969,60.396040,8.415842,202,122,17
14935417849969,14935519396567,54.726368,9.452736,201,110,19
14935519396567,14935620654086,54.950495,9.405941,202,111,19
14935620654086,14935722074089,56.716418,9.950249,201,114,20
14935722074089,14935823427098,55.445545,9.405941,202,112,19
14935823427098,14935924967138,62.000000,9.000000,200,124,18
14935924967138,14936026606488,60.294118,9.803922,204,123,20
14936026606488,14936127855149,64.179104,7.960199,201,129,16
14936127855149,14936229188994,64.000000,9.000000,200,128,18
14936229188994,14936330609306,65.671642,8.955224,201,132,18
14936330609306,14936431617650,65.024631,9.359606,203,132,19
14936431617650,14936532832895,58.910891,9.405941,202,119,19
14936532832895,14936634260064,60.591133,9.852217,203,123,20
14936634260064,14936735629874,61.386139,8.415842,202,124,17
14936735629874,14936836797255,62.871287,5.940594,202,127,12
14936836797255,14936938383645,66.169154,9.950249,201,133,20
14936938383645,14937039435280,62.871287,8.415842,202,127,17
14937039435280,14937140617157,62.686567,8.955224,201,126,18
14937140617157,14937241949653,61.881188,7.920792,202,125,16
14937241949653,14937343235188,62.871287,9.405941,202,127,19
14937343235188,14937444348201,67.164179,8.457711,201,135,17
14937444348201,14937545488256,60.591133,8.374384,203,123,17
14937545488256,14937646507451,64.500000,7.000000,200,129,14
14937646507451,14937747502895,62.439024,8.292683,205,128,17
14937747502895,14937848728625,65.829146,5.527638,199,131,11
14937848728625,14937949921393,61.764706,9.313725,204,126,19
14937949921393,14938051125900,59.900990,10.396040,202,121,21
14938051125900,14938152497620,61.194030,9.452736,201,123,19
14938152497620,14938253982563,64.039409,9.359606,203,130,19
14938253982563,14938355184849,64.676617,9.950249,201,130,20
14938355184849,14938456526629,67.326733,8.910891,202,136,18
14938456526629,14938557771139,56.716418,9.950249,201,114,20
14938557771139,14938659029633,62.189055,9.452736,201,125,19
14938659029633,14938760275596,54.455446,9.405941,202,110,19
14938760275596,14938861514627,58.415842,9.405941,202,118,19
14938861514627,14938962872278,56.500000,9.500000,200,113,19
14938962872278,14939064267059,60.396040,8.910891,202,122,18
14939064267059,14939165594094,62.686567,9.452736,201,126,19
14939165594094,14939266937822,60.784314,8.823529,204,124,18
14939266937822,14939368326551,64.356436,8.910891,202,130,18
14939368326551,14939469440111,65.517241,9.359606,203,133,19
14939469440111,14939570818252,56.500000,10.000000,200,113,20
14939570818252,14939671982168,62.376238,12.376238,202,126,25
14939671982168,14939773240199,62.561576,9.852217,203,127,20
14939773240199,14939874420075,62.189055,8.955224,201,125,18
14939874420075,14939975716716,54.228856,7.960199,201,109,16
14939975716716,14940077146090,39.603960,6.930693,202,80,14
14940077146090,14940178498945,60.891089,7.920792,202,123,16
14940178498945,14940279869866,67.487685,8.374384,203,137,17
14940279869866,14940381201024,64.532020,8.374384,203,131,17
14940381201024,14940482489526,68.316832,8.415842,202,138,17
14940482489526,14940583773168,55.223881,9.950249,201,111,20
14940583773168,14940684949446,60.098522,9.359606,203,122,19
14940684949446,14940786306136,65.500000,9.000000,200,131,18
14940786306136,14940887594444,63.546798,9.359606,203,129,19
14940887594444,14940988929750,60.591133,9.852217,203,123,20
14940988929750,14941090235799,60.891089,9.900990,202,123,20
14941090235799,14941191446539,63.681592,9.452736,201,128,19
14941191446539,14941292750795,64.039409,9.359606,203,130,19
14941292750795,14941394098495,64.851485,9.405941,202,131,19
14941394098495,14941495403374,65.686275,9.313725,204,134,19
14941495403374,14941596633611,56.650246,9.852217,203,115,20
14941596633611,14941697693123,61.000000,9.000000,200,122,18
14941697693123,14941798919932,62.189055,5.970149,201,125,12
14941798919932,14941900358642,60.294118,9.803922,204,123,20
14941900358642,14942001535779,65.174129,9.452736,201,131,19
14942001535779,14942102805885,65.024631,10.344828,203,132,21
14942102805885,14942204266198,65.174129,9.452736,201,131,19
14942204266198,14942305538172,65.346535,9.405941,202,132,19
14942305538172,14942406931448,66.831683,9.405941,202,135,19
14942406931448,14942508143730,64.179104,9.950249,201,129,20
14942508143730,14942609158687,56.157635,9.852217,203,114,20
14942609158687,14942710372453,65.346535,8.910891,202,132,18
14942710372453,14942811823099,62.068966,9.359606,203,126,19
14942811823099,14942914303605,65.686275,9.313725,204,134,19
14942914303605,14943015720294,66.831683,9.405941,202,135,19
14943015720294,14943116995365,66.336634,9.405941,202,134,19
14943116995365,14943218378054,66.831683,8.415842,202,135,17
14943218378054,14943319636940,67.156863,8.333333,204,137,17
14943319636940,14943420880699,67.326733,8.910891,202,136,18
14943420880699,14943522280779,63.861386,8.910891,202,129,18
14943522280779,14943623527587,60.396040,5.445545,202,122,11
14943623527587,14943724966056,59.405941,9.405941,202,120,19
14943724966056,14943826186954,59.405941,9.405941,202,120,19
14943826186954,14943927591355,63.725490,9.803922,204,130,20
14943927591355,14944028908183,66.336634,9.405941,202,134,19
14944028908183,14944130074204,65.000000,9.500000,200,130,19
14944130074204,14944231530035,63.054187,8.866995,203,128,18
14944231530035,14944332774618,60.396040,7.920792,202,122,16
14944332774618,14944434052735,61.691542,9.452736,201,124,19
14944434052735,14944535532777,55.940594,10.396040,202,113,21
14944535532777,14944636992389,57.000000,10.000000,200,114,20
14944636992389,14944738345930,58.620690,9.359606,203,119,19
14944738345930,14944839826577,57.711443,8.955224,201,116,18
14944839826577,14944941068525,62.254902,9.313725,204,127,19
14944941068525,14945042385673,64.000000,9.000000,200,128,18
14945042385673,14945143815054,64.851485,8.910891,202,131,18
14945143815054,14945245109657,65.346535,9.405941,202,132,19
14945245109657,14945346272267,65.174129,9.452736,201,131,19
14945346272267,14945447625146,65.346535,9.900990,202,132,20
14945447625146,14945548770908,57.711443,9.950249,201,116,20
14945548770908,14945649867541,57.500000,10.000000,200,115,20
14945649867541,14945751089988,64.356436,8.910891,202,130,18
14945751089988,14945852239297,65.174129,5.970149,201,131,12
14945852239297,14945953475204,65.024631,8.866995,203,132,18
14945953475204,14946054580276,66.169154,9.950249,201,133,20
14946054580276,14946155697678,63.184080,8.955224,201,127,18
14946155697678,14946256845305,61.386139,9.405941,202,124,19
14946256845305,14946358197085,55.940594,7.920792,202,113,16
14946358197085,14946459400323,59.900990,8.415842,202,121,17
14946459400323,14946560689789,57.213930,10.945274,201,115,22
14946560689789,14946661996498,59.803922,8.823529,204,122,18
14946661996498,14946763314926,65.346535,9.405941,202,132,19
14946763314926,14946864496656,60.891089,8.910891,202,123,18
14946864496656,14946965873794,65.174129,9.452736,201,131,19
14946965873794,14947067174723,62.871287,9.900990,202,127,20
14947067174723,14947168305200,66.000000,9.500000,200,132,19
14947168305200,14947269489554,65.841584,9.900990,202,133,20
14947269489554,14947370701889,64.356436,9.405941,202,130,19
14947370701889,14947471902137,65.671642,9.950249,201,132,20
14947471902137,14947573054087,58.128079,10.837438,203,118,22
14947573054087,14947674286714,59.798995,9.547739,199,119,19
14947674286714,14947775358375,64.705882,9.803922,204,132,20
14947775358375,14947876603567,44.554455,5.940594,202,90,12
14947876603567,14947977962730,59.405941,8.910891,202,120,18
14947977962730,14948079445995,67.661692,9.452736,201,136,19
14948079445995,14948180535610,64.215686,9.313725,204,131,19
14948180535610,14948281806100,67.661692,9.452736,201,136,19
14948281806100,14948383089198,65.174129,9.452736,201,131,19
14948383089198,14948484370598,67.164179,8.955224,201,135,18
14948484370598,14948585598458,54.950495,10.891089,202,111,22
14948585598458,14948686919613,61.881188,9.405941,202,125,19
14948686919613,14948788224933,61.951220,9.756098,205,127,20
14948788224933,14948889430358,59.203980,9.950249,201,119,20
14948889430358,14948990742135,65.841584,9.900990,202,133,20
14948990742135,14949091897238,64.676617,8.955224,201,130,18
14949091897238,14949193248931,37.931034,1.970443,203,77,4
14949193248931,14949294499724,56.650246,8.374384,203,115,17
14949294499724,14949395795197,65.346535,9.405941,202,132,19
