sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
14922830304436,14922930843761,nvme0n1p8,184320,94371840,895.172113,1,0.696245,70
14922930843761,14923031449698,nvme0n1p8,188416,96468992,914.458955,0,0.596386,60
14923031449698,14923132099228,nvme0n1p8,191488,98041856,928.966087,0,0.615999,62
14923132099228,14923232625629,nvme0n1p8,184576,94502912,896.530654,0,0.586910,59
14923232625629,14923333136656,nvme0n1p8,185600,95027200,901.642364,0,0.577051,58
14923333136656,14923433754305,nvme0n1p8,192000,98304000,931.745086,1,0.556562,56
14923433754305,14923534300881,nvme0n1p8,189440,96993280,919.971656,0,0.517173,52
14923534300881,14923634773205,nvme0n1p8,193024,98828288,938.069274,0,0.607132,61
14923634773205,14923735317087,nvme0n1p8,190720,97648640,926.212497,1,0.596754,60
14923735317087,14923835846352,nvme0n1p8,192256,98435072,933.807683,1,0.606788,61
14923835846352,14923936389546,nvme0n1p8,171264,87687168,831.732081,0,0.527137,53
14923936389546,14924036797501,nvme0n1p8,171264,87687168,832.852337,1,0.577643,58
14924036797501,14924137346807,nvme0n1p8,216320,110755840,1050.479652,0,0.546995,55
14924137346807,14924237944557,nvme0n1p8,228352,116916224,1108.374690,0,0.636197,64
14924237944557,14924338476029,nvme0n1p8,219136,112197632,1064.343313,1,0.696299,70
14924338476029,14924439090098,nvme0n1p8,221184,113246208,1073.408531,1,0.675850,68
14924439090098,14924539498114,nvme0n1p8,219136,112197632,1065.651969,1,0.677237,68
14924539498114,14924640052866,nvme0n1p8,215296,110231552,1045.450343,0,0.676248,68
14924640052866,14924740567851,nvme0n1p8,193792,99221504,941.401921,2,0.606875,61
14924740567851,14924840970197,nvme0n1p8,192768,98697216,937.478094,0,0.617515,62
14924840970197,14924941505999,nvme0n1p8,210688,107872256,1023.267313,0,0.676376,68
14924941505999,14925041962816,nvme0n1p8,184320,94371840,895.907343,0,0.607226,61
14925041962816,14925142300569,nvme0n1p8,190976,97779712,929.361055,1,0.607947,61
14925142300569,14925242637976,nvme0n1p8,198656,101711872,966.738158,0,0.637848,64
14925242637976,14925343019706,nvme0n1p8,193280,98959360,940.161123,1,0.607680,61
14925343019706,14925443432149,nvme0n1p8,220416,112852992,1071.829315,0,0.557700,56
14925443432149,14925543961074,nvme0n1p8,203520,104202240,988.521463,1,0.567001,57
14925543961074,14925644342064,nvme0n1p8,195840,100270080,952.620611,0,0.627609,63
14925644342064,14925744721434,nvme0n1p8,226560,115998720,1102.069081,1,0.637581,64
14925744721434,14925845254553,nvme0n1p8,196864,100794368,956.152569,1,0.507296,51
14925845254553,14925945661186,nvme0n1p8,209664,107347968,1019.603954,0,0.627449,63
14925945661186,14926046191384,nvme0n1p8,201984,103415808,981.048500,2,0.626677,63
14926046191384,14926146599589,nvme0n1p8,195072,99876864,948.627654,1,0.627439,63
14926146599589,14926246992935,nvme0n1p8,217856,111542272,1059.582176,1,0.677336,68
14926246992935,14926347548616,nvme0n1p8,207360,106168320,1006.904821,0,0.537016,54
14926347548616,14926447958064,nvme0n1p8,218368,111804416,1061.902063,1,0.567676,57
14926447958064,14926548486050,nvme0n1p8,215552,110362624,1046.972134,1,0.557059,56
14926548486050,14926648883202,nvme0n1p8,196352,100532224,954.957368,1,0.617547,62
14926648883202,14926749293784,nvme0n1p8,216576,110886912,1053.175850,2,0.687179,69
14926749293784,14926849816886,nvme0n1p8,195840,100270080,951.273867,1,0.616774,62
14926849816886,14926950231007,nvme0n1p8,203776,104333312,990.896490,1,0.647319,65
14926950231007,14927050784437,nvme0n1p8,209152,107085824,1015.629203,0,0.656367,66
14927050784437,14927151205903,nvme0n1p8,191232,97910784,929.831078,1,0.617398,62
14927151205903,14927251632725,nvme0n1p8,211712,108396544,1029.356480,0,0.667152,67
14927251632725,14927352021012,nvme0n1p8,204800,104857600,996.132148,1,0.607641,61
14927352021012,14927452436447,nvme0n1p8,198144,101449728,963.497295,1,0.617435,62
14927452436447,14927552982879,nvme0n1p8,205312,105119744,997.051790,0,0.656413,66
14927552982879,14927653557120,nvme0n1p8,183552,93978624,891.132750,0,0.596574,60
