sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
14922830304436,14922930843761,198367,99549184,97951744,0,94633984,93966336
14922930843761,14923031449698,198367,195887104,193486848,0,96337920,95535104
14923031449698,14923132099228,198367,293928960,290734080,0,98041856,97247232
14923132099228,14923232625629,198367,388431872,384581632,0,94502912,93847552
14923232625629,14923333136656,198367,483459072,478887936,0,95027200,94306304
14923333136656,14923433754305,198367,582025216,576569344,0,98566144,97681408
14923433754305,14923534300881,198367,678756352,672620544,0,96731136,96051200
14923534300881,14923634773205,198367,777584640,770715648,0,98828288,98095104
14923634773205,14923735317087,198367,875364352,867729408,0,97779712,97013760
14923735317087,14923835846352,198367,973799424,965361664,0,98435072,97632256
14923835846352,14923936389546,198367,1061224448,1052139520,0,87425024,86777856
14923936389546,14924036797501,198367,1149042688,1139326976,0,87818240,87187456
14924036797501,14924137346807,198367,1259929600,1249280000,0,110886912,109953024
14924137346807,14924237944557,198367,1376714752,1365229568,0,116785152,115949568
14924237944557,14924338476029,198367,1489043456,1476599808,0,112328704,111370240
14924338476029,14924439090098,198367,1602289664,1588924416,0,113246208,112324608
14924439090098,14924539498114,198367,1714618368,1700429824,0,112328704,111505408
14924539498114,14924640052866,198367,1824718848,1809666048,0,110100480,109236224
14924640052866,14924740567851,198367,1923940352,1908162560,0,99221504,98496512
14924740567851,14924840970197,198367,2022506496,2005958656,0,98566144,97796096
14924840970197,14924941505999,198367,2130378752,2112946176,0,107872256,106987520
14924941505999,14925041962816,198367,2224619520,2206547968,0,94240768,93601792
14925041962816,14925142300569,198367,2322661376,2303717376,0,98041856,97169408
14925142300569,14925242637976,198367,2424111104,2404483072,0,101449728,100765696
14925242637976,14925343019706,198367,2523201536,2502803456,0,99090432,98320384
14925343019706,14925443432149,198367,2636185600,2614910976,0,112984064,112107520
14925443432149,14925543961074,198367,2740256768,2718113792,0,104071168,103202816
14925543961074,14925644342064,198367,2840526848,2817593344,0,100270080,99479552
14925644342064,14925744721434,198367,2956656640,2932867072,0,116129792,115273728
14925744721434,14925845254553,198367,3057319936,3032809472,0,100663296,99942400
14925845254553,14925945661186,198367,3164798976,3139321856,0,107479040,106512384
14925945661186,14926046191384,198367,3268214784,3242024960,0,103415808,102703104
14926046191384,14926146599589,198367,3367960576,3341025280,0,99745792,99000320
14926146599589,14926246992935,198367,3479764992,3451912192,0,111804416,110886912
14926246992935,14926347548616,198367,3585540096,3556925440,0,105775104,105013248
14926347548616,14926447958064,198367,3697606656,3668107264,0,112066560,111181824
14926447958064,14926548486050,198367,3807838208,3777486848,0,110231552,109379584
14926548486050,14926648883202,198367,3908370432,3877265408,0,100532224,99778560
14926648883202,14926749293784,198367,4019519488,3987484672,0,111149056,110219264
14926749293784,14926849816886,198367,4119527424,4086751232,0,100007936,99266560
14926849816886,14926950231007,198367,4224122880,4190453760,0,104595456,103702528
14926950231007,14927050784437,198367,4330815488,4296396800,0,106692608,105943040
14927050784437,14927151205903,198367,4428857344,4393705472,0,98041856,97308672
14927151205903,14927251632725,198367,4537253888,4501250048,0,108396544,107544576
14927251632725,14927352021012,198367,4642242560,4605382656,0,104988672,104132608
14927352021012,14927452436447,198367,4743692288,4705996800,0,101449728,100614144
14927452436447,14927552982879,198367,4848812032,4810285056,0,105119744,104288256
14927552982879,14927653557120,198367,4942659584,4903485440,0,93847552,93200384
14927653557120,14927753958803,198367,5046730752,5006753792,0,104071168,103268352
14927753958803,14927854393392,198367,5148966912,5108236288,0,102236160,101482496
14927854393392,14927954784030,198367,5160722432,5120045056,0,11755520,11808768
14927954784030,14928055265827,198367,5160722432,5120045056,0,0,0
14928055265827,14928155918114,198367,5160722432,5120045056,0,0,0
14928155918114,14928256438427,198367,5160722432,5120045056,0,0,0
14928256438427,14928356988339,198367,5160722432,5120045056,0,0,0
14928356988339,14928457661113,198367,5160722432,5120045056,0,0,0
14928457661113,14928558236202,198367,5160722432,5120045056,0,0,0
14928558236202,14928658892425,198367,5160722432,5120045056,0,0,0
14928658892425,14928759496142,198367,5160722432,5120045056,0,0,0
14928759496142,14928860025191,198367,5160722432,5120045056,0,0,0
14928860025191,14928960601336,198367,5160722432,5120045056,0,0,0
14928960601336,14929061247310,198367,5160722432,5120045056,0,0,0
14929061247310,14929161750088,198367,5160722432,5120045056,0,0,0
14929161750088,14929262254037,198367,5160722432,5120045056,0,0,0
14929262254037,14929362634226,198367,5160722432,5120045056,0,0,0
14929362634226,14929463165032,198367,5160722432,5120045056,0,0,0
14929463165032,14929563746057,198367,5160722432,5120045056,0,0,0
