sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
16568592504037,16568692878978,77.114428,9.950249,201,155,20
16568692878978,16568793384617,78.282828,10.101010,198,155,20
16568793384617,16568893826707,70.000000,11.500000,200,140,23
16568893826707,16568994294674,74.129353,9.950249,201,149,20
16568994294674,16569094754269,75.500000,10.000000,200,151,20
16569094754269,16569195198553,81.407035,5.527638,199,162,11
16569195198553,16569295733790,82.587065,5.472637,201,166,11
16569295733790,16569396261407,82.089552,5.472637,201,165,11
16569396261407,16569496667401,81.683168,5.445545,202,165,11
16569496667401,16569597114039,71.859296,11.557789,199,143,23
16569597114039,16569697554543,71.641791,11.442786,201,144,23
16569697554543,16569797994434,75.621891,9.950249,201,152,20
16569797994434,16569898420598,70.351759,10.552764,199,140,21
16569898420598,16569998721340,76.000000,10.500000,200,152,21
16569998721340,16570099139494,76.884422,10.050251,199,153,20
16570099139494,16570199589156,49.238579,9.137056,197,97,18
16570199589156,16570299994545,40.796020,6.467662,201,82,13
16570299994545,16570400451926,48.500000,6.500000,200,97,13
16570400451926,16570501009528,76.500000,10.500000,200,153,21
16570501009528,16570601423788,47.761194,7.462687,201,96,15
16570601423788,16570701829891,40.404040,9.090909,198,80,18
16570701829891,16570802223383,61.881188,7.920792,202,125,16
16570802223383,16570902740838,72.361809,10.050251,199,144,20
16570902740838,16571003243348,40.500000,8.500000,200,81,17
16571003243348,16571103652852,40.500000,5.500000,200,81,11
16571103652852,16571204026231,71.859296,5.025126,199,143,10
16571204026231,16571304498435,78.000000,6.000000,200,156,12
16571304498435,16571405003207,38.613861,7.425743,202,78,15
16571405003207,16571505412498,40.500000,6.500000,200,81,13
16571505412498,16571605807577,76.732673,10.396040,202,155,21
16571605807577,16571706312267,62.000000,10.000000,200,124,20
16571706312267,16571806819886,40.201005,8.040201,199,80,16
16571806819886,16571907209845,47.715736,3.553299,197,94,7
16571907209845,16572007572258,83.084577,4.975124,201,167,10
16572007572258,16572108071969,48.989899,7.070707,198,97,14
16572108071969,16572208466837,42.424242,5.555556,198,84,11
16572208466837,16572308855565,66.169154,3.980100,201,133,8
16572308855565,16572409427742,83.919598,5.025126,199,167,10
16572409427742,16572509917933,39.303483,9.452736,201,79,19
16572509917933,16572610323775,40.101523,8.629442,197,79,17
16572610323775,16572710733493,72.500000,10.000000,200,145,20
16572710733493,16572811381551,74.752475,7.920792,202,151,16
16572811381551,16572911752507,32.160804,9.547739,199,64,19
16572911752507,16573012149615,40.404040,6.565657,198,80,13
16573012149615,16573112639103,75.621891,9.950249,201,152,20
16573112639103,16573213254670,65.346535,9.900990,202,132,20
16573213254670,16573313641591,36.040609,8.121827,197,71,16
16573313641591,16573414016233,48.756219,7.462687,201,98,15
16573414016233,16573514430083,81.592040,9.452736,201,164,19
16573514430083,16573615044957,84.000000,10.000000,200,168,20
16573615044957,16573715567313,82.587065,9.950249,201,166,20
16573715567313,16573816164879,83.000000,9.500000,200,166,19
16573816164879,16573916697954,72.636816,9.950249,201,146,20
16573916697954,16574017219422,82.323232,8.585859,198,163,17
16574017219422,16574117783726,80.693069,9.900990,202,163,20
16574117783726,16574218316662,82.500000,10.000000,200,165,20
16574218316662,16574318940798,83.500000,10.000000,200,167,20
16574318940798,16574419500871,82.412060,9.547739,199,164,19
16574419500871,16574520189518,81.000000,9.500000,200,162,19
16574520189518,16574620811433,70.297030,7.920792,202,142,16
16574620811433,16574721374994,80.904523,10.050251,199,161,20
16574721374994,16574822014902,79.702970,9.405941,202,161,19
16574822014902,16574922564287,74.129353,9.950249,201,149,20
16574922564287,16575023023680,82.000000,10.000000,200,164,20
16575023023680,16575123485160,81.818182,8.585859,198,162,17
16575123485160,16575224173221,82.178218,9.900990,202,166,20
16575224173221,16575324834881,80.597015,9.452736,201,162,19
16575324834881,16575425407523,85.858586,7.575758,198,170,15
16575425407523,16575526119852,87.745098,4.901961,204,179,10
16575526119852,16575626654844,88.442211,5.025126,199,176,10
16575626654844,16575727250124,85.500000,7.000000,200,171,14
16575727250124,16575827898303,82.758621,9.852217,203,168,20
16575827898303,16575928526200,79.601990,7.462687,201,160,15
16575928526200,16576029133682,85.500000,5.500000,200,171,11
16576029133682,16576129658640,84.422111,8.040201,199,168,16
16576129658640,16576230220023,81.188119,10.396040,202,164,21
16576230220023,16576330839372,83.084577,9.950249,201,167,20
16576330839372,16576431433247,80.597015,10.447761,201,162,21
16576431433247,16576532032053,81.094527,9.452736,201,163,19
16576532032053,16576632726307,83.084577,9.950249,201,167,20
16576632726307,16576733345034,81.094527,9.950249,201,163,20
16576733345034,16576834141478,70.000000,7.000000,200,140,14
16576834141478,16576934551524,65.671642,4.975124,201,132,10
16576934551524,16577035167600,70.000000,5.000000,200,140,10
16577035167600,16577136439618,70.588235,4.901961,204,144,10
16577136439618,16577237685647,69.306931,4.950495,202,140,10
16577237685647,16577338959742,71.641791,4.975124,201,144,10
16577338959742,16577440354194,69.801980,4.950495,202,141,10
16577440354194,16577541468521,70.443350,4.926108,203,143,10
16577541468521,16577642567055,69.500000,5.500000,200,139,11
16577642567055,16577744191921,72.277228,4.950495,202,146,10
16577744191921,16577845269165,70.149254,4.975124,201,141,10
16577845269165,16577946384335,61.576355,4.926108,203,125,10
16577946384335,16578047587041,64.500000,4.000000,200,129,8
16578047587041,16578148742824,64.039409,4.926108,203,130,10
16578148742824,16578250119045,70.149254,4.477612,201,141,9
16578250119045,16578351320274,70.588235,5.392157,204,144,11
16578351320274,16578453180821,64.356436,8.910891,202,130,18
16578453180821,16578554349986,70.792079,4.455446,202,143,9
16578554349986,16578655447006,71.287129,4.950495,202,144,10
16578655447006,16578756601500,72.139303,4.477612,201,145,9
16578756601500,16578857663099,66.831683,5.940594,202,135,12
16578857663099,16578959027223,59.900990,4.950495,202,121,10
16578959027223,16579060185584,59.900990,4.950495,202,121,10
16579060185584,16579161309570,45.000000,4.000000,200,90,8
16579161309570,16579262782375,50.738916,4.926108,203,103,10
16579262782375,16579363988417,54.228856,4.477612,201,109,9
16579363988417,16579465367546,60.804020,4.020101,199,121,8
16579465367546,16579566489304,70.792079,4.455446,202,143,9
16579566489304,16579667657987,71.500000,4.500000,200,143,9
16579667657987,16579768843383,70.297030,4.950495,202,142,10
16579768843383,16579870357178,61.083744,4.926108,203,124,10
16579870357178,16579971411925,59.900990,4.455446,202,121,9
16579971411925,16580073082511,56.716418,4.477612,201,114,9
16580073082511,16580174733211,26.341463,3.414634,205,54,7
16580174733211,16580276025519,57.142857,4.433498,203,116,9
16580276025519,16580377291006,67.164179,5.472637,201,135,11
16580377291006,16580478737520,67.980296,4.433498,203,138,9
16580478737520,16580580122291,68.316832,3.960396,202,138,8
16580580122291,16580681685250,72.636816,4.477612,201,146,9
16580681685250,16580782845874,69.306931,4.950495,202,140,10
16580782845874,16580883986409,65.024631,5.911330,203,132,12
16580883986409,16580985239113,60.199005,4.477612,201,121,9
16580985239113,16581086648058,60.000000,4.500000,200,120,9
16581086648058,16581188009902,62.376238,4.950495,202,126,10
16581188009902,16581289342099,67.804878,4.390244,205,139,9
16581289342099,16581390614403,68.159204,4.975124,201,137,10
16581390614403,16581492109524,70.098039,4.901961,204,143,10
16581492109524,16581593293134,69.651741,4.975124,201,140,10
16581593293134,16581694495696,69.154229,4.477612,201,139,9
16581694495696,16581795752036,70.646766,4.477612,201,142,9
16581795752036,16581897024414,60.098522,5.418719,203,122,11
16581897024414,16581998230697,61.881188,4.950495,202,125,10
16581998230697,16582099490527,60.396040,4.950495,202,122,10
16582099490527,16582200915528,65.841584,4.950495,202,133,10
16582200915528,16582302179774,69.306931,4.455446,202,140,9
16582302179774,16582403428079,68.500000,5.000000,200,137,10
16582403428079,16582504745440,67.326733,4.950495,202,136,10
16582504745440,16582605936078,69.306931,3.960396,202,140,8
16582605936078,16582707283222,70.646766,4.477612,201,142,9
16582707283222,16582808882516,69.950739,4.926108,203,142,10
16582808882516,16582910094961,63.366337,5.940594,202,128,12
16582910094961,16583011279189,61.691542,4.477612,201,124,9
16583011279189,16583112600446,58.910891,4.950495,202,119,10
16583112600446,16583214020515,67.487685,4.433498,203,137,9
16583214020515,16583315264906,69.801980,4.455446,202,141,9
16583315264906,16583416351027,67.821782,4.950495,202,137,10
16583416351027,16583517875236,71.144279,4.975124,201,143,10
16583517875236,16583619093850,68.965517,4.926108,203,140,10
16583619093850,16583720407225,69.801980,4.950495,202,141,10
16583720407225,16583821795355,70.297030,4.455446,202,142,9
16583821795355,16583922959480,62.068966,4.433498,203,126,9
16583922959480,16584024163835,60.891089,4.455446,202,123,9
16584024163835,16584125403904,58.128079,3.940887,203,118,8
16584125403904,16584226825513,69.306931,4.950495,202,140,10
16584226825513,16584328212118,69.651741,4.975124,201,140,10
16584328212118,16584429447898,66.666667,6.372549,204,136,13
16584429447898,16584530621121,69.154229,4.975124,201,139,10
16584530621121,16584631828343,69.306931,4.950495,202,140,10
16584631828343,16584733268469,69.458128,4.926108,203,141,10
16584733268469,16584834529679,71.641791,4.477612,201,144,9
16584834529679,16584935729434,58.128079,5.911330,203,118,12
16584935729434,16585037063680,62.376238,4.950495,202,126,10
16585037063680,16585138347879,58.500000,5.000000,200,117,10
16585138347879,16585239599428,69.306931,4.950495,202,140,10
16585239599428,16585340679108,67.821782,4.950495,202,137,10
16585340679108,16585441957225,69.801980,4.950495,202,141,10
16585441957225,16585543199495,69.458128,4.433498,203,141,9
16585543199495,16585644317838,67.821782,4.950495,202,137,10
16585644317838,16585745446532,69.306931,4.950495,202,140,10
16585745446532,16585846530196,71.641791,4.975124,201,144,10
16585846530196,16585947579496,55.223881,5.970149,201,111,12
16585947579496,16586048550735,61.500000,4.500000,200,123,9
16586048550735,16586149521151,59.405941,4.950495,202,120,10
16586149521151,16586250699555,69.651741,3.980100,201,140,8
16586250699555,16586351962903,64.851485,3.960396,202,131,8
16586351962903,16586453229154,58.415842,4.950495,202,118,10
16586453229154,16586554321892,55.500000,3.500000,200,111,7
16586554321892,16586655470859,61.576355,4.433498,203,125,9
16586655470859,16586756782319,64.500000,6.000000,200,129,12
16586756782319,16586858106820,66.666667,4.975124,201,134,10
16586858106820,16586959531866,51.741294,6.965174,201,104,14
16586959531866,16587060689959,58.910891,3.465347,202,119,7
16587060689959,16587162041145,63.861386,0.000000,202,129,0
16587162041145,16587263365676,68.472906,2.463054,203,139,5
16587263365676,16587364612091,68.780488,2.926829,205,141,6
16587364612091,16587465881371,70.000000,3.500000,200,140,7
16587465881371,16587567144955,40.099010,1.980198,202,81,4
16587567144955,16587668768887,46.268657,2.487562,201,93,5
16587668768887,16587770127993,66.009852,4.926108,203,134,10
16587770127993,16587871258196,62.814070,6.030151,199,125,12
16587871258196,16587972447888,58.706468,1.990050,201,118,4
16587972447888,16588073762386,59.900990,4.950495,202,121,10
16588073762386,16588174960362,57.920792,4.455446,202,117,9
16588174960362,16588276166777,64.039409,3.940887,203,130,8
16588276166777,16588377377857,66.995074,4.926108,203,136,10
16588377377857,16588478958755,66.666667,4.975124,201,134,10
16588478958755,16588580276211,64.676617,3.980100,201,130,8
16588580276211,16588681766469,66.009852,4.926108,203,134,10
16588681766469,16588783169585,66.500000,3.500000,200,133,7
16588783169585,16588884516350,62.068966,4.433498,203,126,9
16588884516350,16588985687176,61.194030,2.487562,201,123,5
16588985687176,16589086901483,37.810945,3.482587,201,76,7
16589086901483,16589188331486,47.290640,4.433498,203,96,9
16589188331486,16589289657934,63.184080,3.980100,201,127,8
16589289657934,16589391219376,63.054187,4.433498,203,128,9
16589391219376,16589492591375,63.366337,3.960396,202,128,8
16589492591375,16589593802914,62.500000,4.500000,200,125,9
