sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
16568592504037,16568692878978,nvme0n1p8,185088,94765056,900.374128,0,0.657535,66
16568692878978,16568793384617,nvme0n1p8,187648,96075776,911.640391,0,0.606931,61
16568793384617,16568893826707,nvme0n1p8,185344,94896128,901.016695,0,0.597359,60
16568893826707,16568994294674,nvme0n1p8,186112,95289344,904.517158,1,0.577298,58
16568994294674,16569094754269,nvme0n1p8,186112,95289344,904.592538,1,0.587301,59
16569094754269,16569195198553,nvme0n1p8,222720,114032640,1082.689783,1,0.597346,60
16569195198553,16569295733790,nvme0n1p8,218624,111935488,1061.816764,1,0.686327,69
16569295733790,16569396261407,nvme0n1p8,215296,110231552,1045.732537,1,0.686379,69
16569396261407,16569496667401,nvme0n1p8,218880,112066560,1064.428484,0,0.687210,69
16569496667401,16569597114039,nvme0n1p8,215808,110493696,1049.064479,0,0.686932,69
16569597114039,16569697554543,nvme0n1p8,226560,115998720,1101.398296,1,0.627237,63
16569697554543,16569797994434,nvme0n1p8,232704,119144448,1131.273629,1,0.607328,61
16569797994434,16569898420598,nvme0n1p8,213504,109314048,1038.076093,0,0.677114,68
16569898420598,16569998721340,nvme0n1p8,210688,107872256,1025.665393,0,0.667991,67
16569998721340,16570099139494,nvme0n1p8,211200,108134400,1026.955743,1,0.657252,66
16570099139494,16570199589156,nvme0n1p8,196608,100663296,955.702569,1,0.607269,61
16570199589156,16570299994545,nvme0n1p8,193024,98828288,938.694635,1,0.627456,63
16570299994545,16570400451926,nvme0n1p8,198144,101449728,963.094987,1,0.637086,64
16570400451926,16570501009528,nvme0n1p8,215040,110100480,1044.177645,1,0.696118,70
16570501009528,16570601423788,nvme0n1p8,198400,101580800,964.753413,1,0.627401,63
16570601423788,16570701829891,nvme0n1p8,195328,100007936,949.892458,0,0.617492,62
16570701829891,16570802223383,nvme0n1p8,204288,104595456,993.590302,0,0.657413,66
16570802223383,16570902740838,nvme0n1p8,212480,108789760,1032.159041,1,0.676499,68
16570902740838,16571003243348,nvme0n1p8,198912,101842944,966.393775,2,0.547250,55
16571003243348,16571103652852,nvme0n1p8,206848,105906176,1005.880878,1,0.537798,54
16571103652852,16571204026231,nvme0n1p8,211456,108265472,1028.659203,1,0.647582,65
16571204026231,16571304498435,nvme0n1p8,218880,112066560,1063.727038,0,0.676804,68
16571304498435,16571405003207,nvme0n1p8,207872,106430464,1009.902296,1,0.547238,55
16571405003207,16571505412498,nvme0n1p8,204032,104464384,992.189059,0,0.587595,59
16571505412498,16571605807577,nvme0n1p8,216320,110755840,1052.093400,1,0.697245,70
16571605807577,16571706312267,nvme0n1p8,203008,103940096,986.272382,2,0.646736,65
16571706312267,16571806819886,nvme0n1p8,196864,100794368,956.395156,1,0.606919,61
16571806819886,16571907209845,nvme0n1p8,208896,106954752,1016.037869,0,0.587708,59
16571907209845,16572007572258,nvme0n1p8,240384,123076608,1169.511538,0,0.607797,61
16572007572258,16572108071969,nvme0n1p8,217856,111542272,1058.460755,1,0.557216,56
16572108071969,16572208466837,nvme0n1p8,203264,104071168,988.596349,1,0.597640,60
16572208466837,16572308855565,nvme0n1p8,210176,107610112,1022.276126,0,0.677367,68
16572308855565,16572409427742,nvme0n1p8,221440,113377280,1075.098533,1,0.696018,70
16572409427742,16572509917933,nvme0n1p8,194816,99745792,946.609804,0,0.616976,62
16572509917933,16572610323775,nvme0n1p8,193024,98828288,938.690400,1,0.617494,62
16572610323775,16572710733493,nvme0n1p8,214784,109969408,1044.470616,0,0.697144,70
16572710733493,16572811381551,nvme0n1p8,214272,109707264,1039.513351,0,0.675622,68
16572811381551,16572911752507,nvme0n1p8,202240,103546880,983.850348,1,0.607746,61
16572911752507,16573012149615,nvme0n1p8,198912,101842944,967.408344,1,0.607587,61
16573012149615,16573112639103,nvme0n1p8,218112,111673344,1059.812346,0,0.686639,69
16573112639103,16573213254670,nvme0n1p8,212224,108658688,1029.910213,0,0.665901,67
16573213254670,16573313641591,nvme0n1p8,187904,96206848,913.963683,2,0.597687,60
16573313641591,16573414016233,nvme0n1p8,199936,102367232,972.606209,0,0.637611,64
16573414016233,16573514430083,nvme0n1p8,25008,12804096,121.606108,0,0.079670,8
16573514430083,16573615044957,nvme0n1p8,0,0,0.000000,0,0.000000,0
16573615044957,16573715567313,nvme0n1p8,0,0,0.000000,0,0.000000,0
16573715567313,16573816164879,nvme0n1p8,0,0,0.000000,0,0.000000,0
16573816164879,16573916697954,nvme0n1p8,0,0,0.000000,0,0.000000,0
16573916697954,16574017219422,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574017219422,16574117783726,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574117783726,16574218316662,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574218316662,16574318940798,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574318940798,16574419500871,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574419500871,16574520189518,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574520189518,16574620811433,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574620811433,16574721374994,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574721374994,16574822014902,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574822014902,16574922564287,nvme0n1p8,0,0,0.000000,0,0.000000,0
16574922564287,16575023023680,nvme0n1p8,0,0,0.000000,0,0.000000,0
16575023023680,16575123485160,nvme0n1p8,0,0,0.000000,0,0.000000,0
16575123485160,16575224173221,nvme0n1p8,0,0,0.000000,0,0.000000,0
16575224173221,16575324834881,nvme0n1p8,0,0,0.000000,0,0.000000,0
16575324834881,16575425407523,nvme0n1p8,72,36864,0.349561,0,0.049715,5
16575425407523,16575526119852,nvme0n1p8,0,0,0.000000,0,0.000000,0
16575526119852,16575626654844,nvme0n1p8,0,0,0.000000,0,0.000000,0
16575626654844,16575727250124,nvme0n1p8,152800,78233600,741.678685,1,0.487100,49
16575727250124,16575827898303,nvme0n1p8,589824,301989888,2861.452665,1,1.172401,118
16575827898303,16575928526200,nvme0n1p8,576256,295043072,2796.192789,1,1.122949,113
16575928526200,16576029133682,nvme0n1p8,318928,163291136,1547.862638,0,0.715653,72
16576029133682,16576129658640,nvme0n1p8,240352,123060224,1167.465049,2,0.626710,63
16576129658640,16576230220023,nvme0n1p8,191168,97878016,928.226594,0,0.497209,50
16576230220023,16576330839372,nvme0n1p8,31744,16252928,154.045918,0,0.129200,13
16576330839372,16576431433247,nvme0n1p8,22352,11444224,108.496293,0,0.089469,9
16576431433247,16576532032053,nvme0n1p8,0,0,0.000000,0,0.000000,0
16576532032053,16576632726307,nvme0n1p8,0,0,0.000000,0,0.000000,0
16576632726307,16576733345034,nvme0n1p8,0,0,0.000000,0,0.000000,0
16576733345034,16576834141478,nvme0n1p8,10080,5160960,48.829848,0,0.089289,9
16576834141478,16576934551524,nvme0n1p8,0,0,0.000000,0,0.000000,0
16576934551524,16577035167600,nvme0n1p8,0,0,0.000000,0,0.000000,0
16577035167600,16577136439618,nvme0n1p8,11784,6033408,56.816348,35,9.548541,967
16577136439618,16577237685647,nvme0n1p8,29800,15257600,143.717056,0,10.578193,1071
16577237685647,16577338959742,nvme0n1p8,27304,13979648,131.643055,0,6.684829,677
16577338959742,16577440354194,nvme0n1p8,25928,13275136,124.860444,0,4.083064,414
16577440354194,16577541468521,nvme0n1p8,27192,13922304,131.310212,0,2.917490,295
16577541468521,16577642567055,nvme0n1p8,27368,14012416,132.180762,0,2.650879,268
16577642567055,16577744191921,nvme0n1p8,26800,13721600,128.767082,0,2.174665,221
16577744191921,16577845269165,nvme0n1p8,25720,13168640,124.247489,0,1.929218,195
16577845269165,16577946384335,nvme0n1p8,27864,14266368,134.554180,0,2.037281,206
16577946384335,16578047587041,nvme0n1p8,24064,12320768,116.103615,0,1.729203,175
16578047587041,16578148742824,nvme0n1p8,26272,13451264,126.815538,0,1.779434,180
16578148742824,16578250119045,nvme0n1p8,27208,13930496,131.048052,0,1.874207,190
16578250119045,16578351320274,nvme0n1p8,28464,14573568,137.334671,32,1.758872,178
16578351320274,16578453180821,nvme0n1p8,28920,14807040,138.631631,0,2.002738,204
16578453180821,16578554349986,nvme0n1p8,27880,14274560,134.559589,0,1.719892,174
16578554349986,16578655447006,nvme0n1p8,26624,13631488,128.589349,0,1.839817,186
16578655447006,16578756601500,nvme0n1p8,26568,13602816,128.245970,0,1.670712,169
16578756601500,16578857663099,nvme0n1p8,27352,14004224,132.151766,0,1.692037,171
16578857663099,16578959027223,nvme0n1p8,25504,13058048,122.855351,0,1.785642,181
16578959027223,16579060185584,nvme0n1p8,27584,14123008,133.145198,0,1.838701,186
16579060185584,16579161309570,nvme0n1p8,24256,12419072,117.121076,0,1.621772,164
16579161309570,16579262782375,nvme0n1p8,26944,13795328,129.652965,0,1.882278,191
16579262782375,16579363988417,nvme0n1p8,19968,10223616,96.338122,5,1.373436,139
16579363988417,16579465367546,nvme0n1p8,29432,15069184,141.755940,0,1.824833,185
16579465367546,16579566489304,nvme0n1p8,28472,14577664,137.481231,0,1.789921,181
16579566489304,16579667657987,nvme0n1p8,28512,14598144,137.610519,0,1.779207,180
16579667657987,16579768843383,nvme0n1p8,25176,12890112,121.489555,0,1.610904,163
16579768843383,16579870357178,nvme0n1p8,22736,11640832,109.360137,0,1.556439,158
16579870357178,16579971411925,nvme0n1p8,26968,13807616,130.305296,0,1.890065,191
16579971411925,16580073082511,nvme0n1p8,26000,13312000,124.867112,0,1.799931,183
16580073082511,16580174733211,nvme0n1p8,22528,11534336,108.213716,0,1.642881,167
16580174733211,16580276025519,nvme0n1p8,26200,13414400,126.297534,0,1.668439,169
16580276025519,16580377291006,nvme0n1p8,26808,13725696,129.262636,0,1.668881,169
16580377291006,16580478737520,nvme0n1p8,25480,13045760,122.640057,0,1.616615,164
