sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
16568592504037,16568692878978,10217023437,9771091842,45389,44023
16568692878978,16568793384617,10217070175,9771137975,46738,46133
16568793384617,16568893826707,10217107000,9771173955,36825,35980
16568893826707,16568994294674,10217148249,9771212317,41249,38362
16568994294674,16569094754269,10217191627,9771252625,43378,40308
16569094754269,16569195198553,10217246086,9771284284,54459,31659
16569195198553,16569295733790,10217306314,9771316283,60228,31999
16569295733790,16569396261407,10217365775,9771348437,59461,32154
16569396261407,16569496667401,10217423410,9771381468,57635,33031
16569496667401,16569597114039,10217462015,9771419340,38605,37872
16569597114039,16569697554543,10217500787,9771456432,38772,37092
16569697554543,16569797994434,10217544340,9771499241,43553,42809
16569797994434,16569898420598,10217580062,9771533875,35722,34634
16569898420598,16569998721340,10217625034,9771577809,44972,43934
16569998721340,16570099139494,10217669811,9771621865,44777,44056
16570099139494,16570199589156,10217692983,9771634900,23172,13035
16570199589156,16570299994545,10217713300,9771644559,20317,9659
16570299994545,16570400451926,10217733564,9771656631,20264,12072
16570400451926,16570501009528,10217779715,9771702193,46151,45562
16570501009528,16570601423788,10217802057,9771714204,22342,12011
16570601423788,16570701829891,10217822262,9771727290,20205,13086
16570701829891,16570802223383,10217850410,9771748223,28148,20933
16570802223383,16570902740838,10217888400,9771784187,37990,35964
16570902740838,16571003243348,10217909443,9771796445,21043,12258
16571003243348,16571103652852,10217929040,9771804062,19597,7617
16571103652852,16571204026231,10217966711,9771822175,37671,18113
16571204026231,16571304498435,10218015089,9771848219,48378,26044
16571304498435,16571405003207,10218034955,9771857402,19866,9183
16571405003207,16571505412498,10218053420,9771868457,18465,11055
16571505412498,16571605807577,10218101314,9771915099,47894,46642
16571605807577,16571706312267,10218130154,9771939039,28840,23940
16571706312267,16571806819886,10218150767,9771950238,20613,11199
16571806819886,16571907209845,10218170252,9771957479,19485,7241
16571907209845,16572007572258,10218232207,9771988570,61955,31091
16572007572258,16572108071969,10218259945,9772001613,27738,13043
16572108071969,16572208466837,10218281291,9772009633,21346,8020
16572208466837,16572308855565,10218311546,9772021171,30255,11538
16572308855565,16572409427742,10218374005,9772054091,62459,32920
16572409427742,16572509917933,10218394099,9772067248,20094,13157
16572509917933,16572610323775,10218413863,9772080589,19764,13341
16572610323775,16572710733493,10218452354,9772116977,38491,36388
16572710733493,16572811381551,10218495077,9772148569,42723,31592
16572811381551,16572911752507,10218514375,9772160040,19298,11471
16572911752507,16573012149615,10218532819,9772170394,18444,10354
16573012149615,16573112639103,10218578054,9772212845,45235,42451
16573112639103,16573213254670,10218610083,9772238826,32029,25981
16573213254670,16573313641591,10218629789,9772249509,19706,10683
16573313641591,16573414016233,10218650853,9772262923,21064,13414
16573414016233,16573514430083,10218709086,9772319380,58233,56457
16573514430083,16573615044957,10218771778,9772381911,62692,62531
16573615044957,16573715567313,10218831247,9772440627,59469,58716
16573715567313,16573816164879,10218893553,9772501064,62306,60437
16573816164879,16573916697954,10218931286,9772535148,37733,34084
16573916697954,16574017219422,10218989318,9772586529,58032,51381
