sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
16734792262855,16734892672245,75.124378,9.950249,201,151,20
16734892672245,16734993187023,74.000000,10.000000,200,148,20
16734993187023,16735093718720,71.000000,11.500000,200,142,23
16735093718720,16735194173724,76.237624,9.900990,202,154,20
16735194173724,16735294617158,72.636816,9.452736,201,146,19
16735294617158,16735395022666,59.701493,8.955224,201,120,18
16735395022666,16735495499472,75.124378,9.950249,201,151,20
16735495499472,16735596128604,75.862069,9.852217,203,154,20
16735596128604,16735696628411,79.104478,10.447761,201,159,21
16735696628411,16735797146923,69.849246,3.517588,199,139,7
16735797146923,16735897595332,82.587065,5.472637,201,166,11
16735897595332,16735997915699,78.217822,4.950495,202,158,10
16735997915699,16736098282622,79.396985,5.527638,199,158,11
16736098282622,16736198605473,80.295567,5.418719,203,163,11
16736198605473,16736299156347,83.919598,5.025126,199,167,10
16736299156347,16736399596957,47.000000,10.000000,200,94,20
16736399596957,16736499998204,42.786070,7.462687,201,86,15
16736499998204,16736600408650,41.414141,7.575758,198,82,15
16736600408650,16736700902722,68.159204,7.462687,201,137,15
16736700902722,16736801430076,76.354680,10.344828,203,155,21
16736801430076,16736901929039,59.798995,9.547739,199,119,19
16736901929039,16737002321340,37.373737,9.090909,198,74,18
16737002321340,16737102727661,37.313433,8.457711,201,75,17
16737102727661,16737203137148,60.301508,7.035176,199,120,14
16737203137148,16737303756824,75.124378,9.452736,201,151,19
16737303756824,16737404268778,60.804020,8.542714,199,121,17
16737404268778,16737504678006,36.318408,7.960199,201,73,16
16737504678006,16737605085134,38.000000,7.000000,200,76,14
16737605085134,16737705620812,60.000000,3.500000,200,120,7
16737705620812,16737806222559,77.339901,6.896552,203,157,14
16737806222559,16737906721714,64.000000,8.500000,200,128,17
16737906721714,16738007140512,36.180905,7.537688,199,72,15
16738007140512,16738107555232,37.055838,7.614213,197,73,15
16738107555232,16738207950534,52.736318,6.467662,201,106,13
16738207950534,16738308412845,74.874372,9.045226,199,149,18
16738308412845,16738408967960,62.189055,8.457711,201,125,17
16738408967960,16738509380836,36.224490,8.673469,196,71,17
16738509380836,16738609788815,39.898990,7.070707,198,79,14
16738609788815,16738710202888,58.000000,8.000000,200,116,16
16738710202888,16738810860854,78.000000,10.000000,200,156,20
16738810860854,16738911666628,71.356784,11.055276,199,142,22
16738911666628,16739012016880,36.453202,6.403941,203,74,13
16739012016880,16739112602549,33.165829,9.045226,199,66,18
16739112602549,16739213114921,55.276382,6.030151,199,110,12
16739213114921,16739313627265,77.386935,10.552764,199,154,21
16739313627265,16739414233103,76.884422,10.552764,199,153,21
16739414233103,16739514739063,36.363636,8.585859,198,72,17
16739514739063,16739615161138,38.118812,9.405941,202,77,19
16739615161138,16739715568975,52.261307,5.025126,199,104,10
16739715568975,16739816029499,82.178218,9.900990,202,166,20
16739816029499,16739916538178,82.741117,9.644670,197,163,19
16739916538178,16740017025848,82.500000,10.000000,200,165,20
16740017025848,16740117577718,78.391960,8.542714,199,156,17
16740117577718,16740218019975,81.909548,9.547739,199,163,19
16740218019975,16740318666721,82.000000,10.000000,200,164,20
16740318666721,16740419321103,80.198020,9.900990,202,162,20
16740419321103,16740519972030,83.417085,9.547739,199,166,19
16740519972030,16740620532748,83.000000,10.000000,200,166,20
16740620532748,16740721025797,82.500000,10.000000,200,165,20
16740721025797,16740821569533,83.000000,10.000000,200,166,20
16740821569533,16740922101948,82.000000,9.500000,200,164,19
16740922101948,16741022755978,82.673267,9.900990,202,167,20
16741022755978,16741123312507,80.000000,9.500000,200,160,19
16741123312507,16741223866815,81.000000,10.000000,200,162,20
16741223866815,16741324442635,82.500000,9.500000,200,165,19
16741324442635,16741424981421,79.601990,9.452736,201,160,19
16741424981421,16741525530006,81.280788,8.866995,203,165,18
16741525530006,16741626134377,84.079602,8.457711,201,169,17
16741626134377,16741726662897,86.000000,5.000000,200,172,10
16741726662897,16741827179499,87.128713,4.950495,202,176,10
16741827179499,16741927803945,88.000000,6.000000,200,176,12
16741927803945,16742028344100,82.914573,10.552764,199,165,21
16742028344100,16742128875442,77.339901,10.837438,203,157,22
16742128875442,16742229255564,81.000000,10.000000,200,162,20
16742229255564,16742329814008,80.788177,8.866995,203,164,18
16742329814008,16742430400668,85.000000,5.000000,200,170,10
