sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
16734792262855,16734892672245,nvme0n1p8,183040,93716480,890.105995,0,0.657309,66
16734892672245,16734993187023,nvme0n1p8,185344,94896128,900.365118,2,0.596927,60
16734993187023,16735093718720,nvme0n1p8,164608,84279296,799.499087,1,0.566985,57
16735093718720,16735194173724,nvme0n1p8,188416,96468992,915.832924,0,0.587328,59
16735194173724,16735294617158,nvme0n1p8,175104,89653248,851.225377,0,0.567484,57
16735294617158,16735395022666,nvme0n1p8,212992,109051904,1035.799749,0,0.617496,62
16735395022666,16735495499472,nvme0n1p8,216320,110755840,1051.237636,0,0.656868,66
16735495499472,16735596128604,nvme0n1p8,210944,108003328,1023.560454,0,0.685686,69
16735596128604,16735696628411,nvme0n1p8,214784,109969408,1043.534342,1,0.696519,70
16735696628411,16735797146923,nvme0n1p8,211456,108265472,1027.173980,0,0.666544,67
16735797146923,16735897595332,nvme0n1p8,225024,115212288,1093.845100,1,0.667009,67
16735897595332,16735997915699,nvme0n1p8,238080,121896960,1158.787627,1,0.608052,61
16735997915699,16736098282622,nvme0n1p8,222464,113901568,1082.278870,0,0.677514,68
16736098282622,16736198605473,nvme0n1p8,218880,112066560,1065.310634,0,0.687779,69
16736198605473,16736299156347,nvme0n1p8,222208,113770496,1079.055762,1,0.686220,69
16736299156347,16736399596957,nvme0n1p8,189696,97124352,922.186753,1,0.587412,59
16736399596957,16736499998204,nvme0n1p8,192768,98697216,937.488356,0,0.617522,62
16736499998204,16736600408650,nvme0n1p8,192512,98566144,936.157579,1,0.607507,61
16736600408650,16736700902722,nvme0n1p8,206592,105775104,1003.790552,1,0.646804,65
16736700902722,16736801430076,nvme0n1p8,219392,112328704,1065.630356,1,0.686380,69
16736801430076,16736901929039,nvme0n1p8,203520,104202240,988.816173,1,0.636822,64
16736901929039,16737002321340,nvme0n1p8,187392,95944704,911.424473,0,0.607616,61
16737002321340,16737102727661,nvme0n1p8,189440,96993280,921.256740,1,0.607531,61
16737102727661,16737203137148,nvme0n1p8,206080,105512960,1002.146341,0,0.607512,61
16737203137148,16737303756824,nvme0n1p8,230656,118095872,1119.313881,0,0.566490,57
16737303756824,16737404268778,nvme0n1p8,203264,104071168,987.444737,0,0.596944,60
16737404268778,16737504678006,nvme0n1p8,192000,98304000,933.679124,1,0.597555,60
16737504678006,16737605085134,nvme0n1p8,204544,104726528,994.700297,0,0.547770,55
16737605085134,16737705620812,nvme0n1p8,220416,112852992,1070.515484,0,0.566963,57
16737705620812,16737806222559,nvme0n1p8,218112,111673344,1058.629727,1,0.695813,70
16737806222559,16737906721714,nvme0n1p8,206336,105644032,1002.495991,0,0.646772,65
16737906721714,16738007140512,nvme0n1p8,193792,99221504,942.303651,0,0.597498,60
16738007140512,16738107555232,nvme0n1p8,189696,97124352,922.424521,1,0.567646,57
16738107555232,16738207950534,nvme0n1p8,207616,106299392,1009.758405,1,0.527913,53
16738207950534,16738308412845,nvme0n1p8,235520,120586240,1144.707890,0,0.587285,59
16738308412845,16738408967960,nvme0n1p8,226304,115867648,1098.899842,0,0.606632,61
16738408967960,16738509380836,nvme0n1p8,192768,98697216,937.379784,2,0.627410,63
16738509380836,16738609788815,nvme0n1p8,195584,100139008,951.119632,1,0.627440,63
16738609788815,16738710202888,nvme0n1p8,204288,104595456,993.386654,1,0.647320,65
16738710202888,16738810860854,nvme0n1p8,218880,112066560,1061.763954,1,0.675555,68
16738810860854,16738911666628,nvme0n1p8,215552,110362624,1044.087018,0,0.674565,68
16738911666628,16739012016880,nvme0n1p8,185600,95027200,903.086920,1,0.587941,59
16739012016880,16739112602549,nvme0n1p8,197120,100925440,956.895758,1,0.616390,62
16739112602549,16739213114921,nvme0n1p8,209664,107347968,1018.531331,1,0.606890,61
16739213114921,16739313627265,nvme0n1p8,215296,110231552,1045.891438,1,0.676534,68
16739313627265,16739414233103,nvme0n1p8,211968,108527616,1028.767337,1,0.695785,70
16739414233103,16739514739063,nvme0n1p8,191488,98041856,930.293089,2,0.616879,62
16739514739063,16739615161138,nvme0n1p8,197632,101187584,960.944095,1,0.627352,63
16739615161138,16739715568975,nvme0n1p8,123824,63397888,602.153570,0,0.398375,40
16739715568975,16739816029499,nvme0n1p8,0,0,0.000000,0,0.000000,0
16739816029499,16739916538178,nvme0n1p8,0,0,0.000000,0,0.000000,0
16739916538178,16740017025848,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740017025848,16740117577718,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740117577718,16740218019975,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740218019975,16740318666721,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740318666721,16740419321103,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740419321103,16740519972030,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740519972030,16740620532748,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740620532748,16740721025797,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740721025797,16740821569533,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740821569533,16740922101948,nvme0n1p8,0,0,0.000000,0,0.000000,0
16740922101948,16741022755978,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741022755978,16741123312507,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741123312507,16741223866815,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741223866815,16741324442635,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741324442635,16741424981421,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741424981421,16741525530006,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741525530006,16741626134377,nvme0n1p8,72,36864,0.349451,0,0.049700,5
16741626134377,16741726662897,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741726662897,16741827179499,nvme0n1p8,0,0,0.000000,0,0.000000,0
16741827179499,16741927803945,nvme0n1p8,40416,20692992,196.119092,1,0.258387,26
16741927803945,16742028344100,nvme0n1p8,552704,282984448,2684.250885,2,1.143822,115
16742028344100,16742128875442,nvme0n1p8,538624,275775488,2616.099564,1,1.133975,114
16742128875442,16742229255564,nvme0n1p8,506064,259104768,2461.658320,0,1.016137,102
16742229255564,16742329814008,nvme0n1p8,104160,53329920,505.769312,0,0.348056,35
16742329814008,16742430400668,nvme0n1p8,324064,165920768,1573.114914,0,0.666092,67
16742430400668,16742531032480,nvme0n1p8,28896,14794752,140.207900,0,0.129184,13
16742531032480,16742631569717,nvme0n1p8,25344,12976128,123.088722,0,0.089519,9
16742631569717,16742732254078,nvme0n1p8,3152,1613824,15.286013,0,0.009932,1
16742732254078,16742832808119,nvme0n1p8,0,0,0.000000,0,0.000000,0
16742832808119,16742933526100,nvme0n1p8,0,0,0.000000,0,0.000000,0
16742933526100,16743034017836,nvme0n1p8,10080,5160960,48.977908,0,0.089560,9
16743034017836,16743134462031,nvme0n1p8,0,0,0.000000,0,0.000000,0
16743134462031,16743235028151,nvme0n1p8,0,0,0.000000,0,0.000000,0
16743235028151,16743336271762,nvme0n1p8,3160,1617920,15.240159,0,2.735975,277
16743336271762,16743437691807,nvme0n1p8,22480,11509760,108.228728,0,14.612496,1482
16743437691807,16743540370171,nvme0n1p8,25944,13283328,123.375249,0,8.443843,867
