sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
16734792262855,16734892672245,10273111699,9810188765,41712,40397
16734892672245,16734993187023,10273151857,9810227342,40158,38577
16734993187023,16735093718720,10273190791,9810262720,38934,35378
16735093718720,16735194173724,10273235558,9810306419,44767,43699
16735194173724,16735294617158,10273274217,9810342814,38659,36395
16735294617158,16735395022666,10273300436,9810365341,26219,22527
16735395022666,16735495499472,10273343675,9810406369,43239,41028
16735495499472,16735596128604,10273390162,9810451140,46487,44771
16735596128604,16735696628411,10273441492,9810501712,51330,50572
16735696628411,16735797146923,10273475533,9810514652,34041,12940
16735797146923,16735897595332,10273536734,9810547091,61201,32439
16735897595332,16735997915699,10273585433,9810570519,48699,23428
16735997915699,16736098282622,10273638295,9810598216,52862,27697
16736098282622,16736198605473,10273693772,9810628047,55477,29831
16736198605473,16736299156347,10273758029,9810662329,64257,34282
16736299156347,16736399596957,10273782818,9810674480,24789,12151
16736399596957,16736499998204,10273804405,9810685803,21587,11323
16736499998204,16736600408650,10273823991,9810696995,19586,11192
16736600408650,16736700902722,10273856676,9810720046,32685,23051
16736700902722,16736801430076,10273904171,9810766624,47495,46578
16736801430076,16736901929039,10273931805,9810788006,27634,21382
16736901929039,16737002321340,10273952060,9810798969,20255,10963
16737002321340,16737102727661,10273970718,9810810605,18658,11636
16737102727661,16737203137148,10273996943,9810829655,26225,19050
16737203137148,16737303756824,10274038770,9810867908,41827,38253
16737303756824,16737404268778,10274066360,9810888174,27590,20266
16737404268778,16737504678006,10274086490,9810898460,20130,10286
16737504678006,16737605085134,10274106098,9810906880,19608,8420
16737605085134,16737705620812,10274131556,9810916520,25458,9640
16737705620812,16737806222559,10274180480,9810948033,48924,31513
16737806222559,16737906721714,10274210264,9810970233,29784,22200
16737906721714,16738007140512,10274230584,9810979604,20320,9371
16738007140512,16738107555232,10274249759,9810989721,19175,10117
16738107555232,16738207950534,10274271521,9811003464,21762,13743
16738207950534,16738308412845,10274312329,9811040157,40808,36693
16738308412845,16738408967960,10274340704,9811061479,28375,21322
16738408967960,16738509380836,10274360377,9811072238,19673,10759
16738509380836,16738609788815,10274380716,9811080830,20339,8592
16738609788815,16738710202888,10274405390,9811099783,24674,18953
16738710202888,16738810860854,10274453947,9811146834,48557,47051
16738810860854,16738911666628,10274491251,9811182331,37304,35497
16738911666628,16739012016880,10274511226,9811190269,19975,7938
16739012016880,16739112602549,10274531145,9811201846,19919,11577
16739112602549,16739213114921,10274553931,9811215229,22786,13383
16739213114921,16739313627265,10274600010,9811260860,46079,45631
16739313627265,16739414233103,10274645874,9811306294,45864,45434
16739414233103,16739514739063,10274666610,9811317400,20736,11106
16739514739063,16739615161138,10274687224,9811329328,20614,11928
16739615161138,16739715568975,10274709161,9811339579,21937,10251
16739715568975,16739816029499,10274768837,9811398038,59676,58459
16739816029499,16739916538178,10274825786,9811453209,56949,55171
16739916538178,16740017025848,10274883732,9811509760,57946,56551
16740017025848,16740117577718,10274931762,9811551617,48030,41857
16740117577718,16740218019975,10274987133,9811604816,55371,53199
16740218019975,16740318666721,10275044173,9811659658,57040,54842
16740318666721,16740419321103,10275098713,9811712737,54540,53079
16740419321103,16740519972030,10275158824,9811771387,60111,58650
16740519972030,16740620532748,10275219035,9811830800,60211,59413
16740620532748,16740721025797,10275279039,9811889541,60004,58741
16740721025797,16740821569533,10275340345,9811950102,61306,60561
16740821569533,16740922101948,10275397644,9812006173,57299,56071
16740922101948,16741022755978,10275458105,9812065650,60461,59477
16741022755978,16741123312507,10275509982,9812113300,51877,47650
16741123312507,16741223866815,10275565243,9812167624,55261,54324
16741223866815,16741324442635,10275623718,9812224995,58475,57371
16741324442635,16741424981421,10275675020,9812272386,51302,47391
16741424981421,16741525530006,10275733653,9812324256,58633,51870
16741525530006,16741626134377,10275799889,9812379173,66236,54917
16741626134377,16741726662897,10275876932,9812417428,77043,38255
16741726662897,16741827179499,10275962852,9812460265,85920,42837
16741827179499,16741927803945,10276047634,9812509824,84782,49559
16741927803945,16742028344100,10276112225,9812573608,64591,63784
16742028344100,16742128875442,10276161533,9812622461,49308,48853
16742128875442,16742229255564,10276219312,9812677945,57779,55484
16742229255564,16742329814008,10276277076,9812729170,57764,51225
16742329814008,16742430400668,10276346663,9812764498,69587,35328
16742430400668,16742531032480,10276428825,9812803537,82162,39039
16742531032480,16742631569717,10276488926,9812854354,60101,50817
16742631569717,16742732254078,10276544497,9812909176,55571,54822
16742732254078,16742832808119,10276598868,9812962695,54371,53519
16742832808119,16742933526100,10276652003,9813012849,53135,50154
16742933526100,16743034017836,10276680265,9813032896,28262,20047
16743034017836,16743134462031,10276698947,9813041328,18682,8432
16743134462031,16743235028151,10276718884,9813049661,19937,8333
16743235028151,16743336271762,10276737843,9813058550,18959,8889
16743336271762,16743437691807,10276753659,9813064154,15816,5604
16743437691807,16743540370171,10276770678,9813071957,17019,7803
16743540370171,16743641876327,10276789713,9813079631,19035,7674
16743641876327,16743743465551,10276809181,9813087894,19468,8263
16743743465551,16743844937062,10276825662,9813092791,16481,4897
16743844937062,16743946318928,10276841880,9813097290,16218,4499
16743946318928,16744048334402,10276856738,9813103777,14858,6487
16744048334402,16744149868810,10276869140,9813106668,12402,2891
16744149868810,16744251375390,10276887141,9813114722,18001,8054
16744251375390,16744352585309,10276907624,9813124362,20483,9640
16744352585309,16744453872367,10276926298,9813133031,18674,8669
16744453872367,16744555345082,10276939860,9813135794,13562,2763
16744555345082,16744657308191,10276951256,9813137915,11396,2121
16744657308191,16744759152171,10276963656,9813140767,12400,2852
16744759152171,16744862567947,10276980378,9813147501,16722,6734
16744862567947,16744963857082,10276997613,9813155555,17235,8054
16744963857082,16745066279316,10277015823,9813163983,18210,8428
16745066279316,16745167579576,10277033132,9813170297,17309,6314
16745167579576,16745268959883,10277052915,9813179104,19783,8807
16745268959883,16745370513935,10277066460,9813180842,13545,1738
16745370513935,16745472779198,10277078428,9813181943,11968,1101
16745472779198,16745574261776,10277094470,9813189037,16042,7094
16745574261776,16745675635824,10277110010,9813195758,15540,6721
16745675635824,16745777385836,10277129335,9813203780,19325,8022
16745777385836,16745878746690,10277148228,9813211331,18893,7551
16745878746690,16745980100715,10277162153,9813215790,13925,4459
16745980100715,16746081780413,10277175843,9813220000,13690,4210
16746081780413,16746184862276,10277188096,9813221578,12253,1578
16746184862276,16746287153932,10277202456,9813226702,14360,5124
16746287153932,16746389563259,10277216595,9813230588,14139,3886
16746389563259,16746492771688,10277229570,9813231865,12975,1277
16746492771688,16746596383166,10277242048,9813233156,12478,1291
16746596383166,16746698028062,10277255796,9813237564,13748,4408
16746698028062,16746799869533,10277270904,9813243204,15108,5640
16746799869533,16746902153522,10277284358,9813246062,13454,2858
16746902153522,16747004057261,10277295821,9813247656,11463,1594
16747004057261,16747106712974,10277309281,9813250361,13460,2705
16747106712974,16747211604937,10277321712,9813252956,12431,2595
16747211604937,16747313309813,10277334999,9813255618,13287,2662
16747313309813,16747414826799,10277350346,9813261657,15347,6039
16747414826799,16747517147970,10277362839,9813265010,12493,3353
16747517147970,16747623540788,10277374536,9813266511,11697,1501
16747623540788,16747725454683,10277387265,9813269053,12729,2542
16747725454683,16747829900786,10277402116,9813273370,14851,4317
16747829900786,16747931475915,10277417080,9813279076,14964,5706
16747931475915,16748033227747,10277430699,9813283935,13619,4859
16748033227747,16748135919325,10277443471,9813285541,12772,1606
16748135919325,16748238417747,10277456561,9813287275,13090,1734
16748238417747,16748340509596,10277469106,9813289960,12545,2685
16748340509596,16748442594192,10277482103,9813294199,12997,4239
16748442594192,16748544061690,10277495631,9813295907,13528,1708
16748544061690,16748646968174,10277510305,9813302070,14674,6163
16748646968174,16748749277131,10277526495,9813308107,16190,6037
16748749277131,16748852638001,10277542039,9813313716,15544,5609
16748852638001,16748954739047,10277555608,9813316161,13569,2445
16748954739047,16749056257138,10277570849,9813322206,15241,6045
16749056257138,16749157774428,10277582313,9813323494,11464,1288
16749157774428,16749259940769,10277593699,9813325120,11386,1626
16749259940769,16749361520049,10277613263,9813327292,19564,2172
16749361520049,16749463338433,10277625208,9813330543,11945,3251
16749463338433,16749565520319,10277640354,9813332925,15146,2382
16749565520319,16749667139453,10277652331,9813334825,11977,1900
16749667139453,16749769350172,10277666858,9813339074,14527,4249
16749769350172,16749871077652,10277683068,9813341393,16210,2319
16749871077652,16749972465229,10277699040,9813345295,15972,3902
16749972465229,16750074356127,10277713690,9813347739,14650,2444
16750074356127,16750176690102,10277728369,9813350456,14679,2717
16750176690102,16750278837964,10277744241,9813354816,15872,4360
16750278837964,16750380889710,10277760919,9813358813,16678,3997
16750380889710,16750482607167,10277776361,9813362936,15442,4123
16750482607167,16750584309114,10277790690,9813366401,14329,3465
16750584309114,16750685924020,10277803733,9813368395,13043,1994
16750685924020,16750791183189,10277817252,9813371429,13519,3034
16750791183189,16750898288218,10277830287,9813373256,13035,1827
16750898288218,16751000597959,10277845637,9813378190,15350,4934
16751000597959,16751104882429,10277860230,9813382977,14593,4787
16751104882429,16751206507273,10277875747,9813386133,15517,3156
16751206507273,16751308159944,10277891485,9813391161,15738,5028
16751308159944,16751410989393,10277904741,9813393873,13256,2712
16751410989393,16751514104556,10277920017,9813399605,15276,5732
16751514104556,16751618073345,10277936443,9813404354,16426,4749
16751618073345,16751719452308,10277956850,9813414012,20407,9658
16751719452308,16751820867329,10277975171,9813420554,18321,6542
16751820867329,16751922767722,10277990683,9813425601,15512,5047
16751922767722,16752024487697,10278007569,9813431023,16886,5422
16752024487697,16752126470666,10278024051,9813437669,16482,6646
16752126470666,16752228347409,10278038026,9813441946,13975,4277
16752228347409,16752329844692,10278053123,9813447455,15097,5509
16752329844692,16752431526396,10278068470,9813453184,15347,5729
16752431526396,16752533077983,10278085282,9813460259,16812,7075
16752533077983,16752634542640,10278104031,9813467030,18749,6771
16752634542640,16752736397560,10278120428,9813471854,16397,4824
16752736397560,16752837946322,10278137558,9813478657,17130,6803
16752837946322,16752939589021,10278154074,9813484667,16516,6010
16752939589021,16753041348376,10278172802,9813493050,18728,8383
16753041348376,16753142849998,10278189297,9813498670,16495,5620
16753142849998,16753244155560,10278208283,9813507642,18986,8972
16753244155560,16753345423836,10278228878,9813517699,20595,10057
16753345423836,16753446763442,10278246626,9813525221,17748,7522
16753446763442,16753548230427,10278263099,9813528957,16473,3736
16753548230427,16753649790842,10278278771,9813533676,15672,4719
16753649790842,16753751282655,10278296652,9813541365,17881,7689
16753751282655,16753852960781,10278313232,9813546536,16580,5171
16753852960781,16753954492840,10278330648,9813553615,17416,7079
16753954492840,16754056128475,10278347068,9813556383,16420,2768
16754056128475,16754157696939,10278362433,9813560534,15365,4151
16754157696939,16754259147952,10278378208,9813562202,15775,1668
16754259147952,16754360492984,10278394874,9813567213,16666,5011
16754360492984,16754461816216,10278412800,9813575219,17926,8006
16754461816216,16754563323358,10278432189,9813584261,19389,9042
16754563323358,16754664846153,10278452950,9813594260,20761,9999
16754664846153,16754766216964,10278473156,9813601589,20206,7329
16754766216964,16754867596330,10278491607,9813610343,18451,8754
16754867596330,16754968961819,10278507564,9813616531,15957,6188
16754968961819,16755070413176,10278523537,9813620814,15973,4283
16755070413176,16755172037151,10278539688,9813626091,16151,5277
16755172037151,16755273829520,10278555412,9813630624,15724,4533
16755273829520,16755375803598,10278571942,9813637042,16530,6418
16755375803598,16755477751777,10278587282,9813641849,15340,4807
16755477751777,16755580582746,10278600582,9813643598,13300,1749
16755580582746,16755683279291,10278614470,9813645830,13888,2232
16755683279291,16755784909829,10278630251,9813650564,15781,4734
16755784909829,16755887065149,10278645460,9813656177,15209,5613
16755887065149,16755988448729,10278665435,9813665492,19975,9315
16755988448729,16756089737058,10278684213,9813674213,18778,8721
16756089737058,16756191090822,10278698484,9813677290,14271,3077
16756191090822,16756292807898,10278709657,9813677987,11173,697
16756292807898,16756394501605,10278724368,9813681065,14711,3078
16756394501605,16756496268691,10278740807,9813687818,16439,6753
16756496268691,16756598052182,10278760631,9813696818,19824,9000
16756598052182,16756699464557,10278780181,9813704899,19550,8081
16756699464557,16756800875161,10278800450,9813714501,20269,9602
16756800875161,16756902228648,10278820192,9813723835,19742,9334
16756902228648,16757003413780,10278839851,9813732956,19659,9121
16757003413780,16757104866328,10278856929,9813740279,17078,7323
16757104866328,16757206066334,10278875088,9813747001,18159,6722
16757206066334,16757307398994,10278894097,9813755262,19009,8261
16757307398994,16757409052575,10278913662,9813763903,19565,8641
16757409052575,16757510441521,10278931727,9813770613,18065,6710
16757510441521,16757611933024,10278951919,9813779557,20192,8944
16757611933024,16757713503799,10278971630,9813788459,19711,8902
16757713503799,16757814831273,10278992078,9813797965,20448,9506
16757814831273,16757916327399,10279011193,9813805737,19115,7772
16757916327399,16758017729421,10279028485,9813811703,17292,5966
16758017729421,16758119370186,10279043504,9813814911,15019,3208
16758119370186,16758221680283,10279059307,9813821648,15803,6737
16758221680283,16758323657663,10279076925,9813828599,17618,6951
16758323657663,16758425987945,10279092024,9813833215,15099,4616
