sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
16983092185471,16983192707134,77.500000,10.000000,200,155,20
16983192707134,16983293321397,78.391960,9.045226,199,156,18
16983293321397,16983393873420,77.114428,8.955224,201,155,18
16983393873420,16983494458422,68.000000,12.000000,200,136,24
16983494458422,16983595015349,75.862069,10.344828,203,154,21
16983595015349,16983695555690,77.500000,9.500000,200,155,19
16983695555690,16983796133514,77.339901,9.852217,203,157,20
16983796133514,16983896614777,78.391960,10.050251,199,156,20
16983896614777,16983997128813,77.114428,10.447761,201,155,21
16983997128813,16984097650727,72.636816,10.447761,201,146,21
16984097650727,16984198213004,78.391960,8.542714,199,156,17
16984198213004,16984298754079,76.847291,9.852217,203,156,20
16984298754079,16984399331319,76.119403,9.452736,201,153,19
16984399331319,16984499939547,70.500000,10.000000,200,141,20
16984499939547,16984600446182,82.412060,5.025126,199,164,10
16984600446182,16984701022890,81.280788,5.418719,203,165,11
16984701022890,16984801522438,74.242424,5.050505,198,147,10
16984801522438,16984901912770,41.293532,5.970149,201,83,12
16984901912770,16985002326868,40.101523,8.629442,197,79,17
16985002326868,16985102715533,75.621891,9.950249,201,152,20
16985102715533,16985203110420,77.500000,10.500000,200,155,21
16985203110420,16985303496811,47.761194,10.945274,201,96,22
16985303496811,16985403899019,41.919192,9.090909,198,83,18
16985403899019,16985504324733,52.500000,7.000000,200,105,14
16985504324733,16985604860857,78.109453,9.452736,201,157,19
16985604860857,16985705386005,47.524752,9.405941,202,96,19
16985705386005,16985805785509,39.800995,8.955224,201,80,18
16985805785509,16985906256900,61.500000,8.500000,200,123,17
16985906256900,16986006882457,78.000000,10.000000,200,156,20
16986006882457,16986107456795,35.678392,8.040201,199,71,16
16986107456795,16986207841751,38.613861,7.425743,202,78,15
16986207841751,16986308346923,72.361809,10.050251,199,144,20
16986308346923,16986408845789,64.356436,11.386139,202,130,23
16986408845789,16986509252890,31.472081,9.137056,197,62,18
16986509252890,16986609680657,45.500000,6.500000,200,91,13
16986609680657,16986710106359,75.862069,9.852217,203,154,20
16986710106359,16986810510004,55.778894,9.045226,199,111,18
16986810510004,16986910889298,38.500000,10.000000,200,77,20
16986910889298,16987011422171,55.223881,7.960199,201,111,16
16987011422171,16987111903089,76.500000,8.500000,200,153,17
16987111903089,16987212445352,45.728643,9.547739,199,91,19
16987212445352,16987312857523,38.118812,7.920792,202,77,16
16987312857523,16987413251646,65.656566,9.090909,198,130,18
16987413251646,16987513823452,73.134328,9.950249,201,147,20
16987513823452,16987614332604,39.393939,10.101010,198,78,20
16987614332604,16987714734522,38.118812,8.910891,202,77,18
16987714734522,16987815235222,72.222222,9.595960,198,143,19
16987815235222,16987915802299,72.000000,9.500000,200,144,19
16987915802299,16988016167683,38.118812,9.405941,202,77,19
16988016167683,16988116565044,39.898990,7.575758,198,79,15
16988116565044,16988217052497,79.802956,9.852217,203,162,20
16988217052497,16988317667959,83.500000,10.000000,200,167,20
16988317667959,16988418186680,81.000000,9.500000,200,162,19
16988418186680,16988518792577,75.247525,9.405941,202,152,19
16988518792577,16988619443063,82.089552,9.950249,201,165,20
16988619443063,16988720069083,82.914573,9.547739,199,165,19
16988720069083,16988820681638,83.084577,9.950249,201,167,20
16988820681638,16988921346972,82.587065,9.950249,201,166,20
16988921346972,16989021981678,81.592040,9.950249,201,164,20
16989021981678,16989122532495,79.292929,9.595960,198,157,19
