sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
16983092185471,16983192707134,nvme0n1p8,192256,98435072,933.878302,0,0.686419,69
16983192707134,16983293321397,nvme0n1p8,179712,92012544,872.142750,0,0.576459,58
16983293321397,16983393873420,nvme0n1p8,176896,90570752,859.008078,1,0.586761,59
16983393873420,16983494458422,nvme0n1p8,186880,95682560,907.192903,0,0.586569,59
16983494458422,16983595015349,nvme0n1p8,187648,96075776,911.175418,1,0.596677,60
16983595015349,16983695555690,nvme0n1p8,193536,99090432,939.921220,1,0.537098,54
16983695555690,16983796133514,nvme0n1p8,191744,98172928,930.871203,1,0.546840,55
16983796133514,16983896614777,nvme0n1p8,186880,95682560,908.129509,0,0.597126,60
16983896614777,16983997128813,nvme0n1p8,187392,95944704,910.320624,1,0.596932,60
16983997128813,16984097650727,nvme0n1p8,185856,95158272,902.788222,1,0.586937,59
16984097650727,16984198213004,nvme0n1p8,190976,97779712,927.286084,0,0.596645,60
16984198213004,16984298754079,nvme0n1p8,198400,101580800,963.536545,1,0.556986,56
16984298754079,16984399331319,nvme0n1p8,200960,102891520,975.618341,0,0.517016,52
16984399331319,16984499939547,nvme0n1p8,186880,95682560,906.983473,0,0.616252,62
16984499939547,16984600446182,nvme0n1p8,184576,94502912,896.706969,0,0.596976,60
16984600446182,16984701022890,nvme0n1p8,191744,98172928,930.881532,1,0.576674,58
16984701022890,16984801522438,nvme0n1p8,185856,95158272,902.989136,0,0.577117,58
16984801522438,16984901912770,nvme0n1p8,165632,84803584,805.605464,1,0.527939,53
16984901912770,16985002326868,nvme0n1p8,155136,79429632,754.376143,1,0.517856,52
16985002326868,16985102715533,nvme0n1p8,180224,92274688,876.592990,1,0.587716,59
16985102715533,16985203110420,nvme0n1p8,187392,95944704,911.400996,1,0.587679,59
16985203110420,16985303496811,nvme0n1p8,180736,92536832,879.103224,1,0.597691,60
16985303496811,16985403899019,nvme0n1p8,194560,99614720,946.194331,0,0.627476,63
16985403899019,16985504324733,nvme0n1p8,200448,102629376,974.600987,0,0.637287,64
16985504324733,16985604860857,nvme0n1p8,216832,111017984,1053.104056,0,0.676374,68
16985604860857,16985705386005,nvme0n1p8,206080,105512960,1000.993304,0,0.576970,58
16985705386005,16985805785509,nvme0n1p8,208384,106692608,1013.451222,1,0.547811,55
16985805785509,16985906256900,nvme0n1p8,211968,108527616,1030.143994,0,0.636997,64
16985906256900,16986006882457,nvme0n1p8,214272,109707264,1039.745797,1,0.665835,67
16986006882457,16986107456795,nvme0n1p8,206336,105644032,1001.746589,1,0.536916,54
16986107456795,16986207841751,nvme0n1p8,204032,104464384,992.429583,1,0.547891,55
16986207841751,16986308346923,nvme0n1p8,215552,110362624,1047.209789,0,0.666632,67
16986308346923,16986408845789,nvme0n1p8,212480,108789760,1032.349957,0,0.666674,67
16986408845789,16986509252890,nvme0n1p8,194560,99614720,946.148221,1,0.607527,61
16986509252890,16986609680657,nvme0n1p8,203776,104333312,990.761848,0,0.587487,59
16986609680657,16986710106359,nvme0n1p8,236288,120979456,1148.859283,2,0.617372,62
16986710106359,16986810510004,nvme0n1p8,219136,112197632,1065.698362,1,0.557749,56
16986810510004,16986910889298,nvme0n1p8,208896,106954752,1016.145820,1,0.577808,58
16986910889298,16987011422171,nvme0n1p8,206592,105775104,1003.403136,0,0.656502,66
16987011422171,16987111903089,nvme0n1p8,215296,110231552,1046.218547,0,0.666793,67
16987111903089,16987212445352,nvme0n1p8,201216,103022592,977.201001,0,0.636548,64
16987212445352,16987312857523,nvme0n1p8,193792,99221504,942.365841,1,0.617455,62
16987312857523,16987413251646,nvme0n1p8,208128,106561536,1012.260449,1,0.677330,68
16987413251646,16987513823452,nvme0n1p8,218112,111673344,1058.944890,0,0.696020,70
16987513823452,16987614332604,nvme0n1p8,200704,102760448,975.035587,1,0.606910,61
