sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
16983092185471,16983192707134,10338626669,9864999012,45568,44101
16983192707134,16983293321397,10338674341,9865042007,47672,42995
16983293321397,16983393873420,10338720622,9865081021,46281,39014
16983393873420,16983494458422,10338755857,9865115597,35235,34576
16983494458422,16983595015349,10338801109,9865160351,45252,44754
16983595015349,16983695555690,10338846430,9865204143,45321,43792
16983695555690,16983796133514,10338894714,9865251711,48284,47568
16983796133514,16983896614777,10338942078,9865297827,47364,46116
16983896614777,16983997128813,10338989444,9865344623,47366,46796
16983997128813,16984097650727,10339028704,9865382188,39260,37565
16984097650727,16984198213004,10339076822,9865423486,48118,41298
16984198213004,16984298754079,10339123788,9865469675,46966,46189
16984298754079,16984399331319,10339167181,9865509259,43393,39584
16984399331319,16984499939547,10339202985,9865542518,35804,33259
16984499939547,16984600446182,10339260641,9865573530,57656,31012
16984600446182,16984701022890,10339318772,9865603405,58131,29875
16984701022890,16984801522438,10339357665,9865618996,38893,15591
16984801522438,16984901912770,10339379955,9865627169,22290,8173
16984901912770,16985002326868,10339402872,9865640444,22917,13275
16985002326868,16985102715533,10339445912,9865682204,43040,41760
16985102715533,16985203110420,10339493182,9865728800,47270,46596
16985203110420,16985303496811,10339515510,9865747608,22328,18808
16985303496811,16985403899019,10339536302,9865760594,20792,12986
16985403899019,16985504324733,10339558137,9865774834,21835,14240
16985504324733,16985604860857,10339607220,9865820611,49083,45777
16985604860857,16985705386005,10339629578,9865835607,22358,14996
16985705386005,16985805785509,10339649288,9865848853,19710,13246
16985805785509,16985906256900,10339676391,9865871233,27103,22380
16985906256900,16986006882457,10339724599,9865917515,48208,46282
16986006882457,16986107456795,10339743568,9865927516,18969,10001
16986107456795,16986207841751,10339761934,9865938196,18366,10680
16986207841751,16986308346923,10339799936,9865975106,38002,36910
16986308346923,16986408845789,10339831060,9866004305,31124,29199
16986408845789,16986509252890,10339849952,9866016155,18892,11850
16986509252890,16986609680657,10339869751,9866027377,19799,11222
16986609680657,16986710106359,10339914742,9866070001,44991,42624
16986710106359,16986810510004,10339939370,9866087418,24628,17417
16986810510004,16986910889298,10339958814,9866101717,19444,14299
16986910889298,16987011422171,10339982216,9866119867,23402,18150
16987011422171,16987111903089,10340028798,9866158254,46582,38387
16987111903089,16987212445352,10340051100,9866172532,22302,14278
16987212445352,16987312857523,10340070861,9866184599,19761,12067
16987312857523,16987413251646,10340101050,9866209765,30189,25166
16987413251646,16987513823452,10340141746,9866247610,40696,37845
16987513823452,16987614332604,10340162141,9866261481,20395,13871
16987614332604,16987714734522,10340180708,9866274715,18567,13234
16987714734522,16987815235222,10340218670,9866309754,37962,35039
16987815235222,16987915802299,10340256721,9866341538,38051,31784
16987915802299,16988016167683,10340276949,9866354454,20228,12916
16988016167683,16988116565044,10340295557,9866366288,18608,11834
16988116565044,16988217052497,10340351303,9866421435,55746,55147
16988217052497,16988317667959,10340412462,9866481573,61159,60138
16988317667959,16988418186680,10340466814,9866533618,54352,52045
16988418186680,16988518792577,10340508769,9866572059,41955,38441
16988518792577,16988619443063,10340566948,9866628965,58179,56906
16988619443063,16988720069083,10340625448,9866685870,58500,56905
16988720069083,16988820681638,10340686993,9866746822,61545,60952
16988820681638,16988921346972,10340746389,9866805813,59396,58991
16988921346972,16989021981678,10340804736,9866862899,58347,57086
16989021981678,16989122532495,10340853075,9866909449,48339,46550
16989122532495,16989223219054,10340911283,9866967107,58208,57658
16989223219054,16989323872287,10340962053,9867016539,50770,49432
16989323872287,16989424418616,10341000187,9867048515,38134,31976
16989424418616,16989524943659,10341033303,9867077786,33116,29271
16989524943659,16989625432045,10341090944,9867135297,57641,57511
16989625432045,16989726106220,10341149991,9867193833,59047,58536
16989726106220,16989826725625,10341211931,9867255192,61940,61359
16989826725625,16989927392154,10341264209,9867305750,52278,50558
16989927392154,16990028082374,10341320513,9867360490,56304,54740
16990028082374,16990128703010,10341370258,9867406901,49745,46411
