run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,distance_evaluated_count,duplicate_vector_count,final_result_count,recall
run_1777450405364,4,4,16,0,2,16991516359904,16991809637547,293.278000,252.975000,40.303000,0.000000,0.000000,3.977489,0.000000,0.050390,1.052281,24,172,704512,1286,1258,28,10,0.600000
run_1777450405364,4,4,16,1,3,16991516407951,16991800802933,284.395000,244.311000,40.084000,0.000000,0.000000,3.940095,0.000000,0.033043,0.246486,24,135,552960,978,885,93,10,1.000000
run_1777450405364,4,4,16,2,1,16991516590522,16991825775155,309.184000,262.227000,46.957000,0.000000,0.000000,4.567881,0.000000,0.052147,0.900531,24,152,622592,1100,1021,79,10,1.000000
run_1777450405364,4,4,16,3,0,16991518007866,16991800474040,282.466000,236.973000,45.493000,0.000000,0.000000,6.171057,0.000000,0.022909,0.073329,24,102,417792,706,521,185,10,1.000000
run_1777450405364,4,4,16,4,0,16991800474279,16991817902747,17.429000,11.490000,5.939000,0.000000,0.000000,4.221767,0.000000,0.049488,1.054724,24,177,724992,1318,1295,23,10,0.500000
run_1777450405364,4,4,16,5,3,16991800803368,16991815564411,14.761000,11.052000,3.709000,0.000000,0.000000,2.027974,0.000000,0.037913,0.481931,24,104,425984,699,632,67,10,1.000000
run_1777450405364,4,4,16,6,2,16991809637931,16991823404985,13.767000,8.932000,4.835000,0.000000,0.000000,2.872162,0.000000,0.052948,0.562637,24,112,458752,786,678,108,10,1.000000
run_1777450405364,4,4,16,7,3,16991815564498,16991833392108,17.828000,12.317000,5.511000,0.000000,0.000000,3.350202,0.000000,0.051518,1.124776,24,183,749568,1364,1299,65,10,1.000000
run_1777450405364,4,4,16,8,0,16991817902867,16991837012293,19.109000,14.792000,4.317000,0.000000,0.000000,2.318210,0.000000,0.050305,0.775840,24,139,569344,993,894,99,10,1.000000
run_1777450405364,4,4,16,9,2,16991823405039,16991843258030,19.853000,14.941000,4.912000,0.000000,0.000000,2.497911,0.000000,0.054282,0.803728,24,142,581632,1032,937,95,10,1.000000
run_1777450405364,4,4,16,10,1,16991825775414,16991848717001,22.941000,17.041000,5.900000,0.000000,0.000000,3.640841,0.000000,0.055292,1.231246,24,199,815104,1468,1432,36,10,0.500000
