sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
16820344518419,16820445216044,74.626866,9.452736,201,150,19
16820445216044,16820545625519,74.500000,10.000000,200,149,20
16820545625519,16820646108879,77.000000,10.000000,200,154,20
16820646108879,16820746584566,76.500000,10.000000,200,153,20
16820746584566,16820846988154,78.109453,9.950249,201,157,20
16820846988154,16820947415543,77.227723,10.396040,202,156,21
16820947415543,16821048017595,78.391960,10.552764,199,156,21
16821048017595,16821148528711,74.371859,10.552764,199,148,21
16821148528711,16821249108402,73.039216,8.823529,204,149,18
16821249108402,16821349647559,77.386935,10.050251,199,154,20
16821349647559,16821450200166,78.391960,10.050251,199,156,20
16821450200166,16821550714092,77.500000,10.000000,200,155,20
16821550714092,16821651372037,76.732673,10.396040,202,155,21
16821651372037,16821751987660,76.237624,10.396040,202,154,21
16821751987660,16821852502576,65.656566,10.606061,198,130,21
16821852502576,16821952887230,36.500000,11.000000,200,73,22
16821952887230,16822053275400,41.708543,10.552764,199,83,21
16822053275400,16822153676463,53.500000,6.500000,200,107,13
16822153676463,16822254157504,74.257426,8.415842,202,150,17
16822254157504,16822354800295,76.616915,9.950249,201,154,20
16822354800295,16822455333061,37.373737,10.606061,198,74,21
16822455333061,16822555741268,37.055838,10.152284,197,73,20
16822555741268,16822656149458,42.288557,6.965174,201,85,14
16822656149458,16822756584548,74.874372,9.547739,199,149,19
16822756584548,16822857160591,72.636816,9.452736,201,146,19
16822857160591,16822957705927,27.272727,7.070707,198,54,14
16822957705927,16823058094600,35.323383,9.452736,201,71,19
16823058094600,16823158508392,38.308458,7.960199,201,77,16
16823158508392,16823259031500,71.859296,9.045226,199,143,18
16823259031500,16823359547414,71.782178,9.405941,202,145,19
16823359547414,16823460019306,43.216080,9.045226,199,86,18
16823460019306,16823560419370,33.838384,9.595960,198,67,19
16823560419370,16823660811684,34.010152,6.598985,197,67,13
16823660811684,16823761343999,68.965517,8.374384,203,140,17
16823761343999,16823861855355,75.500000,9.000000,200,151,18
16823861855355,16823962382539,44.000000,9.500000,200,88,19
16823962382539,16824062786885,32.323232,9.090909,198,64,18
16824062786885,16824163194215,39.698492,7.035176,199,79,14
16824163194215,16824263606270,72.000000,9.500000,200,144,19
16824263606270,16824364151046,72.222222,9.595960,198,143,19
16824364151046,16824464566409,52.000000,10.000000,200,104,20
16824464566409,16824564988225,33.168317,9.405941,202,67,19
16824564988225,16824665406421,32.307692,8.717949,195,63,17
16824665406421,16824765758176,52.736318,6.467662,201,106,13
16824765758176,16824866220830,75.500000,10.000000,200,151,20
16824866220830,16824966634218,62.121212,8.585859,198,123,17
16824966634218,16825067016841,35.323383,9.452736,201,71,19
16825067016841,16825167415660,37.878788,10.101010,198,75,20
16825167415660,16825267812719,56.281407,7.537688,199,112,15
16825267812719,16825368236338,80.597015,9.950249,201,162,20
16825368236338,16825468861492,81.500000,10.000000,200,163,20
16825468861492,16825569400169,82.500000,9.500000,200,165,19
16825569400169,16825669922355,81.909548,9.547739,199,163,19
16825669922355,16825770326697,81.500000,9.500000,200,163,19
16825770326697,16825870785469,82.587065,9.950249,201,166,20
16825870785469,16825971342026,81.500000,9.500000,200,163,19
16825971342026,16826071884657,81.909548,10.050251,199,163,20
16826071884657,16826172464187,79.207921,9.405941,202,160,19
16826172464187,16826273136505,75.500000,9.500000,200,151,19
16826273136505,16826373799180,77.611940,8.955224,201,156,18
16826373799180,16826474448653,79.899497,9.547739,199,159,19
16826474448653,16826575137125,78.606965,9.452736,201,158,19
16826575137125,16826675785308,77.560976,8.292683,205,159,17
16826675785308,16826776354039,78.500000,9.000000,200,157,18
16826776354039,16826876986123,79.000000,9.000000,200,158,18
16826876986123,16826977541080,79.104478,9.950249,201,159,20
16826977541080,16827078090482,82.914573,10.050251,199,165,20
16827078090482,16827178717391,81.188119,10.396040,202,164,21
16827178717391,16827279262612,78.172589,8.629442,197,154,17
16827279262612,16827379656049,75.369458,9.359606,203,153,19
16827379656049,16827480264362,77.500000,10.000000,200,155,20
16827480264362,16827580661312,78.894472,10.050251,199,157,20
16827580661312,16827681280048,77.000000,10.000000,200,154,20
16827681280048,16827781877992,81.500000,10.500000,200,163,21
16827781877992,16827882527211,82.914573,10.050251,199,165,20
16827882527211,16827983149761,83.000000,10.000000,200,166,20
16827983149761,16828083771610,83.582090,9.452736,201,168,19
16828083771610,16828184399107,82.089552,9.452736,201,165,19
16828184399107,16828284970784,68.159204,5.970149,201,137,12
16828284970784,16828385402031,81.000000,9.500000,200,162,19
16828385402031,16828486041076,78.817734,9.359606,203,160,19
16828486041076,16828586580892,73.500000,10.000000,200,147,20
16828586580892,16828687119756,62.686567,7.960199,201,126,16
16828687119756,16828787772387,68.844221,9.547739,199,137,19
16828787772387,16828888346885,66.666667,8.955224,201,134,18
16828888346885,16828989507387,63.106796,8.737864,206,130,18
16828989507387,16829091129339,54.228856,7.960199,201,109,16
16829091129339,16829192409035,58.823529,7.843137,204,120,16
16829192409035,16829293850775,45.226131,6.030151,199,90,12
16829293850775,16829395183920,58.415842,8.910891,202,118,18
16829395183920,16829496456069,59.900990,9.405941,202,121,19
16829496456069,16829597973836,66.336634,9.405941,202,134,19
16829597973836,16829699293520,62.068966,6.403941,203,126,13
16829699293520,16829800658643,62.745098,5.392157,204,128,11
16829800658643,16829901978482,66.169154,7.960199,201,133,16
16829901978482,16830003057726,60.396040,8.910891,202,122,18
16830003057726,16830104267421,57.213930,7.960199,201,115,16
16830104267421,16830205458685,53.398058,7.766990,206,110,16
16830205458685,16830306609133,52.238806,7.960199,201,105,16
16830306609133,16830407938809,59.701493,5.970149,201,120,12
16830407938809,16830509317465,58.620690,6.896552,203,119,14
16830509317465,16830610704392,59.701493,7.960199,201,120,16
16830610704392,16830712061870,63.235294,8.823529,204,129,18
