sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
16820344518419,16820445216044,nvme0n1p8,190976,97779712,926.039715,0,0.655428,66
16820445216044,16820545625519,nvme0n1p8,185600,95027200,902.554266,1,0.587594,59
16820545625519,16820646108879,nvme0n1p8,188416,96468992,915.574479,1,0.607066,61
16820646108879,16820746584566,nvme0n1p8,189184,96862208,919.376645,0,0.587207,59
16820746584566,16820846988154,nvme0n1p8,187904,96206848,913.811965,1,0.597588,60
16820846988154,16820947415543,nvme0n1p8,211456,108265472,1028.105988,1,0.547659,55
16820947415543,16821048017595,nvme0n1p8,214528,109838336,1041.231246,1,0.656050,66
16821048017595,16821148528711,nvme0n1p8,211200,108134400,1026.005920,0,0.676542,68
16821148528711,16821249108402,nvme0n1p8,213248,109182976,1035.248756,1,0.656196,66
16821249108402,16821349647559,nvme0n1p8,219648,112459776,1066.748551,1,0.686300,69
16821349647559,16821450200166,nvme0n1p8,231424,118489088,1123.789859,0,0.646428,65
16821450200166,16821550714092,nvme0n1p8,237568,121634816,1154.068940,0,0.616830,62
16821550714092,16821651372037,nvme0n1p8,218880,112066560,1061.764176,1,0.685490,69
16821651372037,16821751987660,nvme0n1p8,219392,112328704,1064.695490,1,0.675839,68
16821751987660,16821852502576,nvme0n1p8,212224,108658688,1030.941517,1,0.646670,65
16821852502576,16821952887230,nvme0n1p8,193280,98959360,940.133738,0,0.607663,61
16821952887230,16822053275400,nvme0n1p8,194048,99352576,943.836311,0,0.607641,61
16822053275400,16822153676463,nvme0n1p8,190720,97648640,927.530020,1,0.607563,61
16822153676463,16822254157504,nvme0n1p8,203008,103940096,986.504509,0,0.656840,66
16822254157504,16822354800295,nvme0n1p8,215296,110231552,1044.535818,0,0.675657,68
16822354800295,16822455333061,nvme0n1p8,189952,97255424,922.584782,2,0.596820,60
16822455333061,16822555741268,nvme0n1p8,187136,95813632,910.035173,0,0.617479,62
16822555741268,16822656149458,nvme0n1p8,193792,99221504,942.403204,2,0.617480,62
16822656149458,16822756584548,nvme0n1p8,224512,114950144,1091.500988,1,0.637227,64
16822756584548,16822857160591,nvme0n1p8,231424,118489088,1123.527996,1,0.596564,60
16822857160591,16822957705927,nvme0n1p8,186624,95551488,906.307579,0,0.596746,60
16822957705927,16823058094600,nvme0n1p8,189952,97255424,923.909015,1,0.607638,61
16823058094600,16823158508392,nvme0n1p8,206080,105512960,1002.103376,1,0.517857,52
16823158508392,16823259031500,nvme0n1p8,225024,115212288,1093.032261,0,0.626722,63
16823259031500,16823359547414,nvme0n1p8,209920,107479040,1019.739024,1,0.656612,66
16823359547414,16823460019306,nvme0n1p8,197120,100925440,957.979372,0,0.607135,61
16823460019306,16823560419370,nvme0n1p8,190720,97648640,927.539249,1,0.597609,60
16823560419370,16823660811684,nvme0n1p8,196608,100663296,956.248503,1,0.557812,56
16823660811684,16823761343999,nvme0n1p8,231168,118358016,1122.773309,1,0.606770,61
16823761343999,16823861855355,nvme0n1p8,236800,121241600,1150.367527,1,0.606897,61
16823861855355,16823962382539,nvme0n1p8,201984,103415808,981.077914,1,0.586906,59
16823962382539,16824062786885,nvme0n1p8,192000,98304000,933.724522,2,0.607543,61
16824062786885,16824163194215,nvme0n1p8,196864,100794368,957.350425,0,0.617485,62
16824163194215,16824263606270,nvme0n1p8,215296,110231552,1046.936048,0,0.687168,69
16824263606270,16824364151046,nvme0n1p8,214272,109707264,1040.581164,0,0.676316,68
16824364151046,16824464566409,nvme0n1p8,198912,101842944,967.232474,1,0.637353,64
16824464566409,16824564988225,nvme0n1p8,193024,98828288,938.541084,1,0.617396,62
16824564988225,16824665406421,nvme0n1p8,193792,99221504,942.309300,1,0.607460,61
16824665406421,16824765758176,nvme0n1p8,210688,107872256,1025.144005,1,0.617827,62
16824765758176,16824866220830,nvme0n1p8,218624,111935488,1062.583913,0,0.706730,71
16824866220830,16824966634218,nvme0n1p8,207872,106430464,1010.821386,0,0.667242,67
