sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
16820344518419,16820445216044,212063,167600128,158531584,0,97779712,97046528
16820445216044,16820545625519,212063,262627328,252882944,0,95027200,94351360
16820545625519,16820646108879,212063,359096320,348618752,0,96468992,95735808
16820646108879,16820746584566,212063,455827456,444579840,0,96731136,95961088
16820746584566,16820846988154,212063,552165376,540221440,0,96337920,95641600
16820846988154,16820947415543,212063,660692992,647798784,0,108527616,107577344
16820947415543,16821048017595,212063,770400256,756686848,0,109707264,108888064
16821048017595,16821148528711,212063,878534656,863928320,0,108134400,107241472
16821148528711,16821249108402,212063,987717632,972398592,0,109182976,108470272
16821249108402,16821349647559,212063,1100177408,1083990016,0,112459776,111591424
16821349647559,16821450200166,212063,1218666496,1201479680,0,118489088,117489664
16821450200166,16821550714092,212063,1340170240,1322090496,0,121503744,120610816
16821550714092,16821651372037,212063,1452367872,1433419776,0,112197632,111329280
16821651372037,16821751987660,212063,1564696576,1544826880,0,112328704,111407104
16821751987660,16821852502576,212063,1673224192,1652547584,0,108527616,107720704
16821852502576,16821952887230,212063,1772183552,1750687744,0,98959360,98140160
16821952887230,16822053275400,212063,1871536128,1849229312,0,99352576,98541568
16822053275400,16822153676463,212063,1969315840,1946271744,0,97779712,97042432
16822153676463,16822254157504,212063,2073255936,2049400832,0,103940096,103129088
16822254157504,16822354800295,212063,2183487488,2158764032,0,110231552,109363200
16822354800295,16822455333061,212063,2280742912,2255323136,0,97255424,96559104
16822455333061,16822555741268,212063,2376425472,2350264320,0,95682560,94941184
16822555741268,16822656149458,212063,2475778048,2448875520,0,99352576,98611200
16822656149458,16822756584548,212063,2590859264,2562998272,0,115081216,114122752
16822756584548,16822857160591,212063,2709217280,2680553472,0,118358016,117555200
16822857160591,16822957705927,212063,2804506624,2775097344,0,95289344,94543872
16822957705927,16823058094600,212063,2901893120,2871738368,0,97386496,96641024
16823058094600,16823158508392,212063,3007537152,2976473088,0,105644032,104734720
16823158508392,16823259031500,212063,3122618368,3090620416,0,115081216,114147328
16823259031500,16823359547414,212063,3230228480,3197440000,0,107610112,106819584
16823359547414,16823460019306,212063,3331022848,3297509376,0,100794368,100069376
16823460019306,16823560419370,212063,3428671488,3394412544,0,97648640,96903168
16823560419370,16823660811684,212063,3529334784,3494313984,0,100663296,99901440
16823660811684,16823761343999,212063,3647954944,3611885568,0,118620160,117571584
16823761343999,16823861855355,212063,3769196544,3732185088,0,121241600,120299520
16823861855355,16823962382539,212063,3872350208,3834613760,0,103153664,102428672
16823962382539,16824062786885,212063,3970785280,3932229632,0,98435072,97615872
16824062786885,16824163194215,212063,4071317504,4032065536,0,100532224,99835904
16824163194215,16824263606270,212063,4181811200,4141604864,0,110493696,109539328
16824263606270,16824364151046,212063,4291125248,4250148864,0,109314048,108544000
16824364151046,16824464566409,212063,4393230336,4351492096,0,102105088,101343232
16824464566409,16824564988225,212063,4492058624,4449566720,0,98828288,98074624
16824564988225,16824665406421,212063,4591411200,4548075520,0,99352576,98508800
16824665406421,16824765758176,212063,4699283456,4655079424,0,107872256,107003904
16824765758176,16824866220830,212063,4811087872,4766089216,0,111804416,111009792
16824866220830,16824966634218,212063,4917387264,4871553024,0,106299392,105463808
16824966634218,16825067016841,212063,5015298048,4968726528,0,97910784,97173504
16825067016841,16825167415660,212063,5115305984,5067964416,0,100007936,99237888
16825167415660,16825267812719,212063,5167693824,5120110592,0,52387840,52146176
16825267812719,16825368236338,212063,5167693824,5120110592,0,0,0
16825368236338,16825468861492,212063,5167693824,5120110592,0,0,0
16825468861492,16825569400169,212063,5167693824,5120110592,0,0,0
16825569400169,16825669922355,212063,5167693824,5120110592,0,0,0
16825669922355,16825770326697,212063,5167693824,5120110592,0,0,0
16825770326697,16825870785469,212063,5167693824,5120110592,0,0,0
16825870785469,16825971342026,212063,5167693824,5120110592,0,0,0
16825971342026,16826071884657,212063,5167693824,5120110592,0,0,0
16826071884657,16826172464187,212063,5167693824,5120110592,0,0,0
16826172464187,16826273136505,212063,5167693824,5120110592,0,0,0
16826273136505,16826373799180,212063,5167693824,5120110592,0,0,0
16826373799180,16826474448653,212063,5167693824,5120110592,0,0,0
16826474448653,16826575137125,212063,5167693824,5120110592,0,0,0
16826575137125,16826675785308,212063,5167693824,5120110592,0,0,0
16826675785308,16826776354039,212063,5167693824,5120110592,0,0,0
16826776354039,16826876986123,212063,5167693824,5120110592,0,0,0
16826876986123,16826977541080,212063,5167693824,5120110592,0,0,0
16826977541080,16827078090482,212063,5167693824,5120110592,0,0,0
16827078090482,16827178717391,212063,5167726592,5120114688,0,32768,4096
16827178717391,16827279262612,212063,5167726592,5120114688,0,0,0
16827279262612,16827379656049,212063,5167726592,5120114688,0,0,0
16827379656049,16827480264362,212063,5167726592,5120114688,0,0,0
16827480264362,16827580661312,212063,5428281344,5120114688,0,260554752,0
16827580661312,16827681280048,212063,5726076928,5120114688,0,297795584,0
16827681280048,16827781877992,212063,5990207488,5120114688,0,264130560,0
16827781877992,16827882527211,212063,6039166976,5120114688,0,48959488,0
16827882527211,16827983149761,212063,6225534976,5120114688,0,186368000,0
16827983149761,16828083771610,212063,6239674368,5120114688,0,14139392,0
16828083771610,16828184399107,212063,6252781568,5120118784,0,13107200,4096
16828184399107,16828284970784,212063,6254919680,5120118784,4096,2138112,0
16828284970784,16828385402031,212063,6254919680,5120118784,4096,0,0
16828385402031,16828486041076,212063,6254919680,5120118784,1358786560,0,0
16828486041076,16828586580892,212063,6260080640,5125242880,1361911808,5160960,5124096
16828586580892,16828687119756,212063,6260080640,5125242880,1361911808,0,0
16828687119756,16828787772387,212063,6260080640,5125242880,1361911808,0,0
16828787772387,16828888346885,212063,6260703232,5125242880,1361911808,622592,0
16828888346885,16828989507387,212063,6270779392,5125242880,1361911808,10076160,0
16828989507387,16829091129339,212063,6279634944,5125242880,1361911808,8855552,0
16829091129339,16829192409035,212063,6289879040,5125242880,1361911808,10244096,0
16829192409035,16829293850775,212063,6296997888,5125242880,1361911808,7118848,0
16829293850775,16829395183920,212063,6307471360,5125242880,1361911808,10473472,0
16829395183920,16829496456069,212063,6316306432,5125242880,1361911808,8835072,0
16829496456069,16829597973836,212063,6326439936,5125242880,1361911808,10133504,0
16829597973836,16829699293520,212063,6335754240,5125242880,1361911808,9314304,0
16829699293520,16829800658643,212063,6344962048,5125242880,1361911808,9207808,0
16829800658643,16829901978482,212063,6354747392,5125242880,1361911808,9785344,0
16829901978482,16830003057726,212063,6363963392,5125242880,1361911808,9216000,0
16830003057726,16830104267421,212063,6373249024,5125242880,1361911808,9285632,0
16830104267421,16830205458685,212063,6382690304,5125242880,1361911808,9441280,0
16830205458685,16830306609133,212063,6392455168,5125242880,1361911808,9764864,0
16830306609133,16830407938809,212063,6402043904,5125242880,1361911808,9588736,0
16830407938809,16830509317465,212063,6410817536,5125242880,1361911808,8773632,0
16830509317465,16830610704392,212063,6420582400,5125242880,1361911808,9764864,0
16830610704392,16830712061870,212063,6429540352,5125242880,1361911808,8957952,0
16830712061870,16830813552026,212063,6438567936,5125242880,1361911808,9027584,0
16830813552026,16830915060854,212063,6447824896,5125242880,1361911808,9256960,0
16830915060854,16831016415117,212063,6458294272,5125242880,1361911808,10469376,0
16831016415117,16831117713387,212063,6469226496,5125242880,1361911808,10932224,0
16831117713387,16831218922475,212063,6479532032,5125242880,1361911808,10305536,0
16831218922475,16831320234146,212063,6488731648,5125242880,1361911808,9199616,0
16831320234146,16831421581795,212063,6496555008,5125242880,1361911808,7823360,0
16831421581795,16831522869787,212063,6508429312,5125242880,1361911808,11874304,0
16831522869787,16831624193304,212063,6518616064,5125242880,1361911808,10186752,0
16831624193304,16831725474505,212063,6526382080,5125242880,1361911808,7766016,0
16831725474505,16831826903828,212063,6535917568,5125242880,1361911808,9535488,0
16831826903828,16831928321066,212063,6543441920,5125242880,1361911808,7524352,0
