sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
16652974037974,16653074492290,71.144279,10.945274,201,143,22
16653074492290,16653175096043,73.000000,10.000000,200,146,20
16653175096043,16653275743038,71.144279,9.452736,201,143,19
16653275743038,16653376203676,73.134328,9.950249,201,147,20
16653376203676,16653476604934,73.000000,10.000000,200,146,20
16653476604934,16653576985434,74.500000,9.500000,200,149,19
16653576985434,16653677596024,73.000000,10.000000,200,146,20
16653677596024,16653778195258,75.124378,9.452736,201,151,19
16653778195258,16653878754144,77.000000,10.500000,200,154,21
16653878754144,16653979304459,71.859296,9.045226,199,143,18
16653979304459,16654079735590,69.000000,10.000000,200,138,20
16654079735590,16654180315602,72.195122,9.756098,205,148,20
16654180315602,16654280901861,72.000000,9.500000,200,144,19
16654280901861,16654381288661,74.874372,10.050251,199,149,20
16654381288661,16654481850602,74.626866,9.950249,201,150,20
16654481850602,16654582419846,47.524752,9.405941,202,96,19
16654582419846,16654682826831,41.414141,8.080808,198,82,16
16654682826831,16654783245449,55.721393,7.462687,201,112,15
16654783245449,16654883688658,80.500000,6.000000,200,161,12
16654883688658,16654984214803,44.776119,7.462687,201,90,15
16654984214803,16655084622122,38.190955,8.542714,199,76,17
16655084622122,16655185016869,61.194030,4.477612,201,123,9
16655185016869,16655285569018,69.346734,7.537688,199,138,15
16655285569018,16655385975922,41.500000,8.000000,200,83,16
16655385975922,16655486417362,35.643564,7.425743,202,72,15
16655486417362,16655586850590,57.213930,8.457711,201,115,17
16655586850590,16655687359475,75.879397,10.050251,199,151,20
16655687359475,16655787882630,41.919192,8.585859,198,83,17
16655787882630,16655888314616,39.698492,6.532663,199,79,13
16655888314616,16655988727889,63.366337,8.910891,202,128,18
16655988727889,16656089205105,72.864322,9.547739,199,145,19
16656089205105,16656189729430,34.482759,8.866995,203,70,18
16656189729430,16656290133041,37.623762,5.940594,202,76,12
16656290133041,16656390540414,74.129353,9.452736,201,149,19
16656390540414,16656491086465,61.881188,8.415842,202,125,17
16656491086465,16656591484698,38.000000,7.500000,200,76,15
16656591484698,16656691889545,48.743719,6.030151,199,97,12
16656691889545,16656792372959,77.114428,9.950249,201,155,20
16656792372959,16656892882140,55.500000,9.000000,200,111,18
16656892882140,16656993287472,35.858586,9.090909,198,71,18
16656993287472,16657093679475,38.000000,6.500000,200,76,13
16657093679475,16657194093886,61.881188,5.445545,202,125,11
16657194093886,16657294611723,60.000000,6.500000,200,120,13
16657294611723,16657395021257,57.425743,8.910891,202,116,18
16657395021257,16657495413780,26.000000,5.000000,200,52,10
16657495413780,16657595841909,39.303483,6.467662,201,79,13
16657595841909,16657696208848,58.793970,7.035176,199,117,14
16657696208848,16657796561550,75.500000,10.000000,200,151,20
16657796561550,16657896881721,74.257426,7.920792,202,150,16
16657896881721,16657997230243,41.624365,6.598985,197,82,13
16657997230243,16658097589156,42.500000,7.500000,200,85,15
16658097589156,16658197969163,57.920792,3.465347,202,117,7
16658197969163,16658298316518,83.333333,5.050505,198,165,10
16658298316518,16658398718499,84.158416,4.950495,202,170,10
16658398718499,16658499147747,83.500000,5.000000,200,167,10
16658499147747,16658599509061,84.500000,4.500000,200,169,9
16658599509061,16658700113290,85.643564,4.950495,202,173,10
16658700113290,16658800567436,86.432161,5.025126,199,172,10
16658800567436,16658901223370,85.714286,4.926108,203,174,10
16658901223370,16659001693795,81.188119,4.455446,202,164,9
16659001693795,16659102139486,83.919598,5.025126,199,167,10
16659102139486,16659202593958,85.148515,4.950495,202,172,10
16659202593958,16659303039270,83.500000,5.000000,200,167,10
16659303039270,16659403473741,86.069652,4.975124,201,173,10
16659403473741,16659503906001,86.868687,5.050505,198,172,10
16659503906001,16659604400565,86.567164,4.975124,201,174,10
16659604400565,16659704938132,85.074627,4.975124,201,171,10
16659704938132,16659805369556,87.000000,5.000000,200,174,10
16659805369556,16659905877877,86.069652,4.975124,201,173,10
16659905877877,16660006308244,81.592040,5.472637,201,164,11
16660006308244,16660106948640,86.000000,5.000000,200,172,10
16660106948640,16660207411518,82.914573,9.547739,199,165,19
16660207411518,16660307937814,79.601990,10.447761,201,160,21
16660307937814,16660408413059,82.412060,10.552764,199,164,21
16660408413059,16660508914811,81.500000,10.500000,200,163,21
16660508914811,16660609354004,81.592040,10.945274,201,164,22
16660609354004,16660709888790,81.909548,9.547739,199,163,19
16660709888790,16660810395215,82.178218,9.900990,202,166,20
16660810395215,16660910881381,80.099502,9.950249,201,161,20
16660910881381,16661011319101,78.391960,10.050251,199,156,20
16661011319101,16661111794015,81.094527,9.950249,201,163,20
16661111794015,16661212342407,76.119403,8.955224,201,153,18
16661212342407,16661312840520,67.164179,9.950249,201,135,20
16661312840520,16661413329429,66.000000,9.000000,200,132,18
