sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
16652974037974,16653074492290,nvme0n1p8,189440,96993280,920.816583,1,0.657015,66
16653074492290,16653175096043,nvme0n1p8,179968,92143616,873.476360,1,0.566579,57
16653175096043,16653275743038,nvme0n1p8,183808,94109696,891.730548,0,0.596143,60
16653275743038,16653376203676,nvme0n1p8,185344,94896128,900.850341,1,0.577341,58
16653376203676,16653476604934,nvme0n1p8,184832,94633984,898.893119,0,0.587642,59
16653476604934,16653576985434,nvme0n1p8,184064,94240768,895.343219,1,0.518029,52
16653576985434,16653677596024,nvme0n1p8,204288,104595456,991.446328,1,0.636116,64
16653677596024,16653778195258,nvme0n1p8,211456,108265472,1026.349763,1,0.685890,69
16653778195258,16653878754144,nvme0n1p8,209152,107085824,1015.574099,1,0.696110,70
16653878754144,16653979304459,nvme0n1p8,204800,104857600,994.526969,1,0.676278,68
16653979304459,16654079735590,nvme0n1p8,217600,111411200,1057.938897,1,0.696995,70
16654079735590,16654180315602,nvme0n1p8,235520,120586240,1143.368327,0,0.616425,62
16654180315602,16654280901861,nvme0n1p8,218624,111935488,1061.278161,0,0.646212,65
16654280901861,16654381288661,nvme0n1p8,214784,109969408,1044.709065,1,0.687341,69
16654381288661,16654481850602,nvme0n1p8,218368,111804416,1060.291786,1,0.686144,69
16654481850602,16654582419846,nvme0n1p8,199680,102236160,969.481286,0,0.616491,62
16654582419846,16654682826831,nvme0n1p8,192000,98304000,933.699981,0,0.597568,60
16654682826831,16654783245449,nvme0n1p8,200704,102760448,975.914646,0,0.627374,63
16654783245449,16654883688658,nvme0n1p8,213760,109445120,1039.144418,0,0.667044,67
16654883688658,16654984214803,nvme0n1p8,186112,95289344,903.993682,1,0.606807,61
16654984214803,16655084622122,nvme0n1p8,190720,97648640,927.472229,1,0.607525,61
16655084622122,16655185016869,nvme0n1p8,202240,103546880,983.617201,1,0.647444,65
16655185016869,16655285569018,nvme0n1p8,209408,107216896,1016.885278,0,0.676266,68
16655285569018,16655385975922,nvme0n1p8,193792,99221504,942.415275,0,0.587609,59
16655385975922,16655486417362,nvme0n1p8,201472,103153664,979.426420,1,0.527671,53
16655486417362,16655586850590,nvme0n1p8,211968,108527616,1030.535432,2,0.587455,59
16655586850590,16655687359475,nvme0n1p8,215552,110362624,1047.171103,2,0.686506,69
16655687359475,16655787882630,nvme0n1p8,204800,104857600,994.795677,0,0.576981,58
16655787882630,16655888314616,nvme0n1p8,205312,105119744,998.187968,0,0.527720,53
16655888314616,16655988727889,nvme0n1p8,210944,108003328,1025.760808,1,0.667242,67
16655988727889,16656089205105,nvme0n1p8,213760,109445120,1038.792715,1,0.676770,68
16656089205105,16656189729430,nvme0n1p8,191488,98041856,930.123132,1,0.596870,60
16656189729430,16656290133041,nvme0n1p8,194816,99745792,947.426084,0,0.597588,60
16656290133041,16656390540414,nvme0n1p8,233728,119668736,1136.619718,0,0.577647,58
16656390540414,16656491086465,nvme0n1p8,220160,112721920,1069.161831,0,0.556959,56
16656491086465,16656591484698,nvme0n1p8,206080,105512960,1002.258675,1,0.527898,53
16656591484698,16656691889545,nvme0n1p8,200448,102629376,974.803537,1,0.627460,63
16656691889545,16656792372959,nvme0n1p8,210688,107872256,1023.800804,1,0.676729,68
16656792372959,16656892882140,nvme0n1p8,203776,104333312,989.959315,0,0.646707,65
