sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
16652974037974,16653074492290,210842,165486592,156454912,0,97255424,96440320
16653074492290,16653175096043,210842,257499136,247857152,0,92012544,91402240
16653175096043,16653275743038,210842,351477760,340975616,0,93978624,93118464
16653275743038,16653376203676,210842,446373888,435228672,0,94896128,94253056
16653376203676,16653476604934,210842,540876800,528994304,0,94502912,93765632
16653476604934,16653576985434,210842,635248640,622641152,0,94371840,93646848
16653576985434,16653677596024,210842,739844096,726335488,0,104595456,103694336
16653677596024,16653778195258,210842,848371712,834019328,0,108527616,107683840
16653778195258,16653878754144,210842,955195392,940101632,0,106823680,106082304
16653878754144,16653979304459,210842,1060184064,1044209664,0,104988672,104108032
16653979304459,16654079735590,210842,1171726336,1154875392,0,111542272,110665728
16654079735590,16654180315602,210842,1292181504,1274454016,0,120455168,119578624
16654180315602,16654280901861,210842,1403985920,1385431040,0,111804416,110977024
16654280901861,16654381288661,210842,1514086400,1494687744,0,110100480,109256704
16654381288661,16654481850602,210842,1625890816,1605615616,0,111804416,110927872
16654481850602,16654582419846,210842,1727864832,1706795008,0,101974016,101179392
16654582419846,16654682826831,210842,1826299904,1804443648,0,98435072,97648640
16654682826831,16654783245449,210842,1929060352,1906413568,0,102760448,101969920
16654783245449,16654883688658,210842,2038505472,2014986240,0,109445120,108572672
16654883688658,16654984214803,210842,2133925888,2109648896,0,95420416,94662656
16654984214803,16655084622122,210842,2231574528,2206507008,0,97648640,96858112
16655084622122,16655185016869,210842,2335252480,2309398528,0,103677952,102891520
16655185016869,16655285569018,210842,2442207232,2415501312,0,106954752,106102784
16655285569018,16655385975922,210842,2541428736,2513993728,0,99221504,98492416
16655385975922,16655486417362,210842,2644713472,2616434688,0,103284736,102440960
16655486417362,16655586850590,210842,2753110016,2724077568,0,108396544,107642880
16655586850590,16655687359475,210842,2863603712,2833711104,0,110493696,109633536
16655687359475,16655787882630,210842,2968199168,2937544704,0,104595456,103833600
16655787882630,16655888314616,210842,3073449984,3041906688,0,105250816,104361984
16655888314616,16655988727889,210842,3181584384,3149160448,0,108134400,107253760
16655988727889,16656089205105,210842,3291029504,3257790464,0,109445120,108630016
16656089205105,16656189729430,210842,3388940288,3354976256,0,97910784,97185792
16656189729430,16656290133041,210842,3488686080,3453919232,0,99745792,98942976
16656290133041,16656390540414,210842,3608354816,3572711424,0,119668736,118792192
16656390540414,16656491086465,210842,3720945664,3684425728,0,112590848,111714304
16656491086465,16656591484698,210842,3826589696,3789258752,0,105644032,104833024
16656591484698,16656691889545,210842,3929219072,3891097600,0,102629376,101838848
16656691889545,16656792372959,210842,4037222400,3998212096,0,108003328,107114496
16656792372959,16656892882140,210842,4141424640,4101570560,0,104202240,103358464
16656892882140,16656993287472,210842,4239597568,4199088128,0,98172928,97517568
16656993287472,16657093679475,210842,4339081216,4297777152,0,99483648,98689024
16657093679475,16657194093886,210842,4445380608,4403273728,0,106299392,105496576
16657194093886,16657294611723,210842,4551155712,4508123136,0,105775104,104849408
16657294611723,16657395021257,210842,4659027968,4615151616,0,107872256,107028480
16657395021257,16657495413780,210842,4756152320,4711587840,0,97124352,96436224
16657495413780,16657595841909,210842,4855635968,4810219520,0,99483648,98631680
16657595841909,16657696208848,210842,4960886784,4914782208,0,105250816,104562688
16657696208848,16657796561550,210842,5072429056,5025415168,0,111542272,110632960
16657796561550,16657896881721,210842,5167677440,5120110592,0,95248384,94695424
16657896881721,16657997230243,210842,5167677440,5120110592,0,0,0
16657997230243,16658097589156,210842,5167677440,5120110592,0,0,0
16658097589156,16658197969163,210842,5167677440,5120110592,0,0,0
16658197969163,16658298316518,210842,5167677440,5120110592,0,0,0
16658298316518,16658398718499,210842,5167677440,5120110592,0,0,0
16658398718499,16658499147747,210842,5167677440,5120110592,0,0,0
16658499147747,16658599509061,210842,5167677440,5120110592,0,0,0
16658599509061,16658700113290,210842,5167677440,5120110592,0,0,0
16658700113290,16658800567436,210842,5167677440,5120110592,0,0,0
16658800567436,16658901223370,210842,5167677440,5120110592,0,0,0
16658901223370,16659001693795,210842,5167677440,5120110592,0,0,0
16659001693795,16659102139486,210842,5167677440,5120110592,0,0,0
16659102139486,16659202593958,210842,5167677440,5120110592,0,0,0
16659202593958,16659303039270,210842,5167677440,5120110592,0,0,0
16659303039270,16659403473741,210842,5167677440,5120110592,0,0,0
16659403473741,16659503906001,210842,5167677440,5120110592,0,0,0
16659503906001,16659604400565,210842,5167677440,5120110592,0,0,0
16659604400565,16659704938132,210842,5167677440,5120110592,0,0,0
16659704938132,16659805369556,210842,5167677440,5120110592,0,0,0
16659805369556,16659905877877,210842,5167714304,5120114688,0,36864,4096
16659905877877,16660006308244,210842,5167714304,5120114688,0,0,0
16660006308244,16660106948640,210842,5167714304,5120114688,0,0,0
16660106948640,16660207411518,210842,5374267392,5120114688,0,206553088,0
16660207411518,16660307937814,210842,5659873280,5120114688,0,285605888,0
16660307937814,16660408413059,210842,5944692736,5120114688,0,284819456,0
16660408413059,16660508914811,210842,6006272000,5120114688,0,61579264,0
16660508914811,16660609354004,210842,6211620864,5120114688,0,205348864,0
16660609354004,16660709888790,210842,6233108480,5120114688,0,21487616,0
16660709888790,16660810395215,210842,6247526400,5120118784,0,14417920,4096
16660810395215,16660910881381,210842,6254907392,5120118784,4096,7380992,0
16660910881381,16661011319101,210842,6254907392,5120118784,4096,0,0
16661011319101,16661111794015,210842,6254907392,5120118784,625491968,0,0
16661111794015,16661212342407,210842,6260068352,5125242880,1093476352,5160960,5124096
16661212342407,16661312840520,210842,6260068352,5125242880,1093476352,0,0
16661312840520,16661413329429,210842,6260068352,5125242880,1093476352,0,0
16661413329429,16661514027102,210842,6261686272,5125242880,1093476352,1617920,0
16661514027102,16661614666873,210842,6273196032,5125242880,1093476352,11509760,0
16661614666873,16661716026080,210842,6285795328,5125242880,1093476352,12599296,0
16661716026080,16661817345369,210842,6299119616,5125242880,1093476352,13324288,0
16661817345369,16661918786998,210842,6311972864,5125242880,1093476352,12853248,0
16661918786998,16662019809610,210842,6324187136,5125242880,1093476352,12214272,0
16662019809610,16662121197082,210842,6335926272,5125242880,1093476352,11739136,0
16662121197082,16662222290453,210842,6348402688,5125242880,1093476352,12476416,0
16662222290453,16662323689382,210842,6360072192,5125242880,1093476352,11669504,0
16662323689382,16662425009250,210842,6373392384,5125242880,1093476352,13320192,0
16662425009250,16662526196047,210842,6384570368,5125242880,1093476352,11177984,0
16662526196047,16662627378121,210842,6397841408,5125242880,1093476352,13271040,0
16662627378121,16662728666480,210842,6411128832,5125242880,1093476352,13287424,0
16662728666480,16662829760971,210842,6424596480,5125242880,1093476352,13467648,0
16662829760971,16662930978339,210842,6438858752,5125242880,1093476352,14262272,0
16662930978339,16663032193227,210842,6451388416,5125242880,1093476352,12529664,0
16663032193227,16663133233804,210842,6463602688,5125242880,1093476352,12214272,0
16663133233804,16663234313523,210842,6476898304,5125242880,1093476352,13295616,0
16663234313523,16663335682070,210842,6487781376,5125242880,1093476352,10883072,0
16663335682070,16663436799468,210842,6501134336,5125242880,1093476352,13352960,0
16663436799468,16663538195148,210842,6512754688,5125242880,1093476352,11620352,0
16663538195148,16663639854666,210842,6524915712,5125242880,1093476352,12161024,0
16663639854666,16663741340222,210842,6537793536,5125242880,1093476352,12877824,0
16663741340222,16663842807865,210842,6549463040,5125242880,1093476352,11669504,0
16663842807865,16663944139318,210842,6563528704,5125242880,1093476352,14065664,0
16663944139318,16664045216218,210842,6574813184,5125242880,1093476352,11284480,0
16664045216218,16664145878809,210842,6587146240,5125242880,1093476352,12333056,0
