sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
16652974037974,16653074492290,10242627363,9784660694,36952,35035
16653074492290,16653175096043,10242666044,9784698595,38681,37901
16653175096043,16653275743038,10242702368,9784733138,36324,34543
16653275743038,16653376203676,10242742110,9784771326,39742,38188
16653376203676,16653476604934,10242780998,9784809143,38888,37817
16653476604934,16653576985434,10242820623,9784846750,39625,37607
16653576985434,16653677596024,10242860193,9784883478,39570,36728
16653677596024,16653778195258,10242904381,9784923449,44188,39971
16653778195258,16653878754144,10242951958,9784969949,47577,46500
16653878754144,16653979304459,10242989141,9785002353,37183,32404
16653979304459,16654079735590,10243024201,9785034776,35060,32423
16654079735590,16654180315602,10243064334,9785072722,40133,37946
16654180315602,16654280901861,10243102522,9785107379,38188,34657
16654280901861,16654381288661,10243145054,9785147245,42532,39866
16654381288661,16654481850602,10243187693,9785188675,42639,41430
16654481850602,16654582419846,10243211220,9785202838,23527,14163
16654582419846,16654682826831,10243233148,9785214311,21928,11473
16654682826831,16654783245449,10243260899,9785230365,27751,16054
16654783245449,16654883688658,10243317307,9785261740,56408,31375
16654883688658,16654984214803,10243338318,9785273169,21011,11429
16654984214803,16655084622122,10243358423,9785284300,20105,11131
16655084622122,16655185016869,10243385461,9785296673,27038,12373
16655185016869,16655285569018,10243419246,9785319009,33785,22336
16655285569018,16655385975922,10243439447,9785331054,20201,12045
16655385975922,16655486417362,10243457646,9785341358,18199,10304
16655486417362,16655586850590,10243482714,9785360530,25068,19172
16655586850590,16655687359475,10243526235,9785403001,43521,42471
16655687359475,16655787882630,10243546377,9785415610,20142,12609
16655787882630,16655888314616,10243565450,9785424235,19073,8625
16655888314616,16655988727889,10243595020,9785448868,29570,24633
16655988727889,16656089205105,10243633488,9785483545,38468,34677
16656089205105,16656189729430,10243653815,9785494820,20327,11275
16656189729430,16656290133041,10243671999,9785504127,18184,9307
16656290133041,16656390540414,10243712450,9785541811,40451,37684
16656390540414,16656491086465,10243740487,9785562930,28037,21119
16656491086465,16656591484698,10243760232,9785571363,19745,8433
16656591484698,16656691889545,10243780828,9785582400,20596,11037
16656691889545,16656792372959,10243828508,9785628591,47680,46191
16656792372959,16656892882140,10243853657,9785646912,25149,18321
16656892882140,16656993287472,10243873405,9785658556,19748,11644
16656993287472,16657093679475,10243892116,9785667126,18711,8570
16657093679475,16657194093886,10243920642,9785682304,28526,15178
