sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
16903433706160,16903534127280,78.217822,9.900990,202,158,20
16903534127280,16903634801868,78.787879,10.101010,198,156,20
16903634801868,16903735597628,77.227723,10.396040,202,156,21
16903735597628,16903836263737,78.606965,9.950249,201,158,20
16903836263737,16903936881144,78.000000,10.000000,200,156,20
16903936881144,16904037526909,74.626866,10.447761,201,150,21
16904037526909,16904138035615,75.742574,9.900990,202,153,20
16904138035615,16904238636597,75.742574,10.396040,202,153,21
16904238636597,16904339262412,73.891626,8.866995,203,150,18
16904339262412,16904439946057,76.000000,8.500000,200,152,17
16904439946057,16904540547767,78.109453,9.950249,201,157,20
16904540547767,16904641022916,77.000000,10.000000,200,154,20
16904641022916,16904741611122,78.000000,10.500000,200,156,21
16904741611122,16904842088629,77.227723,9.900990,202,156,20
16904842088629,16904942587821,76.616915,10.447761,201,154,21
16904942587821,16905043094167,45.771144,9.452736,201,92,19
16905043094167,16905143487647,41.708543,9.045226,199,83,18
16905143487647,16905243892375,60.199005,8.457711,201,121,17
16905243892375,16905344307198,66.500000,9.000000,200,133,18
16905344307198,16905444731333,33.000000,8.000000,200,66,16
16905444731333,16905545159006,40.500000,7.500000,200,81,15
16905545159006,16905645556227,67.500000,9.000000,200,135,18
16905645556227,16905746162615,76.119403,6.965174,201,153,14
16905746162615,16905846660053,32.653061,8.673469,196,64,17
16905846660053,16905947092429,33.000000,7.500000,200,66,15
16905947092429,16906047597087,69.651741,9.452736,201,140,19
16906047597087,16906148111073,58.128079,7.881773,203,118,16
16906148111073,16906248515723,32.323232,9.090909,198,64,18
16906248515723,16906348911785,34.328358,6.467662,201,69,13
16906348911785,16906449308201,72.588832,9.137056,197,143,18
16906449308201,16906549720735,52.475248,8.910891,202,106,18
16906549720735,16906650149938,31.818182,9.090909,198,63,18
16906650149938,16906750563984,46.969697,6.565657,198,93,13
16906750563984,16906851038391,76.237624,9.900990,202,154,20
16906851038391,16906951424411,46.700508,9.137056,197,92,18
16906951424411,16907051821633,36.318408,7.960199,201,73,16
16907051821633,16907152238211,62.000000,8.500000,200,124,17
16907152238211,16907252872348,76.500000,10.000000,200,153,20
16907252872348,16907353389656,31.155779,8.542714,199,62,17
16907353389656,16907453799457,35.353535,7.575758,198,70,15
16907453799457,16907554204447,72.906404,9.852217,203,148,20
16907554204447,16907654712574,71.287129,10.396040,202,144,21
16907654712574,16907755110131,36.734694,10.204082,196,72,20
16907755110131,16907855669507,37.128713,10.891089,202,75,22
16907855669507,16907956092177,51.000000,8.000000,200,102,16
16907956092177,16908056618702,78.000000,9.000000,200,156,18
16908056618702,16908157099341,78.000000,10.500000,200,156,21
16908157099341,16908257580542,41.500000,9.000000,200,83,18
16908257580542,16908357983878,35.500000,8.500000,200,71,17
16908357983878,16908458397022,46.733668,7.537688,199,93,15
16908458397022,16908558819711,83.168317,9.405941,202,168,19
16908558819711,16908659327657,83.417085,9.045226,199,166,18
16908659327657,16908759836869,82.089552,8.955224,201,165,18
