sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
16903433706160,16903534127280,nvme0n1p8,192000,98304000,933.568556,1,0.677148,68
16903534127280,16903634801868,nvme0n1p8,188160,96337920,912.593752,0,0.595980,60
16903634801868,16903735597628,nvme0n1p8,188672,96600064,913.976937,0,0.605184,61
16903735597628,16903836263737,nvme0n1p8,189440,96993280,918.879263,1,0.605964,61
16903836263737,16903936881144,nvme0n1p8,176640,90439680,857.207541,1,0.606257,61
16903936881144,16904037526909,nvme0n1p8,204544,104726528,992.341804,1,0.556407,56
16904037526909,16904138035615,nvme0n1p8,219648,112459776,1067.071742,0,0.666609,67
16904138035615,16904238636597,nvme0n1p8,208128,106561536,1010.179006,0,0.656057,66
16904238636597,16904339262412,nvme0n1p8,211200,108134400,1024.836420,0,0.685709,69
16904339262412,16904439946057,nvme0n1p8,215808,110493696,1046.595006,1,0.675383,68
16904439946057,16904540547767,nvme0n1p8,227840,116654080,1105.846014,0,0.646112,65
16904540547767,16904641022916,nvme0n1p8,228352,116916224,1109.727143,0,0.577257,58
16904641022916,16904741611122,nvme0n1p8,219904,112590848,1067.471071,1,0.676024,68
16904741611122,16904842088629,nvme0n1p8,218624,111935488,1062.426837,1,0.676768,68
16904842088629,16904942587821,nvme0n1p8,218368,111804416,1060.953803,1,0.676622,68
16904942587821,16905043094167,nvme0n1p8,198912,101842944,966.356891,2,0.616876,62
16905043094167,16905143487647,nvme0n1p8,194816,99745792,947.521692,1,0.617570,62
16905143487647,16905243892375,nvme0n1p8,204032,104464384,992.234151,0,0.647380,65
16905243892375,16905344307198,nvme0n1p8,209664,107347968,1019.520793,0,0.667232,67
16905344307198,16905444731333,nvme0n1p8,183808,94109696,893.709465,1,0.587508,59
16905444731333,16905545159006,nvme0n1p8,193536,99090432,940.975701,0,0.607402,61
16905545159006,16905645556227,nvme0n1p8,209920,107479040,1020.944594,2,0.667349,67
16905645556227,16905746162615,nvme0n1p8,212992,109051904,1033.731576,1,0.665962,67
16905746162615,16905846660053,nvme0n1p8,190976,97779712,927.884351,0,0.537327,54
16905846660053,16905947092429,nvme0n1p8,199424,102105088,969.557864,0,0.517761,52
16905947092429,16906047597087,nvme0n1p8,212992,109051904,1034.777910,0,0.636786,64
16906047597087,16906148111073,nvme0n1p8,211456,108265472,1027.220232,1,0.656625,66
16906148111073,16906248515723,nvme0n1p8,203264,104071168,988.500035,0,0.527864,53
16906248515723,16906348911785,nvme0n1p8,202240,103546880,983.604317,0,0.547830,55
16906348911785,16906449308201,nvme0n1p8,212736,108920832,1034.648488,0,0.677315,68
16906449308201,16906549720735,nvme0n1p8,199680,102236160,970.994318,0,0.647330,65
16906549720735,16906650149938,nvme0n1p8,189440,96993280,921.046839,0,0.587479,59
16906650149938,16906750563984,nvme0n1p8,200192,102498304,973.469389,1,0.587567,59
16906750563984,16906851038391,nvme0n1p8,241152,123469824,1171.940233,1,0.607120,61
16906851038391,16906951424411,nvme0n1p8,217344,111280128,1057.169116,1,0.547885,55
16906951424411,16907051821633,nvme0n1p8,205824,105381888,1001.023714,0,0.557784,56
16907051821633,16907152238211,nvme0n1p8,207616,106299392,1009.544460,0,0.657262,66
16907152238211,16907252872348,nvme0n1p8,216064,110624768,1048.352012,2,0.675715,68
16907252872348,16907353389656,nvme0n1p8,191488,98041856,930.188063,0,0.626758,63
16907353389656,16907453799457,nvme0n1p8,190464,97517568,926.204405,0,0.597551,60
16907453799457,16907554204447,nvme0n1p8,212736,108920832,1034.560135,1,0.677257,68
16907554204447,16907654712574,nvme0n1p8,206848,105906176,1004.893863,0,0.646714,65
16907654712574,16907755110131,nvme0n1p8,193792,99221504,942.503013,1,0.587664,59
16907755110131,16907855669507,nvme0n1p8,202240,103546880,982.006889,2,0.596662,60
16907855669507,16907956092177,nvme0n1p8,201216,103022592,978.364746,1,0.627348,63
16907956092177,16908056618702,nvme0n1p8,216064,110624768,1049.474256,1,0.676438,68
16908056618702,16908157099341,nvme0n1p8,218624,111935488,1062.393721,1,0.686699,69
16908157099341,16908257580542,nvme0n1p8,196608,100663296,955.402593,1,0.626983,63
16908257580542,16908357983878,nvme0n1p8,110000,56320000,534.951722,0,0.368514,37
16908357983878,16908458397022,nvme0n1p8,0,0,0.000000,0,0.000000,0
16908458397022,16908558819711,nvme0n1p8,0,0,0.000000,0,0.000000,0
16908558819711,16908659327657,nvme0n1p8,0,0,0.000000,0,0.000000,0
16908659327657,16908759836869,nvme0n1p8,0,0,0.000000,0,0.000000,0
16908759836869,16908860372398,nvme0n1p8,0,0,0.000000,0,0.000000,0
16908860372398,16908960902739,nvme0n1p8,0,0,0.000000,0,0.000000,0
16908960902739,16909061446635,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909061446635,16909162043063,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909162043063,16909262459111,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909262459111,16909362997716,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909362997716,16909463587826,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909463587826,16909564168074,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909564168074,16909664970602,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909664970602,16909765657878,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909765657878,16909866348243,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909866348243,16909966982311,nvme0n1p8,0,0,0.000000,0,0.000000,0
16909966982311,16910067531536,nvme0n1p8,0,0,0.000000,0,0.000000,0
16910067531536,16910168063199,nvme0n1p8,0,0,0.000000,0,0.000000,0
16910168063199,16910268615872,nvme0n1p8,0,0,0.000000,0,0.000000,0
16910268615872,16910369165016,nvme0n1p8,72,36864,0.349642,0,0.049727,5
16910369165016,16910469709734,nvme0n1p8,0,0,0.000000,0,0.000000,0
16910469709734,16910570300314,nvme0n1p8,0,0,0.000000,0,0.000000,0
16910570300314,16910670881452,nvme0n1p8,367328,188071936,1783.230719,1,0.884858,89
16910670881452,16910771457545,nvme0n1p8,556288,284819456,2700.691505,1,1.093699,110
16910771457545,16910872015677,nvme0n1p8,487680,249692160,2368.033249,1,1.034228,104
16910872015677,16910972581404,nvme0n1p8,226512,115974144,1099.793795,0,0.477300,48
16910972581404,16911073155906,nvme0n1p8,329184,168542208,1598.162276,1,0.805373,81
16911073155906,16911173827643,nvme0n1p8,108736,55672832,527.394794,0,0.307932,31
16911173827643,16911274421777,nvme0n1p8,29440,15073280,142.900977,0,0.119291,12
16911274421777,16911375063503,nvme0n1p8,18256,9347072,88.572234,0,0.069554,7
16911375063503,16911475645062,nvme0n1p8,0,0,0.000000,0,0.000000,0
16911475645062,16911576321221,nvme0n1p8,0,0,0.000000,0,0.000000,0
16911576321221,16911677101859,nvme0n1p8,2304,1179648,11.162858,0,0.059535,6
