sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
16903433706160,16903534127280,212692,164061184,155041792,0,98435072,97599488
16903534127280,16903634801868,212692,260268032,250585088,0,96206848,95543296
16903634801868,16903735597628,212692,356868096,346398720,0,96600064,95813632
16903735597628,16903836263737,212692,453992448,442736640,0,97124352,96337920
16903836263737,16903936881144,212692,544432128,532545536,0,90439680,89808896
16903936881144,16904037526909,212692,649158656,636436480,0,104726528,103890944
16904037526909,16904138035615,212692,761487360,747921408,0,112328704,111484928
16904138035615,16904238636597,212692,868179968,853655552,0,106692608,105734144
16904238636597,16904339262412,212692,976183296,960946176,0,108003328,107290624
16904339262412,16904439946057,212692,1086808064,1070718976,0,110624768,109772800
16904439946057,16904540547767,212692,1203331072,1186308096,0,116523008,115589120
16904540547767,16904641022916,212692,1320378368,1302368256,0,117047296,116060160
16904641022916,16904741611122,212692,1433100288,1414209536,0,112721920,111841280
16904741611122,16904842088629,212692,1544904704,1525235712,0,111804416,111026176
16904842088629,16904942587821,212692,1656709120,1636143104,0,111804416,110907392
16904942587821,16905043094167,212692,1758552064,1737187328,0,101842944,101044224
16905043094167,16905143487647,212692,1858166784,1836097536,0,99614720,98910208
16905143487647,16905243892375,212692,1962631168,1939693568,0,104464384,103596032
16905243892375,16905344307198,212692,2069979136,2046197760,0,107347968,106504192
16905344307198,16905444731333,212692,2164088832,2139586560,0,94109696,93388800
16905444731333,16905545159006,212692,2263179264,2237857792,0,99090432,98271232
16905545159006,16905645556227,212692,2370920448,2344755200,0,107741184,106897408
16905645556227,16905746162615,212692,2479841280,2452942848,0,108920832,108187648
16905746162615,16905846660053,212692,2577489920,2549719040,0,97648640,96776192
16905846660053,16905947092429,212692,2679595008,2651119616,0,102105088,101400576
16905947092429,16906047597087,212692,2788646912,2759294976,0,109051904,108175360
16906047597087,16906148111073,212692,2896912384,2866753536,0,108265472,107458560
16906148111073,16906248515723,212692,3000983552,2969960448,0,104071168,103206912
16906248515723,16906348911785,212692,3104530432,3072684032,0,103546880,102723584
16906348911785,16906449308201,212692,3213451264,3180773376,0,108920832,108089344
16906449308201,16906549720735,212692,3315556352,3282190336,0,102105088,101416960
16906549720735,16906650149938,212692,3412549632,3378356224,0,96993280,96165888
16906650149938,16906750563984,212692,3515179008,3480264704,0,102629376,101908480
16906750563984,16906851038391,212692,3638648832,3602685952,0,123469824,122421248
16906851038391,16906951424411,212692,3750060032,3713220608,0,111411200,110534656
16906951424411,16907051821633,212692,3855310848,3817644032,0,105250816,104423424
16907051821633,16907152238211,212692,3961741312,3923271680,0,106430464,105627648
16907152238211,16907252872348,212692,4072497152,4033200128,0,110755840,109928448
16907252872348,16907353389656,212692,4170276864,4130177024,0,97779712,96976896
16907353389656,16907453799457,212692,4267663360,4226912256,0,97386496,96735232
16907453799457,16907554204447,212692,4376846336,4335132672,0,109182976,108220416
16907554204447,16907654712574,212692,4482490368,4440080384,0,105644032,104947712
16907654712574,16907755110131,212692,4581842944,4538613760,0,99352576,98533376
16907755110131,16907855669507,212692,4685520896,4641505280,0,103677952,102891520
16907855669507,16907956092177,212692,4788543488,4743667712,0,103022592,102162432
16907956092177,16908056618702,212692,4899168256,4853456896,0,110624768,109789184
16908056618702,16908157099341,212692,5011103744,4964564992,0,111935488,111108096
16908157099341,16908257580542,212692,5111767040,5064388608,0,100663296,99823616
16908257580542,16908357983878,212692,5167693824,5120110592,0,55926784,55721984
16908357983878,16908458397022,212692,5167693824,5120110592,0,0,0
16908458397022,16908558819711,212692,5167693824,5120110592,0,0,0
16908558819711,16908659327657,212692,5167693824,5120110592,0,0,0
16908659327657,16908759836869,212692,5167693824,5120110592,0,0,0
16908759836869,16908860372398,212692,5167693824,5120110592,0,0,0
16908860372398,16908960902739,212692,5167693824,5120110592,0,0,0
16908960902739,16909061446635,212692,5167693824,5120110592,0,0,0
16909061446635,16909162043063,212692,5167693824,5120110592,0,0,0
16909162043063,16909262459111,212692,5167693824,5120110592,0,0,0
16909262459111,16909362997716,212692,5167693824,5120110592,0,0,0
16909362997716,16909463587826,212692,5167693824,5120110592,0,0,0
16909463587826,16909564168074,212692,5167693824,5120110592,0,0,0
16909564168074,16909664970602,212692,5167693824,5120110592,0,0,0
16909664970602,16909765657878,212692,5167693824,5120110592,0,0,0
16909765657878,16909866348243,212692,5167693824,5120110592,0,0,0
16909866348243,16909966982311,212692,5167693824,5120110592,0,0,0
16909966982311,16910067531536,212692,5167693824,5120110592,0,0,0
16910067531536,16910168063199,212692,5167693824,5120110592,0,0,0
16910168063199,16910268615872,212692,5167697920,5120110592,0,4096,0
16910268615872,16910369165016,212692,5167730688,5120114688,0,32768,4096
16910369165016,16910469709734,212692,5167730688,5120114688,0,0,0
16910469709734,16910570300314,212692,5167730688,5120114688,0,0,0
16910570300314,16910670881452,212692,5356851200,5120114688,0,189120512,0
16910670881452,16910771457545,212692,5641670656,5120114688,0,284819456,0
16910771457545,16910872015677,212692,5890838528,5120114688,0,249167872,0
16910872015677,16910972581404,212692,6006288384,5120114688,0,115449856,0
16910972581404,16911073155906,212692,6175879168,5120114688,0,169590784,0
16911073155906,16911173827643,212692,6230503424,5120114688,0,54624256,0
16911173827643,16911274421777,212692,6245707776,5120118784,0,15204352,4096
16911274421777,16911375063503,212692,6254923776,5120118784,4096,9216000,0
16911375063503,16911475645062,212692,6254923776,5120118784,4096,0,0
16911475645062,16911576321221,212692,6254923776,5120118784,478076928,0,0
16911576321221,16911677101859,212692,6256365568,5121298432,1227694080,1441792,1179648
16911677101859,16911777516797,212692,6260084736,5125242880,1227694080,3719168,3944448
16911777516797,16911878025656,212692,6260084736,5125242880,1227694080,0,0
16911878025656,16911978631444,212692,6260084736,5125242880,1227694080,0,0
16911978631444,16912079249505,212692,6269657088,5125242880,1227694080,9572352,0
16912079249505,16912180996799,212692,6285811712,5125242880,1227694080,16154624,0
16912180996799,16912282263633,212692,6300004352,5125242880,1227694080,14192640,0
16912282263633,16912383450638,212692,6310395904,5125242880,1227694080,10391552,0
16912383450638,16912484872484,212692,6321152000,5125242880,1227694080,10756096,0
16912484872484,16912586477727,212692,6332657664,5125242880,1227694080,11505664,0
16912586477727,16912687802811,212692,6342627328,5125242880,1227694080,9969664,0
16912687802811,16912789246123,212692,6354784256,5125242880,1227694080,12156928,0
16912789246123,16912890520935,212692,6367678464,5125242880,1227694080,12894208,0
16912890520935,16912991734982,212692,6377721856,5125242880,1227694080,10043392,0
16912991734982,16913093068554,212692,6391029760,5125242880,1227694080,13307904,0
16913093068554,16913194326039,212692,6403493888,5125242880,1227694080,12464128,0
16913194326039,16913295988328,212692,6414700544,5125242880,1227694080,11206656,0
16913295988328,16913397354876,212692,6427136000,5125242880,1227694080,12435456,0
16913397354876,16913498623629,212692,6440951808,5125242880,1227694080,13815808,0
16913498623629,16913599955063,212692,6452314112,5125242880,1227694080,11362304,0
16913599955063,16913701273038,212692,6465499136,5125242880,1227694080,13185024,0
16913701273038,16913802652103,212692,6478450688,5125242880,1227694080,12951552,0
16913802652103,16913904038868,212692,6491136000,5125242880,1227694080,12685312,0
16913904038868,16914005661648,212692,6502318080,5125242880,1227694080,11182080,0
16914005661648,16914107068777,212692,6515376128,5125242880,1227694080,13058048,0
16914107068777,16914208310276,212692,6529499136,5125242880,1227694080,14123008,0
16914208310276,16914309868903,212692,6542688256,5125242880,1227694080,13189120,0
16914309868903,16914411021529,212692,6555713536,5125242880,1227694080,13025280,0
16914411021529,16914512168118,212692,6567641088,5125242880,1227694080,11927552,0
16914512168118,16914613463732,212692,6581006336,5125242880,1227694080,13365248,0
16914613463732,16914714820324,212692,6594596864,5125242880,1227694080,13590528,0
16914714820324,16914816204332,212692,6606946304,5125242880,1227694080,12349440,0
16914816204332,16914917490857,212692,6617751552,5125242880,1227694080,10805248,0
16914917490857,16915018828097,212692,6629044224,5125242880,1227694080,11292672,0
16915018828097,16915120072771,212692,6640373760,5125242880,1227694080,11329536,0
16915120072771,16915221374507,212692,6652063744,5125242880,1227694080,11689984,0
16915221374507,16915322802720,212692,6665773056,5125242880,1227694080,13709312,0
16915322802720,16915423789039,212692,6677987328,5125242880,1227694080,12214272,0
16915423789039,16915525206207,212692,6692593664,5125242880,1227694080,14606336,0
16915525206207,16915626511442,212692,6705971200,5125242880,1227694080,13377536,0
16915626511442,16915727899671,212692,6718484480,5125242880,1227694080,12513280,0
16915727899671,16915829354023,212692,6732660736,5125242880,1227694080,14176256,0
16915829354023,16915930852685,212692,6745952256,5125242880,1227694080,13291520,0
16915930852685,16916032388974,212692,6760878080,5125242880,1227694080,14925824,0
16916032388974,16916133595791,212692,6772137984,5125242880,1227694080,11259904,0
16916133595791,16916234963111,212692,6785802240,5125242880,1227694080,13664256,0
16916234963111,16916336261000,212692,6797975552,5125242880,1227694080,12173312,0
16916336261000,16916437396923,212692,6811693056,5125242880,1227694080,13717504,0
16916437396923,16916538695405,212692,6824812544,5125242880,1227694080,13119488,0
16916538695405,16916639941286,212692,6838497280,5125242880,1227694080,13684736,0
16916639941286,16916741201247,212692,6850953216,5125242880,1227694080,12455936,0
16916741201247,16916842484704,212692,6863818752,5125242880,1227694080,12865536,0
16916842484704,16916943948452,212692,6876389376,5125242880,1227694080,12570624,0
16916943948452,16917045367955,212692,6888378368,5125242880,1227694080,11988992,0
16917045367955,16917146575998,212692,6900731904,5125242880,1227694080,12353536,0
16917146575998,16917247933097,212692,6912950272,5125242880,1227694080,12218368,0
16917247933097,16917349433159,212692,6926888960,5125242880,1227694080,13938688,0
16917349433159,16917450583835,212692,6939766784,5125242880,1227694080,12877824,0
16917450583835,16917551858654,212692,6953926656,5125242880,1227694080,14159872,0
16917551858654,16917653158372,212692,6969126912,5125242880,1227694080,15200256,0
16917653158372,16917754505913,212692,6981115904,5125242880,1227694080,11988992,0
16917754505913,16917855656345,212692,6997409792,5125242880,1227694080,16293888,0
16917855656345,16917956795084,212692,7008694272,5125242880,1227694080,11284480,0
16917956795084,16918058235826,212692,7022915584,5125242880,1227694080,14221312,0
16918058235826,16918159463034,212692,7037530112,5125242880,1227694080,14614528,0
16918159463034,16918260825931,212692,7050838016,5125242880,1227694080,13307904,0
16918260825931,16918362028300,212692,7066238976,5125242880,1227694080,15400960,0
16918362028300,16918463257368,212692,7080579072,5125242880,1227694080,14340096,0
16918463257368,16918564490897,212692,7095513088,5125242880,1227694080,14934016,0
16918564490897,16918665871982,212692,7109718016,5125242880,1227694080,14204928,0
16918665871982,16918767058477,212692,7122628608,5125242880,1227694080,12910592,0
16918767058477,16918868375308,212692,7137533952,5125242880,1227694080,14905344,0
16918868375308,16918969569138,212692,7151661056,5125242880,1227694080,14127104,0
16918969569138,16919070885967,212692,7165407232,5125242880,1227694080,13746176,0
16919070885967,16919172028794,212692,7180488704,5125242880,1227694080,15081472,0
16919172028794,16919273345361,212692,7195246592,5125242880,1227694080,14757888,0
16919273345361,16919374665469,212692,7209275392,5125242880,1227694080,14028800,0
16919374665469,16919476140129,212692,7223246848,5125242880,1227694080,13971456,0
16919476140129,16919577534212,212692,7237124096,5125242880,1227694080,13877248,0
16919577534212,16919678857252,212692,7250980864,5125242880,1227694080,13856768,0
16919678857252,16919780195450,212692,7264014336,5125242880,1227694080,13033472,0
16919780195450,16919881220397,212692,7278477312,5125242880,1227694080,14462976,0
16919881220397,16919982356465,212692,7292157952,5125242880,1227694080,13680640,0
16919982356465,16920083573024,212692,7304753152,5125242880,1227694080,12595200,0
16920083573024,16920184959019,212692,7319334912,5125242880,1227694080,14581760,0
16920184959019,16920286133733,212692,7333781504,5125242880,1227694080,14446592,0
16920286133733,16920387322827,212692,7346495488,5125242880,1227694080,12713984,0
16920387322827,16920488436316,212692,7360655360,5125242880,1227694080,14159872,0
16920488436316,16920589719547,212692,7373438976,5125242880,1227694080,12783616,0
16920589719547,16920691201029,212692,7386984448,5125242880,1227694080,13545472,0
16920691201029,16920792547185,212692,7400349696,5125242880,1227694080,13365248,0
16920792547185,16920893830419,212692,7416217600,5125242880,1227694080,15867904,0
16920893830419,16920995131115,212692,7429246976,5125242880,1227694080,13029376,0
16920995131115,16921096316531,212692,7443460096,5125242880,1227694080,14213120,0
16921096316531,16921197456554,212692,7456763904,5125242880,1227694080,13303808,0
16921197456554,16921298679502,212692,7472439296,5125242880,1227694080,15675392,0
16921298679502,16921399478931,212692,7486521344,5125242880,1227694080,14082048,0
16921399478931,16921500662381,212692,7501381632,5125242880,1227694080,14860288,0
16921500662381,16921601921338,212692,7515742208,5125242880,1227694080,14360576,0
16921601921338,16921703308686,212692,7528005632,5125242880,1227694080,12263424,0
16921703308686,16921804782649,212692,7542575104,5125242880,1227694080,14569472,0
16921804782649,16921905809799,212692,7556259840,5125242880,1227694080,13684736,0
16921905809799,16922007075706,212692,7568891904,5125242880,1227694080,12632064,0
16922007075706,16922108224675,212692,7583428608,5125242880,1227694080,14536704,0
16922108224675,16922209413720,212692,7598075904,5125242880,1227694080,14647296,0
16922209413720,16922310596230,212692,7612583936,5125242880,1227694080,14508032,0
16922310596230,16922411922069,212692,7626080256,5125242880,1227694080,13496320,0
16922411922069,16922513154506,212692,7639437312,5125242880,1227694080,13357056,0
16922513154506,16922614480907,212692,7652626432,5125242880,1227694080,13189120,0
16922614480907,16922715601373,212692,7667449856,5125242880,1227694080,14823424,0
16922715601373,16922816805097,212692,7681208320,5125242880,1227694080,13758464,0
16922816805097,16922917997500,212692,7696216064,5125242880,1227694080,15007744,0
16922917997500,16923019302599,212692,7710502912,5125242880,1227694080,14286848,0
16923019302599,16923120641713,212692,7724077056,5125242880,1227694080,13574144,0
16923120641713,16923221877005,212692,7738785792,5125242880,1227694080,14708736,0
16923221877005,16923323228451,212692,7753576448,5125242880,1227694080,14790656,0
16923323228451,16923424443512,212692,7766052864,5125242880,1227694080,12476416,0
16923424443512,16923525757989,212692,7777955840,5125242880,1227694080,11902976,0
16923525757989,16923627076634,212692,7791710208,5125242880,1227694080,13754368,0
16923627076634,16923728503701,212692,7805603840,5125242880,1227694080,13893632,0
16923728503701,16923829736281,212692,7818403840,5125242880,1227694080,12800000,0
16923829736281,16923931077401,212692,7833874432,5125242880,1227694080,15470592,0
