sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
15240311349380,15240411945268,79.500000,6.000000,200,159,12
15240411945268,15240512585798,81.592040,5.472637,201,164,11
15240512585798,15240613194402,77.114428,4.975124,201,155,10
15240613194402,15240713631820,69.346734,6.030151,199,138,12
15240713631820,15240814243668,80.099502,4.975124,201,161,10
15240814243668,15240914824437,74.874372,7.537688,199,149,15
15240914824437,15241015448097,82.000000,5.500000,200,164,11
15241015448097,15241115990154,82.500000,5.500000,200,165,11
15241115990154,15241216557679,80.904523,5.527638,199,161,11
15241216557679,15241317091877,80.000000,5.500000,200,160,11
15241317091877,15241417622022,77.611940,6.467662,201,156,13
15241417622022,15241518177124,79.000000,5.000000,200,158,10
15241518177124,15241618690166,82.914573,5.527638,199,165,11
15241618690166,15241719204011,81.500000,5.000000,200,163,10
15241719204011,15241819811477,80.099502,5.472637,201,161,11
15241819811477,15241920449630,40.500000,8.500000,200,81,17
15241920449630,15242020838741,38.500000,7.000000,200,77,14
15242020838741,15242121248135,41.871921,4.926108,203,85,10
15242121248135,15242221656573,79.500000,5.000000,200,159,10
15242221656573,15242322204473,81.909548,4.522613,199,163,9
15242322204473,15242422780662,50.253807,7.106599,197,99,14
15242422780662,15242523209003,51.741294,3.980100,201,104,8
15242523209003,15242623626311,74.371859,3.015075,199,148,6
15242623626311,15242724017214,37.128713,5.940594,202,75,12
15242724017214,15242824431824,36.000000,5.500000,200,72,11
15242824431824,15242924891294,74.384236,5.418719,203,151,11
15242924891294,15243025496962,70.854271,5.025126,199,141,10
15243025496962,15243125972237,40.298507,5.970149,201,81,12
15243125972237,15243226377800,45.728643,4.522613,199,91,9
15243226377800,15243326765686,81.000000,5.000000,200,162,10
15243326765686,15243427245358,57.500000,6.000000,200,115,12
15243427245358,15243527654168,40.909091,6.565657,198,81,13
15243527654168,15243628071599,53.731343,4.477612,201,108,9
15243628071599,15243728480568,82.000000,5.000000,200,164,10
15243728480568,15243828976406,47.263682,5.970149,201,95,12
15243828976406,15243929391503,39.195980,5.527638,199,78,11
15243929391503,15244029768155,69.154229,4.477612,201,139,9
15244029768155,15244130280389,81.592040,5.472637,201,164,11
15244130280389,15244230788237,39.593909,6.598985,197,78,13
15244230788237,15244331185242,42.079208,4.455446,202,85,9
15244331185242,15244431699160,78.000000,5.000000,200,156,10
15244431699160,15244532194330,76.119403,5.970149,201,153,12
15244532194330,15244632620075,25.888325,3.045685,197,51,6
15244632620075,15244733023378,69.306931,4.455446,202,140,9
15244733023378,15244833556978,58.000000,6.000000,200,116,12
15244833556978,15244933961908,44.278607,4.477612,201,89,9
15244933961908,15245034436859,81.909548,5.025126,199,163,10
15245034436859,15245134912365,43.216080,7.537688,199,86,15
15245134912365,15245235362538,71.000000,3.500000,200,142,7
15245235362538,15245335881751,87.500000,4.000000,200,175,8
15245335881751,15245436410708,84.079602,4.477612,201,169,9
15245436410708,15245537076821,85.000000,4.000000,200,170,8
15245537076821,15245637611625,83.582090,4.477612,201,168,9
15245637611625,15245738705476,85.000000,5.000000,200,170,10
15245738705476,15245839169981,84.653465,4.950495,202,171,10
15245839169981,15245939637379,83.417085,5.527638,199,166,11
15245939637379,15246040182445,85.572139,4.975124,201,172,10
15246040182445,15246140702407,87.878788,5.050505,198,174,10
15246140702407,15246241369014,85.074627,4.975124,201,171,10
15246241369014,15246341903983,78.500000,7.500000,200,157,15
15246341903983,15246442467292,81.500000,5.000000,200,163,10
15246442467292,15246543115857,85.074627,3.482587,201,171,7
15246543115857,15246643708627,87.000000,5.000000,200,174,10
15246643708627,15246744436007,86.633663,4.950495,202,175,10
15246744436007,15246844985311,86.069652,3.980100,201,173,8
15246844985311,15246945557486,82.741117,4.568528,197,163,9
15246945557486,15247046104437,85.643564,4.950495,202,173,10
15247046104437,15247146639942,87.562189,4.975124,201,176,10
15247146639942,15247247149986,86.934673,4.522613,199,173,9
15247247149986,15247347898177,88.059701,4.975124,201,177,10
15247347898177,15247448501544,84.653465,4.950495,202,171,10
15247448501544,15247549200565,86.500000,5.000000,200,173,10
15247549200565,15247649711213,84.079602,4.975124,201,169,10
15247649711213,15247750506514,85.572139,4.477612,201,172,9
15247750506514,15247851020293,86.500000,5.000000,200,173,10
15247851020293,15247951547754,82.412060,4.522613,199,164,9
15247951547754,15248052105398,84.653465,4.950495,202,171,10
15248052105398,15248152528422,85.929648,4.522613,199,171,9
15248152528422,15248252923613,83.500000,4.500000,200,167,9
15248252923613,15248353457073,85.148515,4.950495,202,172,10
15248353457073,15248454017857,79.000000,6.500000,200,158,13
15248454017857,15248554413925,61.194030,4.477612,201,123,9
15248554413925,15248654844465,68.000000,3.500000,200,136,7
15248654844465,15248755424652,44.221106,2.512563,199,88,5
15248755424652,15248855890939,67.821782,4.950495,202,137,10
15248855890939,15248957248844,58.128079,3.448276,203,118,7
15248957248844,15249058575163,66.176471,3.431373,204,135,7
15249058575163,15249159909786,65.671642,4.477612,201,132,9
