sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
15240311349380,15240411945268,201227,189980672,180793344,0,108658688,107876352
15240411945268,15240512585798,201227,299032576,288948224,0,109051904,108154880
15240512585798,15240613194402,201227,408084480,397238272,0,109051904,108290048
15240613194402,15240713631820,201227,514908160,503209984,0,106823680,105971712
15240713631820,15240814243668,201227,625139712,612540416,0,110231552,109330432
15240814243668,15240914824437,201227,733929472,720461824,0,108789760,107921408
15240914824437,15241015448097,201227,840097792,825942016,0,106168320,105480192
15241015448097,15241115990154,201227,949936128,934879232,0,109838336,108937216
15241115990154,15241216557679,201227,1058988032,1043070976,0,109051904,108191744
15241216557679,15241317091877,201227,1168171008,1151463424,0,109182976,108392448
15241317091877,15241417622022,201227,1287577600,1269850112,0,119406592,118386688
15241417622022,15241518177124,201227,1397940224,1379442688,0,110362624,109592576
15241518177124,15241618690166,201227,1508827136,1489412096,0,110886912,109969408
15241618690166,15241719204011,201227,1617223680,1596907520,0,108396544,107495424
15241719204011,15241819811477,201227,1728765952,1707679744,0,111542272,110772224
15241819811477,15241920449630,201227,1825890304,1803993088,0,97124352,96313344
15241920449630,15242020838741,201227,1923670016,1901101056,0,97779712,97107968
15242020838741,15242121248135,201227,2021187584,1997774848,0,97517568,96673792
15242121248135,15242221656573,201227,2132074496,2107850752,0,110886912,110075904
15242221656573,15242322204473,201227,2241781760,2216673280,0,109707264,108822528
15242322204473,15242422780662,201227,2340741120,2314936320,0,98959360,98263040
15242422780662,15242523209003,201227,2441404416,2414706688,0,100663296,99770368
15242523209003,15242623626311,201227,2548621312,2521210880,0,107216896,106504192
15242623626311,15242724017214,201227,2650071040,2621849600,0,101449728,100638720
15242724017214,15242824431824,201227,2751520768,2722488320,0,101449728,100638720
15242824431824,15242924891294,201227,2860703744,2830848000,0,109182976,108359680
15242924891294,15243025496962,201227,2972770304,2941952000,0,112066560,111104000
15243025496962,15243125972237,201227,3078021120,3046461440,0,105250816,104509440
15243125972237,15243226377800,201227,3178815488,3146518528,0,100794368,100057088
15243226377800,15243326765686,201227,3290882048,3257655296,0,112066560,111136768
15243326765686,15243427245358,201227,3397181440,3363069952,0,106299392,105414656
15243427245358,15243527654168,201227,3497713664,3462914048,0,100532224,99844096
15243527654168,15243628071599,201227,3608993792,3573366784,0,111280128,110452736
15243628071599,15243728480568,201227,3730497536,3693797376,0,121503744,120430592
15243728480568,15243828976406,201227,3839156224,3801710592,0,108658688,107913216
15243828976406,15243929391503,201227,3938115584,3899899904,0,98959360,98189312
15243929391503,15244029768155,201227,4045594624,4006518784,0,107479040,106618880
15244029768155,15244130280389,201227,4156088320,4116086784,0,110493696,109568000
15244130280389,15244230788237,201227,4255965184,4215283712,0,99876864,99196928
15244230788237,15244331185242,201227,4357545984,4316119040,0,101580800,100835328
15244331185242,15244431699160,201227,4464107520,4421812224,0,106561536,105693184
15244431699160,15244532194330,201227,4574076928,4530847744,0,109969408,109035520
15244532194330,15244632620075,201227,4670283776,4626399232,0,96206848,95551488
15244632620075,15244733023378,201227,4778287104,4733493248,0,108003328,107094016
15244733023378,15244833556978,201227,4881571840,4835999744,0,103284736,102506496
15244833556978,15244933961908,201227,4981448704,4935098368,0,99876864,99098624
15244933961908,15245034436859,201227,5094825984,5047656448,0,113377280,112558080
15245034436859,15245134912365,201227,5167661056,5120094208,0,72835072,72437760
15245134912365,15245235362538,201227,5167661056,5120094208,0,0,0
15245235362538,15245335881751,201227,5167661056,5120094208,0,0,0
15245335881751,15245436410708,201227,5167661056,5120094208,0,0,0
15245436410708,15245537076821,201227,5167661056,5120094208,0,0,0
15245537076821,15245637611625,201227,5167661056,5120094208,0,0,0
15245637611625,15245738705476,201227,5167661056,5120094208,0,0,0
15245738705476,15245839169981,201227,5167661056,5120094208,0,0,0
