sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
15325872580378,15325972919146,nvme0n1p8,211712,108396544,1030.259809,2,0.767400,77
15325972919146,15326073409717,nvme0n1p8,204544,104726528,993.874341,2,0.656778,66
15326073409717,15326173739006,nvme0n1p8,211712,108396544,1030.357147,0,0.677768,68
15326173739006,15326274110662,nvme0n1p8,212992,109051904,1036.149090,0,0.667519,67
15326274110662,15326374610614,nvme0n1p8,219136,112197632,1064.677125,1,0.646766,65
15326374610614,15326475161520,nvme0n1p8,218880,112066560,1062.894451,0,0.606658,61
15326475161520,15326575618837,nvme0n1p8,210688,107872256,1024.066769,2,0.656995,66
15326575618837,15326676091054,nvme0n1p8,214272,109707264,1041.332650,1,0.676804,68
15326676091054,15326776546884,nvme0n1p8,217600,111411200,1057.678783,1,0.686869,69
15326776546884,15326877004663,nvme0n1p8,215808,110493696,1048.948136,0,0.666947,67
15326877004663,15326977458950,nvme0n1p8,235264,120455168,1143.554978,0,0.597287,60
15326977458950,15327077888119,nvme0n1p8,219648,112459776,1067.916832,1,0.627308,63
15327077888119,15327178338547,nvme0n1p8,212224,108658688,1031.603370,0,0.676951,68
15327178338547,15327278907177,nvme0n1p8,199424,102105088,968.244273,1,0.616494,62
15327278907177,15327379381940,nvme0n1p8,202496,103677952,984.077962,0,0.636976,64
15327379381940,15327479722615,nvme0n1p8,188672,96600064,918.122187,0,0.597963,60
15327479722615,15327580015408,nvme0n1p8,191744,98172928,933.516728,0,0.618190,62
15327580015408,15327680361209,nvme0n1p8,211968,108527616,1031.433293,0,0.687622,69
15327680361209,15327780836867,nvme0n1p8,211200,108134400,1026.367999,1,0.676781,68
15327780836867,15327881247971,nvme0n1p8,192256,98435072,934.906562,0,0.607503,61
15327881247971,15327981659426,nvme0n1p8,185344,94896128,901.291591,0,0.587582,59
15327981659426,15328082082655,nvme0n1p8,214272,109707264,1041.840628,1,0.707008,71
15328082082655,15328182592502,nvme0n1p8,213248,109182976,1035.968147,1,0.676551,68
15328182592502,15328282993220,nvme0n1p8,201728,103284736,981.068681,1,0.517925,52
15328282993220,15328383413867,nvme0n1p8,206080,105512960,1002.034970,1,0.557654,56
15328383413867,15328484026162,nvme0n1p8,218112,111673344,1058.518743,2,0.705679,71
15328484026162,15328584454693,nvme0n1p8,212736,108920832,1034.317628,1,0.607397,61
15328584454693,15328684852982,nvme0n1p8,208384,106692608,1013.463486,1,0.537858,54
15328684852982,15328785283809,nvme0n1p8,204032,104464384,991.976298,2,0.627297,63
15328785283809,15328885900891,nvme0n1p8,217344,111280128,1054.741381,2,0.695707,70
15328885900891,15328986400247,nvme0n1p8,191744,98172928,931.598009,1,0.606969,61
15328986400247,15329086783583,nvme0n1p8,194816,99745792,947.617441,1,0.597709,60
15329086783583,15329187197657,nvme0n1p8,223744,114556928,1087.994896,0,0.577608,58
15329187197657,15329287829909,nvme0n1p8,238848,122290176,1158.922688,1,0.616105,62
