sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
16199500178344,16199600594574,83.000000,5.500000,200,166,11
16199600594574,16199701178264,83.417085,5.025126,199,166,10
16199701178264,16199801699654,82.673267,5.445545,202,167,11
16199801699654,16199902169416,81.818182,6.565657,198,162,13
16199902169416,16200002669341,82.500000,5.500000,200,165,11
16200002669341,16200103083640,77.611940,4.975124,201,156,10
16200103083640,16200203608020,83.500000,5.500000,200,167,11
16200203608020,16200304104810,83.500000,5.000000,200,167,10
16200304104810,16200404529969,74.626866,6.965174,201,150,14
16200404529969,16200505036465,81.683168,5.445545,202,165,11
16200505036465,16200605473165,84.343434,5.050505,198,167,10
16200605473165,16200705947326,83.000000,5.000000,200,166,10
16200705947326,16200806377627,84.000000,5.500000,200,168,11
16200806377627,16200906938834,68.159204,4.477612,201,137,9
16200906938834,16201007375053,81.000000,6.500000,200,162,13
16201007375053,16201107796242,81.500000,5.000000,200,163,10
16201107796242,16201208245971,81.773399,4.926108,203,166,10
16201208245971,16201308824831,42.929293,6.060606,198,85,12
16201308824831,16201409177700,35.323383,7.462687,201,71,15
16201409177700,16201509493777,47.738693,4.020101,199,95,8
16201509493777,16201609814028,83.000000,5.000000,200,166,10
16201609814028,16201710199002,83.000000,5.500000,200,166,11
16201710199002,16201810502347,72.222222,6.060606,198,143,12
16201810502347,16201910891947,43.283582,4.477612,201,87,9
16201910891947,16202011308702,75.252525,4.545455,198,149,9
16202011308702,16202111798987,66.169154,5.472637,201,133,11
16202111798987,16202212205125,41.089109,5.445545,202,83,11
16202212205125,16202312629411,79.000000,4.500000,200,158,9
16202312629411,16202413117362,52.736318,4.975124,201,106,10
16202413117362,16202513518769,71.859296,5.527638,199,143,11
16202513518769,16202613902395,39.108911,6.930693,202,79,14
16202613902395,16202714319131,73.134328,3.980100,201,147,8
16202714319131,16202814838529,67.661692,4.975124,201,136,10
16202814838529,16202915234530,42.211055,5.025126,199,84,10
16202915234530,16203015640583,79.500000,5.000000,200,159,10
16203015640583,16203116139739,60.301508,5.527638,199,120,11
16203116139739,16203216538117,45.685279,3.553299,197,90,7
16203216538117,16203316976615,83.500000,5.000000,200,167,10
16203316976615,16203417488303,45.500000,6.500000,200,91,13
16203417488303,16203517889462,55.721393,4.975124,201,112,10
16203517889462,16203618434105,83.500000,5.000000,200,167,10
16203618434105,16203718900081,44.278607,5.970149,201,89,12
16203718900081,16203819281201,64.321608,4.020101,199,128,8
16203819281201,16203919774474,79.000000,5.500000,200,158,11
16203919774474,16204020234609,41.000000,6.000000,200,82,12
16204020234609,16204120639149,67.661692,4.975124,201,136,10
16204120639149,16204221131344,69.154229,4.975124,201,139,10
16204221131344,16204321508624,42.211055,5.025126,199,84,10
16204321508624,16204422023776,73.631841,4.975124,201,148,10
16204422023776,16204522500071,60.696517,6.965174,201,122,14
16204522500071,16204622892060,46.733668,3.517588,199,93,7
16204622892060,16204723294639,82.089552,5.472637,201,165,11
16204723294639,16204823773176,57.360406,5.583756,197,113,11
16204823773176,16204924168605,56.218905,3.482587,201,113,7
16204924168605,16205024588960,87.064677,4.477612,201,175,9
16205024588960,16205124964173,83.582090,4.975124,201,168,10
16205124964173,16205225523787,87.939698,4.522613,199,175,9
16205225523787,16205326024153,87.128713,5.445545,202,176,11
16205326024153,16205426698560,81.094527,4.975124,201,163,10
16205426698560,16205527265170,86.069652,4.975124,201,173,10
16205527265170,16205627809969,88.000000,5.000000,200,176,10
16205627809969,16205728463199,88.059701,4.975124,201,177,10
16205728463199,16205829126281,88.059701,4.975124,201,177,10
16205829126281,16205929766960,84.000000,5.500000,200,168,11
16205929766960,16206030321802,80.099502,5.970149,201,161,12
16206030321802,16206130808542,81.313131,6.060606,198,161,12
