sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
16281983306566,16282083828122,nvme0n1p8,190464,97517568,925.174696,0,0.666524,67
16282083828122,16282184437617,nvme0n1p8,179200,91750400,869.699227,0,0.576486,58
16282184437617,16282285014345,nvme0n1p8,185856,95158272,902.296205,1,0.606502,61
16282285014345,16282385548796,nvme0n1p8,186112,95289344,903.918996,0,0.576917,58
16282385548796,16282486096711,nvme0n1p8,178944,91619328,868.988681,0,0.576839,58
16282486096711,16282586638735,nvme0n1p8,203776,104333312,989.635936,0,0.566927,57
16282586638735,16282687179442,nvme0n1p8,216832,111017984,1053.056052,0,0.636558,64
16282687179442,16282787713383,nvme0n1p8,215040,110100480,1044.423395,0,0.666442,67
16282787713383,16282888242165,nvme0n1p8,200960,102891520,976.088619,2,0.656528,66
16282888242165,16282988656884,nvme0n1p8,211712,108396544,1029.480549,1,0.667233,67
16282988656884,16283089098572,nvme0n1p8,219648,112459776,1067.783727,1,0.706878,71
16283089098572,16283189623640,nvme0n1p8,237568,121634816,1153.941025,0,0.626709,63
16283189623640,16283290018218,nvme0n1p8,219648,112459776,1068.284783,0,0.677327,68
16283290018218,16283390423042,nvme0n1p8,216832,111017984,1054.481207,1,0.707137,71
16283390423042,16283490979978,nvme0n1p8,213248,109182976,1035.483022,0,0.676234,68
16283490979978,16283591491178,nvme0n1p8,196096,100401152,952.630155,1,0.606898,61
16283591491178,16283691902445,nvme0n1p8,193024,98828288,938.639685,0,0.617461,62
16283691902445,16283792433790,nvme0n1p8,199936,102367232,971.090161,2,0.636617,64
16283792433790,16283892919863,nvme0n1p8,216832,111017984,1053.628596,1,0.676711,68
16283892919863,16283993436559,nvme0n1p8,203776,104333312,989.885302,0,0.636710,64
16283993436559,16284093837934,nvme0n1p8,190464,97517568,926.282135,0,0.607561,61
16284093837934,16284194249059,nvme0n1p8,198912,101842944,967.273298,0,0.637380,64
16284194249059,16284294723407,nvme0n1p8,214016,109576192,1040.066466,0,0.666837,67
16284294723407,16284395250634,nvme0n1p8,197632,101187584,959.938943,0,0.576958,58
16284395250634,16284495662029,nvme0n1p8,207616,106299392,1009.596570,0,0.527829,53
16284495662029,16284596017436,nvme0n1p8,210176,107610112,1022.615553,2,0.607840,61
16284596017436,16284696543278,nvme0n1p8,220672,112984064,1071.863691,0,0.706286,71
16284696543278,16284797017390,nvme0n1p8,210432,107741184,1022.651487,0,0.547405,55
16284797017390,16284897498884,nvme0n1p8,208896,106954752,1015.112295,1,0.567269,57
16284897498884,16284997887317,nvme0n1p8,208640,106823680,1014.808150,1,0.657446,66
16284997887317,16285098518431,nvme0n1p8,216832,111017984,1052.109987,2,0.695610,70
16285098518431,16285199017016,nvme0n1p8,193280,98959360,939.067948,0,0.606974,61
16285199017016,16285299411510,nvme0n1p8,195584,100139008,951.247386,0,0.557800,56
16285299411510,16285399876663,nvme0n1p8,231424,118489088,1124.768107,0,0.577315,58
16285399876663,16285500583118,nvme0n1p8,224256,114819072,1087.318584,0,0.575931,58
16285500583118,16285600987719,nvme0n1p8,200448,102629376,974.805925,1,0.547784,55
16285600987719,16285701421221,nvme0n1p8,197888,101318656,962.079367,0,0.627281,63
16285701421221,16285801958588,nvme0n1p8,216320,110755840,1050.604399,1,0.676365,68
16285801958588,16285902463967,nvme0n1p8,203008,103940096,986.265621,1,0.646732,65
16285902463967,16286002871030,nvme0n1p8,192768,98697216,937.434053,1,0.617486,62
16286002871030,16286103445830,nvme0n1p8,198144,101449728,961.970593,2,0.636342,64
16286103445830,16286203899290,nvme0n1p8,217088,111149056,1055.215022,1,0.676930,68
16286203899290,16286304353207,nvme0n1p8,196352,100532224,954.417736,0,0.607244,61
16286304353207,16286404777357,nvme0n1p8,201984,103415808,982.084489,1,0.587508,59
16286404777357,16286505174350,nvme0n1p8,203520,104202240,989.820482,0,0.647430,65
16286505174350,16286605582246,nvme0n1p8,216320,110755840,1051.959101,0,0.677238,68
16286605582246,16286706142993,nvme0n1p8,203520,104202240,988.208650,1,0.636431,64
16286706142993,16286806478942,nvme0n1p8,193792,99221504,943.081726,1,0.627891,63
16286806478942,16286906986455,nvme0n1p8,116656,59727872,566.733131,0,0.378081,38
16286906986455,16287007543250,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287007543250,16287108149798,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287108149798,16287208758060,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287208758060,16287309396041,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287309396041,16287409917137,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287409917137,16287510443942,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287510443942,16287610985176,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287610985176,16287711602183,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287711602183,16287812138976,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287812138976,16287912786837,nvme0n1p8,0,0,0.000000,0,0.000000,0
16287912786837,16288013433636,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288013433636,16288114148883,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288114148883,16288214701943,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288214701943,16288315333592,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288315333592,16288415903439,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288415903439,16288516471614,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288516471614,16288617054204,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288617054204,16288717583782,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288717583782,16288821136305,nvme0n1p8,72,36864,0.339502,0,0.057942,6
16288821136305,16288921763501,nvme0n1p8,0,0,0.000000,0,0.000000,0
16288921763501,16289022301694,nvme0n1p8,0,0,0.000000,0,0.000000,0
16289022301694,16289122931621,nvme0n1p8,0,0,0.000000,0,0.000000,0
16289122931621,16289223463708,nvme0n1p8,517600,265011200,2513.967257,1,1.153860,116
16289223463708,16289324108904,nvme0n1p8,560384,286916608,2718.708998,1,1.112820,112
16289324108904,16289424748360,nvme0n1p8,536616,274747392,2603.546776,2,1.043328,105
16289424748360,16289525313834,nvme0n1p8,92040,47124480,446.887033,1,0.298313,30
16289525313834,16289625957288,nvme0n1p8,359392,184008704,1743.624330,0,0.705461,71
16289625957288,16289726527092,nvme0n1p8,26848,13746176,130.351005,0,0.119320,12
16289726527092,16289827205140,nvme0n1p8,25856,13238272,125.399730,0,0.089394,9
16289827205140,16289927824461,nvme0n1p8,4688,2400256,22.749731,0,0.019877,2
16289927824461,16290028373313,nvme0n1p8,0,0,0.000000,0,0.000000,0
16290028373313,16290128905328,nvme0n1p8,0,0,0.000000,0,0.000000,0
16290128905328,16290229478884,nvme0n1p8,10080,5160960,48.938063,0,0.099430,10
16290229478884,16290330169326,nvme0n1p8,0,0,0.000000,0,0.000000,0
16290330169326,16290430847860,nvme0n1p8,0,0,0.000000,0,0.000000,0
16290430847860,16290531887180,nvme0n1p8,9392,4808704,45.387652,14,7.591104,767
16290531887180,16290633200672,nvme0n1p8,24656,12623872,118.829805,60,9.702558,983
16290633200672,16290734256832,nvme0n1p8,28688,14688256,138.614138,0,8.025241,811
16290734256832,16290835518790,nvme0n1p8,26400,13516800,127.299780,0,5.075944,514
16290835518790,16290936593370,nvme0n1p8,24616,12603392,118.917449,22,3.482577,352
16290936593370,16291037853571,nvme0n1p8,26080,13352960,125.758935,0,2.824407,286
16291037853571,16291139112772,nvme0n1p8,23864,12218368,115.074419,53,1.836870,186
16291139112772,16291240414803,nvme0n1p8,26400,13516800,127.249423,0,2.132238,216
16291240414803,16291341623798,nvme0n1p8,25984,13303808,125.359411,0,1.847662,187
16291341623798,16291443067886,nvme0n1p8,23968,12271616,115.365274,0,1.675800,170
16291443067886,16291544386897,nvme0n1p8,25656,13135872,123.642578,0,1.855525,188
16291544386897,16291645524325,nvme0n1p8,27528,14094336,132.902393,0,1.888519,191
16291645524325,16291746712099,nvme0n1p8,28112,14393344,135.654358,0,1.828284,185
16291746712099,16291847930906,nvme0n1p8,27856,14262272,134.377819,0,1.807964,183
16291847930906,16291949241432,nvme0n1p8,31240,15994880,150.565858,0,1.954387,198
16291949241432,16292050515915,nvme0n1p8,25816,13217792,124.468359,0,1.648984,167
16292050515915,16292151963086,nvme0n1p8,29112,14905344,140.120652,22,1.774323,180
16292151963086,16292253147614,nvme0n1p8,24104,12341248,116.317499,0,1.541738,156
16292253147614,16292354461591,nvme0n1p8,24392,12488704,117.556892,0,1.579249,160
16292354461591,16292455941789,nvme0n1p8,27360,14008320,131.645141,0,1.754037,178
16292455941789,16292557221753,nvme0n1p8,28312,14495744,136.495099,0,1.757505,178
16292557221753,16292658787148,nvme0n1p8,24024,12300288,115.496708,0,1.545802,157
16292658787148,16292759984693,nvme0n1p8,25912,13266944,125.026193,0,1.571184,159
16292759984693,16292861347014,nvme0n1p8,25264,12935168,121.701411,0,1.647555,167
16292861347014,16292962530930,nvme0n1p8,30464,15597568,147.009531,0,1.848120,187
16292962530930,16293063888551,nvme0n1p8,29160,14929920,140.475685,0,1.785756,181
16293063888551,16293165056939,nvme0n1p8,25352,12980224,122.359430,0,1.710020,173
16293165056939,16293266244947,nvme0n1p8,26024,13324288,125.578431,0,1.838162,186
16293266244947,16293367234387,nvme0n1p8,26080,13352960,126.096105,0,1.663540,168
16293367234387,16293468528494,nvme0n1p8,25256,12931072,121.744804,0,1.589431,161
16293468528494,16293569844755,nvme0n1p8,28304,14491648,136.407644,0,1.747005,177
16293569844755,16293671212030,nvme0n1p8,26312,13471744,126.743629,0,1.617879,164
16293671212030,16293772571522,nvme0n1p8,30488,15609856,146.870495,0,2.032370,206
16293772571522,16293873828399,nvme0n1p8,25640,13127680,123.641294,0,1.609767,163
16293873828399,16293975112575,nvme0n1p8,29992,15355904,144.588541,0,1.846290,187
16293975112575,16294076391890,nvme0n1p8,27528,14094336,132.716204,0,1.639032,166
16294076391890,16294177753684,nvme0n1p8,30760,15749120,148.177441,0,1.913936,194
16294177753684,16294278976293,nvme0n1p8,26968,13807616,130.089205,0,1.639950,166
16294278976293,16294380187029,nvme0n1p8,25936,13279232,125.125683,0,1.620381,164
16294380187029,16294481346491,nvme0n1p8,26432,13533184,127.583221,0,1.759598,178
16294481346491,16294582605496,nvme0n1p8,25472,13041664,122.828582,0,1.599858,162
16294582605496,16294683975799,nvme0n1p8,25384,12996608,122.269845,0,1.677020,170
16294683975799,16294785312859,nvme0n1p8,23424,11993088,112.865915,0,1.519681,154
16294785312859,16294886603894,nvme0n1p8,25928,13275136,124.987925,0,1.727695,175
16294886603894,16294987916498,nvme0n1p8,23528,12046336,113.394393,0,1.559530,158
