sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
44792513973088,44792614531968,nvme0n1p8,422912,216530944,2053.523269,1,0.725943,73
44792614531968,44792715145479,nvme0n1p8,399360,204472320,1938.109485,0,0.695732,70
44792715145479,44792815720253,nvme0n1p8,405504,207618048,1968.684513,1,0.686057,69
44792815720253,44792916392789,nvme0n1p8,411648,210763776,1996.572332,1,0.715190,72
44792916392789,44793017077735,nvme0n1p8,402432,206045184,1951.632372,1,0.685306,69
44793017077735,44793117615784,nvme0n1p8,197032,100880384,956.921605,0,0.338180,34
44793117615784,44793218358601,nvme0n1p8,57640,29511680,279.370104,1,0.248157,25
44793218358601,44793319015083,nvme0n1p8,351616,180027392,1705.677534,0,0.665630,67
44793319015083,44793419636560,nvme0n1p8,247008,126468096,1198.644450,0,0.506850,51
44793419636560,44793520220034,nvme0n1p8,161832,82857984,785.611474,0,0.308202,31
44793520220034,44793620837401,nvme0n1p8,34048,17432576,165.229925,0,0.129202,13
44793620837401,44793721521374,nvme0n1p8,102504,52482048,497.107730,224,67.210300,6767
44793721521374,44793822134609,nvme0n1p8,577872,295870464,2804.442800,246,245.186431,24669
44793822134609,44793922702623,nvme0n1p8,573992,293883904,2786.865526,278,243.566508,24495
44793922702623,44794023381812,nvme0n1p8,577960,295915520,2803.032425,207,243.754447,24541
44794023381812,44794123934718,nvme0n1p8,569856,291766272,2767.199985,222,244.886011,24624
44794123934718,44794224518075,nvme0n1p8,579008,296452096,2810.790557,249,244.434077,24586
44794224518075,44794325139065,nvme0n1p8,573896,293834752,2784.932411,183,246.628462,24816
44794325139065,44794425730023,nvme0n1p8,575456,294633472,2793.336306,223,243.709778,24515
44794425730023,44794526339528,nvme0n1p8,567864,290746368,2755.975628,231,246.418070,24792
44794526339528,44794627024056,nvme0n1p8,572808,293277696,2777.898569,167,242.678796,24434
44794627024056,44794727735750,nvme0n1p8,572432,293085184,2775.326294,224,231.889655,23354
44794727735750,44794828420262,nvme0n1p8,572048,292888576,2774.213302,271,245.737895,24742
44794828420262,44794928999905,nvme0n1p8,574512,294150144,2789.067739,176,242.285608,24369
44794928999905,44795029507618,nvme0n1p8,576112,294969344,2798.836817,190,242.558499,24379
44795029507618,44795130107981,nvme0n1p8,569784,291729408,2765.545128,268,243.438485,24490
44795130107981,44795230722884,nvme0n1p8,574120,293949440,2786.187959,225,244.347500,24585
44795230722884,44795331312764,nvme0n1p8,572496,293117952,2778.997872,270,244.288988,24573
44795331312764,44795431892224,nvme0n1p8,572456,293097472,2779.091588,258,244.185045,24560
44795431892224,44795532341581,nvme0n1p8,233624,119615488,1135.639114,0,100.110148,10056
44795532341581,44795632974595,nvme0n1p8,0,0,0.000000,0,0.000000,0
44795632974595,44795733634044,nvme0n1p8,0,0,0.000000,0,0.000000,0
44795733634044,44795834210223,nvme0n1p8,0,0,0.000000,0,0.000000,0
44795834210223,44795934812675,nvme0n1p8,0,0,0.000000,0,0.000000,0
44795934812675,44796035388628,nvme0n1p8,78128,40001536,379.299787,0,0.308225,31
44796035388628,44796135963735,nvme0n1p8,0,0,0.000000,0,0.000000,0
44796135963735,44796236539317,nvme0n1p8,0,0,0.000000,0,0.000000,0
44796236539317,44796337253580,nvme0n1p8,0,0,0.000000,0,0.000000,0
44796337253580,44796437920358,nvme0n1p8,0,0,0.000000,0,0.000000,0
44796437920358,44796538581985,nvme0n1p8,0,0,0.000000,0,0.000000,0
