sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
294902359548840,294902460163781,80.891720,0.000000,157,127,0
294902460163781,294902560630294,79.113924,0.000000,158,125,0
294902560630294,294902661086584,79.746835,0.000000,158,126,0
294902661086584,294902761520489,79.617834,0.000000,157,125,0
294902761520489,294902861978257,77.215190,0.000000,158,122,0
294902861978257,294902962419275,79.113924,0.000000,158,125,0
294902962419275,294903062859686,79.746835,0.000000,158,126,0
294903062859686,294903163301846,79.245283,0.000000,159,126,0
294903163301846,294903263737498,80.379747,0.000000,158,127,0
294903263737498,294903364230001,79.113924,0.000000,158,125,0
294903364230001,294903464714369,77.358491,1.886792,159,123,3
294903464714369,294903565216435,79.113924,0.000000,158,125,0
294903565216435,294903665724968,79.874214,0.000000,159,127,0
294903665724968,294903766150295,78.481013,0.000000,158,124,0
294903766150295,294903866579375,77.215190,0.632911,158,122,1
294903866579375,294903966998424,79.113924,0.000000,158,125,0
294903966998424,294904067536288,79.617834,0.000000,157,125,0
294904067536288,294904167912613,79.245283,0.000000,159,126,0
294904167912613,294904268327160,79.746835,0.000000,158,126,0
294904268327160,294904368647095,79.113924,0.000000,158,125,0
294904368647095,294904468964270,79.746835,0.000000,158,126,0
294904468964270,294904569330290,79.113924,0.000000,158,125,0
294904569330290,294904669662420,79.245283,0.000000,159,126,0
294904669662420,294904770034391,78.481013,0.000000,158,124,0
294904770034391,294904870481857,77.358491,0.000000,159,123,0
294904870481857,294904970912823,79.617834,0.000000,157,125,0
294904970912823,294905071340978,79.245283,0.000000,159,126,0
294905071340978,294905171761379,80.254777,0.000000,157,126,0
294905171761379,294905272192886,80.379747,0.000000,158,127,0
294905272192886,294905372598229,78.125000,0.000000,160,125,0
294905372598229,294905473032053,79.874214,0.000000,159,127,0
294905473032053,294905573459695,79.113924,0.000000,158,125,0
294905573459695,294905673879507,80.379747,0.000000,158,127,0
294905673879507,294905774369472,79.113924,0.000000,158,125,0
294905774369472,294905874798408,77.848101,0.000000,158,123,0
294905874798408,294905975230693,75.776398,0.000000,161,122,0
294905975230693,294906075676719,79.375000,0.000000,160,127,0
294906075676719,294906176114194,79.617834,0.000000,157,125,0
294906176114194,294906276540077,79.746835,0.000000,158,126,0
294906276540077,294906377027206,84.276730,0.000000,159,134,0
294906377027206,294906477429805,91.925466,0.000000,161,148,0
294906477429805,294906577824302,93.081761,0.000000,159,148,0
294906577824302,294906678213494,92.592593,0.000000,162,150,0
294906678213494,294906778672796,93.081761,0.000000,159,148,0
294906778672796,294906879050449,90.625000,0.000000,160,145,0
294906879050449,294906979432615,91.875000,0.000000,160,147,0
294906979432615,294907079805352,92.500000,0.000000,160,148,0
294907079805352,294907180197572,92.452830,0.628931,159,147,1
294907180197572,294907280544034,92.592593,0.000000,162,150,0
294907280544034,294907380934684,92.452830,0.000000,159,147,0
294907380934684,294907481326373,93.750000,0.000000,160,150,0
294907481326373,294907581728129,89.308176,0.000000,159,142,0
294907581728129,294907682102781,90.683230,0.000000,161,146,0
294907682102781,294907782434858,91.875000,0.000000,160,147,0
294907782434858,294907882802606,91.250000,0.000000,160,146,0
