sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
294637680950430,294637781472625,sda,0,0,0.000000,0,0.000000,0
294637781472625,294637881815346,sda,0,0,0.000000,0,0.000000,0
294637881815346,294637982142619,sda,0,0,0.000000,0,0.000000,0
294637982142619,294638082508482,sda,0,0,0.000000,0,0.000000,0
294638082508482,294638182843311,sda,0,0,0.000000,0,0.000000,0
294638182843311,294638283211074,sda,0,0,0.000000,0,0.000000,0
294638283211074,294638383569917,sda,0,0,0.000000,0,0.000000,0
294638383569917,294638483928994,sda,0,0,0.000000,0,0.000000,0
294638483928994,294638584323478,sda,0,0,0.000000,0,0.000000,0
294638584323478,294638684660902,sda,0,0,0.000000,0,0.000000,0
294638684660902,294638785033097,sda,0,0,0.000000,0,0.000000,0
294638785033097,294638885393095,sda,0,0,0.000000,0,0.000000,0
294638885393095,294638985715262,sda,0,0,0.000000,0,0.000000,0
294638985715262,294639086093507,sda,0,0,0.000000,0,0.000000,0
294639086093507,294639186433139,sda,0,0,0.000000,0,0.000000,0
294639186433139,294639286749208,sda,0,0,0.000000,0,0.000000,0
294639286749208,294639387188674,sda,0,0,0.000000,0,0.000000,0
294639387188674,294639487555919,sda,0,0,0.000000,0,0.000000,0
294639487555919,294639587943724,sda,0,0,0.000000,0,0.000000,0
294639587943724,294639688368709,sda,0,0,0.000000,0,0.000000,0
294639688368709,294639788819801,sda,0,0,0.000000,0,0.000000,0
294639788819801,294639889292388,sda,0,0,0.000000,0,0.000000,0
294639889292388,294639989601544,sda,0,0,0.000000,0,0.000000,0
294639989601544,294640089988222,sda,0,0,0.000000,0,0.000000,0
294640089988222,294640190388824,sda,0,0,0.000000,0,0.000000,0
294640190388824,294640290772467,sda,0,0,0.000000,0,0.000000,0
294640290772467,294640391171728,sda,0,0,0.000000,0,0.000000,0
294640391171728,294640491560918,sda,0,0,0.000000,0,0.000000,0
294640491560918,294640591887313,sda,0,0,0.000000,0,0.000000,0
294640591887313,294640692314342,sda,0,0,0.000000,0,0.000000,0
294640692314342,294640792643334,sda,0,0,0.000000,0,0.000000,0
294640792643334,294640893101162,sda,0,0,0.000000,0,0.000000,0
294640893101162,294640993528481,sda,0,0,0.000000,0,0.000000,0
294640993528481,294641093891017,sda,0,0,0.000000,0,0.000000,0
294641093891017,294641194212239,sda,0,0,0.000000,0,0.000000,0
294641194212239,294641294523985,sda,0,0,0.000000,0,0.000000,0
294641294523985,294641394844357,sda,0,0,0.000000,0,0.000000,0
294641394844357,294641495287687,sda,0,0,0.000000,0,0.000000,0
294641495287687,294641595715621,sda,0,0,0.000000,0,0.000000,0
294641595715621,294641696143579,sda,0,0,0.000000,0,0.000000,0
294641696143579,294641796497899,sda,0,0,0.000000,0,0.000000,0
294641796497899,294641896890062,sda,0,0,0.000000,0,0.000000,0
294641896890062,294641997242728,sda,0,0,0.000000,0,0.000000,0
294641997242728,294642097620405,sda,0,0,0.000000,0,0.000000,0
294642097620405,294642197998776,sda,0,0,0.000000,0,0.000000,0
294642197998776,294642298400143,sda,0,0,0.000000,0,0.000000,0
294642298400143,294642398738507,sda,0,0,0.000000,0,0.000000,0
294642398738507,294642499126427,sda,0,0,0.000000,0,0.000000,0
294642499126427,294642599467149,sda,0,0,0.000000,0,0.000000,0
294642599467149,294642699865144,sda,0,0,0.000000,0,0.000000,0
294642699865144,294642800217561,sda,0,0,0.000000,0,0.000000,0
294642800217561,294642900616463,sda,0,0,0.000000,0,0.000000,0
294642900616463,294643000994282,sda,0,0,0.000000,0,0.000000,0
294643000994282,294643101382427,sda,0,0,0.000000,0,0.000000,0
294643101382427,294643201766364,sda,0,0,0.000000,0,0.000000,0
294643201766364,294643302195026,sda,0,0,0.000000,0,0.000000,0
294643302195026,294643402573969,sda,0,0,0.000000,0,0.000000,0
294643402573969,294643502939140,sda,0,0,0.000000,0,0.000000,0
294643502939140,294643603280122,sda,0,0,0.000000,0,0.000000,0
294643603280122,294643703657492,sda,0,0,0.000000,0,0.000000,0
294643703657492,294643804034288,sda,0,0,0.000000,0,0.000000,0
294643804034288,294643904432681,sda,0,0,0.000000,0,0.000000,0
294643904432681,294644004810380,sda,0,0,0.000000,0,0.000000,0
294644004810380,294644105223541,sda,0,0,0.000000,0,0.000000,0
294644105223541,294644205574421,sda,0,0,0.000000,0,0.000000,0
294644205574421,294644305918988,sda,0,0,0.000000,0,0.000000,0
294644305918988,294644406255364,sda,0,0,0.000000,0,0.000000,0
294644406255364,294644506775742,sda,0,0,0.000000,0,0.000000,0
294644506775742,294644607095527,sda,0,0,0.000000,0,0.000000,0
294644607095527,294644707450207,sda,0,0,0.000000,0,0.000000,0
294644707450207,294644807770886,sda,0,0,0.000000,0,0.000000,0
294644807770886,294644908216605,sda,0,0,0.000000,0,0.000000,0
294644908216605,294645008645948,sda,0,0,0.000000,0,0.000000,0
294645008645948,294645109255363,sda,14856,7606272,72.099676,0,19.829158,1995
294645109255363,294645209952100,sda,15088,7725056,73.162127,0,10.834512,1091
294645209952100,294645310608671,sda,15104,7733248,73.268937,0,9.944706,1001
294645310608671,294645411363770,sda,15304,7835648,74.166532,0,8.168321,823
294645411363770,294645511945328,sda,16024,8204288,77.789795,0,12.129460,1220
294645511945328,294645612606702,sda,13832,7081984,67.095312,0,8.265335,832
294645612606702,294645713393036,sda,13456,6889472,65.190510,0,7.610159,767
294645713393036,294645814175031,sda,15488,7929856,75.038205,0,8.553115,862
294645814175031,294645914902335,sda,13528,6926336,65.577738,0,7.694041,775
294645914902335,294646015703145,sda,13792,7061504,66.808739,0,8.531677,860
294646015703145,294646116476765,sda,14744,7548928,71.439517,0,12.165882,1226
294646116476765,294646217308543,sda,12920,6615040,62.565531,0,8.330707,840
294646217308543,294646318072745,sda,13152,6733824,63.731711,0,10.102794,1018
294646318072745,294646418800737,sda,14776,7565312,71.626999,0,8.478279,854
294646418800737,294646519433602,sda,15216,7790592,73.829633,0,13.872208,1396
294646519433602,294646620164932,sda,11928,6107136,57.819337,0,10.344349,1042
294646620164932,294646720740426,sda,15240,7802880,73.988264,0,10.300720,1036
294646720740426,294646821424391,sda,14368,7356416,69.679665,0,8.481986,854
294646821424391,294646922050543,sda,14760,7557120,71.621851,0,7.741526,779
294646922050543,294647022696380,sda,14792,7573504,71.763090,0,8.425584,848
294647022696380,294647123560877,sda,13616,6971392,65.914546,0,7.624090,769
294647123560877,294647224338657,sda,16536,8466432,80.119038,0,8.523704,859
294647224338657,294647325041542,sda,15584,7979008,75.562632,0,8.907391,897
294647325041542,294647425895729,sda,13128,6721536,63.558653,0,7.714107,778
294647425895729,294647526600436,sda,17456,8937472,84.637926,0,13.723291,1382
294647526600436,294647627218059,sda,16840,8622080,81.721830,0,9.342300,940
294647627218059,294647727851159,sda,14576,7462912,70.724121,0,8.178224,823
294647727851159,294647828620644,sda,11904,6094848,57.681152,0,6.807616,686
294647828620644,294647929562461,sda,16056,8220672,77.666957,0,12.086170,1220
294647929562461,294648030226884,sda,12376,6336512,60.030829,0,7.410761,746
294648030226884,294648130826251,sda,12912,6610944,62.671244,0,9.065663,912
294648130826251,294648231480902,sda,15064,7712768,73.076293,0,10.839042,1091
294648231480902,294648332032659,sda,15048,7704576,73.073375,0,9.706444,976
294648332032659,294648432765151,sda,12432,6365184,60.261713,0,7.485172,754
294648432765151,294648533564859,sda,15024,7692288,72.777369,0,8.313516,838
294648533564859,294648634385839,sda,13592,6959104,65.826763,0,7.329824,739
294648634385839,294648735029298,sda,18160,9297920,88.104956,0,10.800503,1087
294648735029298,294648835770913,sda,14984,7671808,72.625461,0,8.596249,866
294648835770913,294648936708479,sda,13328,6823936,64.473642,0,7.479871,755
294648936708479,294649037470860,sda,14528,7438336,70.400778,0,8.276898,834
294649037470860,294649138221652,sda,14584,7467008,70.680276,0,9.210846,928
294649138221652,294649238973771,sda,14584,7467008,70.679345,0,8.922889,899
294649238973771,294649339749190,sda,16120,8253440,78.105294,0,9.228441,930
294649339749190,294649440569009,sda,13344,6832128,64.626430,0,8.470557,854
294649440569009,294649541254516,sda,13840,7086080,67.118026,0,7.925669,798
294649541254516,294649641872832,sda,16792,8597504,81.488332,0,11.826873,1190
294649641872832,294649742690728,sda,15784,8081408,76.445071,0,8.956743,903
294649742690728,294649843425236,sda,13152,6733824,63.750497,0,8.835105,890
294649843425236,294649944186205,sda,11976,6131712,58.034935,0,8.157921,822
294649944186205,294650044921956,sda,13160,6737920,63.788488,0,8.259233,832
294650044921956,294650145788410,sda,13808,7069696,66.842714,0,7.970936,804
294650145788410,294650246488185,sda,16728,8564736,81.112085,0,9.354539,942
294650246488185,294650347222559,sda,14800,7577600,71.738794,0,10.443307,1052
294650347222559,294650447972135,sda,15784,8081408,76.496910,0,8.268025,833
294650447972135,294650548659069,sda,15736,8056832,76.311726,0,8.779689,884
294650548659069,294650649451153,sda,14512,7430144,70.302520,0,8.016503,808
294650649451153,294650750164441,sda,17176,8794112,83.273210,0,10.366060,1044
294650750164441,294650850953233,sda,12856,6582272,62.282161,0,8.423556,849
294650850953233,294650951861973,sda,13952,7143424,67.511496,0,8.770301,885
294650951861973,294651052781141,sda,13752,7041024,66.536852,0,9.532381,962
294651052781141,294651153513662,sda,14976,7667712,72.593239,0,8.815425,888
294651153513662,294651254314531,sda,16992,8699904,82.309558,0,10.366974,1045
294651254314531,294651354991434,sda,15240,7802880,73.913738,0,8.442850,850
294651354991434,294651455787524,sda,14040,7188480,68.013241,0,7.361397,742
294651455787524,294651556524970,sda,15024,7692288,72.822349,0,7.921583,798
294651556524970,294651657178379,sda,15040,7700480,72.960768,0,8.415016,847
