sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
20454239137939,20454339562122,78.109453,9.950249,201,157,20
20454339562122,20454440027848,72.361809,9.547739,199,144,19
20454440027848,20454540570496,61.386139,10.396040,202,124,21
20454540570496,20454641144419,76.000000,6.500000,200,152,13
20454641144419,20454741605632,76.732673,9.405941,202,155,19
20454741605632,20454842073962,80.402010,10.552764,199,160,21
20454842073962,20454942507897,81.094527,8.955224,201,163,18
20454942507897,20455042977866,78.500000,12.500000,200,157,25
20455042977866,20455143536399,78.500000,10.000000,200,157,20
20455143536399,20455244080357,74.000000,9.500000,200,148,19
20455244080357,20455344524527,71.000000,8.000000,200,142,16
20455344524527,20455445010240,75.124378,9.452736,201,151,19
20455445010240,20455546318988,66.169154,10.447761,201,133,21
20455546318988,20455646945169,66.666667,9.452736,201,134,19
20455646945169,20455748191693,73.631841,8.955224,201,148,18
20455748191693,20455849313034,70.935961,8.374384,203,144,17
20455849313034,20455950482460,74.019608,7.843137,204,151,16
20455950482460,20456051850750,73.399015,8.866995,203,149,18
20456051850750,20456153066968,71.144279,9.950249,201,143,20
20456153066968,20456254355148,71.782178,9.900990,202,145,20
20456254355148,20456355492916,60.804020,11.055276,199,121,22
20456355492916,20456456497223,66.829268,10.731707,205,137,22
20456456497223,20456557515872,61.500000,8.500000,200,123,17
20456557515872,20456658436708,63.000000,7.500000,200,126,15
20456658436708,20456759897154,75.124378,4.477612,201,151,9
20456759897154,20456860865380,69.950739,8.866995,203,142,18
20456860865380,20456962121234,70.500000,10.000000,200,141,20
20456962121234,20457063393227,72.277228,9.900990,202,146,20
20457063393227,20457164599679,73.134328,9.452736,201,147,19
20457164599679,20457265754549,74.257426,9.900990,202,150,20
20457265754549,20457366813666,62.376238,9.405941,202,126,19
20457366813666,20457468227965,66.831683,7.920792,202,135,16
20457468227965,20457569874302,63.054187,9.852217,203,128,20
20457569874302,20457671213680,64.676617,9.452736,201,130,19
20457671213680,20457772543657,69.306931,9.900990,202,140,20
20457772543657,20457873899274,73.762376,9.405941,202,149,19
20457873899274,20457975127134,73.762376,9.405941,202,149,19
20457975127134,20458076519045,71.287129,10.891089,202,144,22
20458076519045,20458177984652,71.287129,8.415842,202,144,17
20458177984652,20458279329377,71.356784,8.040201,199,142,16
20458279329377,20458380551433,57.843137,7.352941,204,118,15
20458380551433,20458481790959,51.500000,3.000000,200,103,6
20458481790959,20458583224002,61.691542,9.452736,201,124,19
20458583224002,20458684306101,68.316832,6.930693,202,138,14
20458684306101,20458785490057,70.243902,7.804878,205,144,16
20458785490057,20458886671075,75.500000,8.000000,200,151,16
20458886671075,20458988072461,67.821782,5.445545,202,137,11
20458988072461,20459089484896,65.517241,8.374384,203,133,17
20459089484896,20459190810542,51.741294,4.975124,201,104,10
20459190810542,20459291993774,62.000000,4.500000,200,124,9
20459291993774,20459393498541,59.900990,8.910891,202,121,18
20459393498541,20459494714736,70.149254,9.950249,201,141,20
20459494714736,20459596018836,61.386139,9.405941,202,124,19
