sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
20454239137939,20454339562122,nvme0n1p8,190720,97648640,927.316481,1,0.657212,66
20454339562122,20454440027848,nvme0n1p8,183040,93716480,889.606870,2,0.567358,57
20454440027848,20454540570496,nvme0n1p8,215040,110100480,1044.332948,1,0.616654,62
20454540570496,20454641144419,nvme0n1p8,224512,114950144,1089.994272,1,0.576690,58
20454641144419,20454741605632,nvme0n1p8,93640,47943680,455.127456,0,0.288669,29
20454741605632,20454842073962,nvme0n1p8,0,0,0.000000,0,0.000000,0
20454842073962,20454942507897,nvme0n1p8,48,24576,0.233362,0,0.049784,5
20454942507897,20455042977866,nvme0n1p8,199320,102051840,968.689646,0,0.597193,60
20455042977866,20455143536399,nvme0n1p8,10080,5160960,48.945374,0,0.039778,4
20455143536399,20455244080357,nvme0n1p8,0,0,0.000000,0,0.000000,0
20455244080357,20455344524527,nvme0n1p8,0,0,0.000000,0,0.000000,0
20455344524527,20455445010240,nvme0n1p8,24624,12607488,119.653204,0,8.787319,883
20455445010240,20455546318988,nvme0n1p8,42152,21581824,203.161441,48,3.849618,390
20455546318988,20455646945169,nvme0n1p8,45568,23330816,221.115417,0,4.551499,458
20455646945169,20455748191693,nvme0n1p8,51072,26148864,246.304752,0,4.928564,499
20455748191693,20455849313034,nvme0n1p8,45520,23306240,219.800907,0,4.578658,463
20455849313034,20455950482460,nvme0n1p8,44936,23007232,216.877837,0,4.497406,455
20455950482460,20456051850750,nvme0n1p8,43648,22347776,210.248195,0,4.656288,472
20456051850750,20456153066968,nvme0n1p8,40816,20897792,196.902116,0,4.357009,441
20456153066968,20456254355148,nvme0n1p8,40872,20926464,197.032183,0,4.610607,467
20456254355148,20456355492916,nvme0n1p8,45560,23326720,219.958322,37,4.864652,492
20456355492916,20456456497223,nvme0n1p8,39976,20467712,193.254445,0,4.168139,421
20456456497223,20456557515872,nvme0n1p8,45504,23298048,219.947012,0,4.761497,481
20456557515872,20456658436708,nvme0n1p8,45376,23232512,219.540888,0,5.212006,526
20456658436708,20456759897154,nvme0n1p8,44704,22888448,215.139257,37,4.681627,475
20456759897154,20456860865380,nvme0n1p8,47264,24199168,228.568193,0,4.932245,498
20456860865380,20456962121234,nvme0n1p8,49008,25092096,236.328929,0,5.392281,546
20456962121234,20457063393227,nvme0n1p8,46280,23695360,223.138259,0,4.897702,496
20457063393227,20457164599679,nvme0n1p8,50920,26071040,245.668935,0,5.622171,569
20457164599679,20457265754549,nvme0n1p8,49200,25190400,237.491655,0,5.071432,513
20457265754549,20457366813666,nvme0n1p8,46216,23662592,223.299064,0,5.254350,531
20457366813666,20457468227965,nvme0n1p8,42904,21966848,206.570661,0,4.447105,451
20457468227965,20457569874302,nvme0n1p8,50840,26030080,244.221479,0,5.469946,556
20457569874302,20457671213680,nvme0n1p8,48016,24584192,231.354415,0,5.220083,529
20457671213680,20457772543657,nvme0n1p8,50488,25849856,243.287766,0,5.546236,562
20457772543657,20457873899274,nvme0n1p8,49184,25182208,236.944194,0,5.584298,566
20457873899274,20457975127134,nvme0n1p8,52880,27074560,255.071208,7,5.739527,581
20457975127134,20458076519045,nvme0n1p8,51264,26247168,246.876203,0,5.631613,571
20458076519045,20458177984652,nvme0n1p8,47680,24412160,229.449670,0,5.420556,550
20458177984652,20458279329377,nvme0n1p8,48432,24797184,233.346506,0,5.407287,548
20458279329377,20458380551433,nvme0n1p8,47816,24481792,230.657795,0,5.552150,562
20458380551433,20458481790959,nvme0n1p8,45432,23261184,219.119889,0,5.165967,523
20458481790959,20458583224002,nvme0n1p8,46936,24031232,225.941844,0,5.471590,555
20458583224002,20458684306101,nvme0n1p8,38296,19607552,184.990408,0,4.471613,452
20458684306101,20458785490057,nvme0n1p8,44432,22749184,214.414551,0,5.050208,511
20458785490057,20458886671075,nvme0n1p8,46544,23830528,224.612906,0,4.902105,496
20458886671075,20458988072461,nvme0n1p8,40616,20795392,195.579489,0,4.566013,463
20458988072461,20459089484896,nvme0n1p8,39840,20398080,191.821890,0,4.841615,491
20459089484896,20459190810542,nvme0n1p8,37648,19275776,181.423097,0,4.490472,455
20459190810542,20459291993774,nvme0n1p8,43384,22212608,209.358738,0,5.010712,507
20459291993774,20459393498541,nvme0n1p8,52264,26759168,251.412146,0,5.605648,569
20459393498541,20459494714736,nvme0n1p8,43752,22401024,211.065840,0,4.643526,470
20459494714736,20459596018836,nvme0n1p8,45240,23162880,218.054785,0,5.063961,513
20459596018836,20459697308284,nvme0n1p8,49136,25157632,236.867591,0,5.291765,536
20459697308284,20459798686055,nvme0n1p8,34312,17567744,165.262129,0,3.856861,391
20459798686055,20459900212130,nvme0n1p8,41976,21491712,201.880096,0,4.658902,473
20459900212130,20460001481618,nvme0n1p8,36744,18812928,177.164974,0,4.453464,451
20460001481618,20460102641313,nvme0n1p8,44944,23011328,216.937314,0,5.516031,558
20460102641313,20460203798754,nvme0n1p8,38360,19640320,185.161552,0,4.952676,501
20460203798754,20460304974027,nvme0n1p8,46136,23621632,222.656614,0,5.534949,560
20460304974027,20460406284866,nvme0n1p8,52320,26787840,252.163295,0,5.685473,576
20460406284866,20460507501932,nvme0n1p8,49856,25526272,240.510331,0,5.414107,548
20460507501932,20460608827604,nvme0n1p8,42560,21790720,205.093631,0,4.293088,435
20460608827604,20460710298949,nvme0n1p8,42624,21823488,205.107166,0,4.572720,464
20460710298949,20460811595104,nvme0n1p8,43888,22470656,211.554797,0,4.837301,490
